Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	1490	2788	87.15
2	4	1842	4086	66.69
3	6	2278	8491	67.10
4	8	2290	8877	58.36
5	10	3676	10173	54.28
6	13	5476	32179	66.88
7	15	5562	33622	64.57
8	17	5634	34549	61.78
9	19	5926	34853	59.74
10	21	6064	35998	57.46
11	23	6074	36478	55.90
12	26	6438	39922	54.72
13	28	7108	41712	53.85
14	30	7236	42832	52.43
15	32	7276	44298	51.76
16	34	7486	46554	50.76
17	36	7872	49101	50.09
18	39	8000	50929	48.82
19	41	8090	52235	47.71
20	43	8334	54101	47.10
21	45	8382	55289	46.34
22	47	8406	56029	45.53
23	49	8672	58419	44.75
24	52	12548	63113	44.04
25	54	14058	68267	43.42
26	56	14128	71767	42.87
27	58	14228	75990	42.74
28	60	14244	77159	42.22
29	62	14250	77917	41.60
30	65	14366	79845	40.89
31	67	14420	85984	41.19
32	69	14424	87216	40.87
33	71	14522	92770	40.76
34	73	14764	97010	40.65
35	75	14768	97787	40.40
36	78	14852	100432	39.81
37	80	15008	107826	39.91
38	82	15014	108164	39.64
39	84	15314	109503	39.28
40	86	15316	109941	39.01
41	88	15470	111149	38.57
42	91	15498	114905	38.00
43	93	15506	116338	37.66
44	95	15506	117613	37.60
45	97	15530	118631	37.27
46	99	15638	119300	37.00
47	101	15722	121131	36.58
48	104	15742	122873	36.03
49	106	15778	123405	35.83
50	108	15802	124248	35.61
51	110	15814	124844	35.24
52	112	15832	125822	35.00
53	115	15968	127929	34.75
54	117	16030	130368	34.76
55	119	16058	130799	34.39
56	121	16074	131452	34.14
57	123	16082	133572	34.02
58	125	16162	136113	33.87
59	128	16196	139139	33.55
60	130	16216	140827	33.47
61	132	16268	143775	33.29
62	134	16270	144880	33.18
63	136	16272	145368	33.00
64	138	16402	147185	32.78
65	141	16514	147887	32.51
66	143	16676	148923	32.35
67	145	16716	153335	31.18
68	147	16784	154568	30.91
69	149	16786	155283	30.82
70	151	16812	156807	30.66
71	154	16816	157675	30.45
72	156	16822	157822	30.32
73	158	16848	158108	30.17
74	160	16852	159079	30.01
75	162	16862	159737	29.83
76	164	16916	160967	29.78
77	167	17402	165054	30.02
78	169	17454	166403	29.87
79	171	17796	168018	29.72
80	173	17818	168485	29.60
81	175	17838	168893	29.44
82	177	17870	169409	29.33
83	180	17896	170142	29.10
84	182	17912	170907	28.99
85	184	17912	171152	28.86
86	186	17920	172806	28.85
87	188	17924	173478	28.70
88	190	17940	174495	28.55
89	193	18094	175404	28.34
90	195	18094	175913	28.24
91	197	18120	176912	28.18
92	199	18152	177389	28.09
93	201	18152	177714	27.94
94	203	18154	178196	27.84
95	206	18260	181192	27.75
96	208	18260	181436	27.64
97	210	18294	185309	27.67
98	212	18302	186363	27.60
99	214	18316	186766	27.53
100	217	18400	188031	27.40
