Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	6	1206	215	48.10
2	13	1394	325	33.47
3	20	1399	416	27.55
4	26	1442	486	24.86
5	33	1484	564	22.73
6	40	1484	612	20.33
7	46	1484	661	19.04
8	53	1486	722	18.03
9	60	1486	780	17.17
10	67	1521	832	16.39
11	73	1523	880	15.90
12	80	1539	935	15.38
13	87	1539	992	15.01
14	93	1554	1030	14.58
15	100	1575	1074	14.16
16	107	1575	1115	13.75
17	113	1575	1145	13.36
18	120	1575	1179	12.97
19	127	1576	1219	12.68
20	134	1623	1284	12.65
21	140	1625	1325	12.51
22	147	1644	1357	12.21
23	154	1647	1396	11.98
24	160	1649	1438	11.88
25	167	1649	1471	11.65
26	174	1652	1500	11.40
27	180	1652	1530	11.24
28	187	1660	1567	11.08
29	194	1660	1602	10.93
30	201	1661	1636	10.75
31	207	1661	1668	10.65
32	214	1661	1701	10.50
33	221	1678	1749	10.44
34	227	1698	1787	10.38
35	234	1698	1814	10.22
36	241	1698	1836	10.04
37	247	1698	1866	9.95
38	254	1698	1895	9.83
39	261	1698	1928	9.73
40	268	1698	1954	9.60
41	274	1706	1984	9.54
42	281	1710	2014	9.43
43	288	1710	2041	9.33
44	294	1710	2058	9.22
45	301	1710	2083	9.10
46	308	1710	2106	8.99
47	314	1714	2138	8.95
48	321	1724	2199	9.01
49	328	1727	2234	8.96
50	335	1727	2257	8.86
51	341	1727	2282	8.80
52	348	1728	2324	8.78
53	355	1728	2351	8.71
54	361	1728	2373	8.64
55	368	1729	2407	8.60
56	375	1731	2441	8.56
57	381	1733	2461	8.50
58	388	1733	2490	8.44
59	395	1736	2523	8.40
60	402	1737	2557	8.36
61	408	1759	2595	8.35
62	415	1759	2618	8.28
63	422	1759	2646	8.23
64	428	1759	2675	8.20
65	435	1760	2709	8.17
66	442	1761	2746	8.16
67	448	1761	2770	8.12
68	455	1802	2802	8.09
69	462	1803	2837	8.07
70	469	1803	2859	8.01
71	475	1803	2878	7.96
72	482	1803	2897	7.90
73	489	1816	2928	7.87
74	495	1822	2957	7.85
75	502	1822	2984	7.81
76	509	1824	3014	7.78
77	515	1825	3053	7.80
78	522	1825	3081	7.77
79	529	1825	3104	7.72
80	536	1835	3146	7.72
81	542	1838	3181	7.72
82	549	1838	3207	7.68
83	556	1838	3227	7.63
84	562	1838	3248	7.60
85	569	1841	3281	7.59
86	576	1841	3313	7.57
87	582	1841	3343	7.56
88	589	1842	3371	7.53
89	596	1843	3400	7.51
90	603	1844	3429	7.49
91	609	1844	3453	7.46
92	616	1844	3486	7.45
93	623	1844	3513	7.42
94	629	1846	3536	7.40
95	636	1846	3559	7.37
96	643	1846	3582	7.33
97	649	1850	3605	7.31
98	656	1850	3630	7.29
99	663	1851	3666	7.28
100	670	1851	3690	7.25
