Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	1021	143	53.36
2	16	1257	272	46.10
3	24	1303	364	41.98
4	32	1321	431	36.53
5	40	1379	512	34.78
6	48	1396	587	33.24
7	56	1419	650	31.45
8	64	1421	699	29.63
9	72	1457	766	28.73
10	80	1476	807	27.24
11	88	1481	849	26.11
12	97	1496	903	25.37
13	105	1497	949	24.77
14	113	1510	996	24.38
15	121	1519	1032	23.57
16	129	1521	1064	22.79
17	137	1522	1097	22.09
18	145	1553	1169	22.31
19	153	1553	1193	21.45
20	161	1562	1248	21.34
21	169	1563	1279	20.86
22	177	1565	1307	20.56
23	186	1568	1345	20.06
24	194	1579	1376	19.77
25	202	1592	1405	19.42
26	210	1638	1431	19.01
27	218	1643	1476	18.91
28	226	1647	1495	18.35
29	234	1658	1538	18.26
30	242	1668	1593	18.33
31	250	1687	1630	18.21
32	258	1694	1658	18.01
33	266	1707	1688	17.76
34	275	1707	1714	17.38
35	283	1710	1740	17.15
36	291	1716	1792	17.13
37	299	1719	1831	17.06
38	307	1719	1847	16.70
39	315	1724	1894	16.61
40	323	1724	1944	16.64
41	331	1724	1957	16.35
42	339	1724	1970	16.09
43	347	1724	2000	15.94
44	355	1725	2021	15.74
45	364	1731	2043	15.53
46	372	1731	2057	15.33
47	380	1735	2097	15.31
48	388	1737	2133	15.26
49	396	1737	2161	15.15
50	404	1743	2178	14.95
51	412	1743	2190	14.75
52	420	1748	2206	14.60
53	428	1763	2245	14.58
54	436	1765	2278	14.54
55	444	1767	2300	14.43
56	453	1768	2331	14.35
57	461	1769	2364	14.31
58	469	1769	2369	14.07
59	477	1769	2377	13.86
60	485	1770	2389	13.70
61	493	1770	2409	13.62
62	501	1771	2432	13.54
63	509	1772	2456	13.48
64	517	1775	2474	13.37
65	525	1777	2492	13.23
66	533	1779	2515	13.17
67	542	1782	2535	13.05
68	550	1783	2553	12.96
69	558	1783	2571	12.87
70	566	1784	2587	12.78
71	574	1785	2592	12.61
72	582	1785	2611	12.51
73	590	1786	2644	12.48
74	598	1786	2658	12.38
75	606	1790	2673	12.29
76	614	1790	2689	12.19
77	622	1790	2707	12.10
78	631	1790	2722	12.01
79	639	1791	2733	11.90
80	647	1791	2740	11.77
81	655	1791	2745	11.64
82	663	1791	2755	11.53
83	671	1793	2777	11.49
84	679	1793	2795	11.42
85	687	1794	2815	11.37
86	695	1794	2822	11.28
87	703	1794	2824	11.16
88	711	1794	2849	11.14
89	720	1794	2873	11.10
90	728	1794	2879	10.98
91	736	1794	2884	10.87
92	744	1794	2890	10.77
93	752	1794	2896	10.68
94	760	1794	2906	10.59
95	768	1795	2948	10.62
96	776	1802	3099	11.01
97	784	1802	3121	10.96
98	792	1802	3147	10.93
99	800	1802	3149	10.82
100	809	1802	3157	10.74
