Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	340	41	73.21
2	4	341	58	47.93
3	6	347	76	40.64
4	8	443	133	47.00
5	10	443	149	42.69
6	12	443	163	39.37
7	14	446	177	38.56
8	17	461	202	36.14
9	19	463	217	34.72
10	21	664	243	35.17
11	23	664	256	33.95
12	25	666	285	34.01
13	27	666	299	33.08
14	29	666	311	32.09
15	32	670	404	35.19
16	34	671	420	35.06
17	36	671	432	34.23
18	38	671	444	33.43
19	40	671	456	32.69
20	42	671	466	31.87
21	44	671	476	31.13
22	47	685	502	30.78
23	49	692	525	30.63
24	51	692	535	30.07
25	53	704	563	30.20
26	55	704	574	29.74
27	57	704	595	29.51
28	59	705	617	29.61
29	62	748	665	30.23
30	64	765	685	30.20
31	66	765	696	29.82
32	68	765	708	29.54
33	70	765	717	29.12
34	72	765	727	28.77
35	74	765	737	28.44
36	77	773	759	28.25
37	79	773	775	28.12
38	81	773	797	28.06
39	83	774	806	27.75
40	85	774	816	27.49
41	87	774	827	27.28
42	89	774	835	26.95
43	92	774	849	26.56
44	94	774	856	26.23
45	96	774	866	26.05
46	98	774	884	26.06
47	100	774	895	25.89
48	102	774	906	25.72
49	104	774	914	25.46
50	107	783	945	25.58
51	109	783	959	25.53
52	111	786	969	25.50
53	113	786	986	25.53
54	115	786	997	25.41
55	117	786	1013	25.38
56	119	786	1021	25.15
57	121	796	1047	25.24
58	124	796	1094	25.54
59	126	796	1104	25.40
60	128	796	1123	25.34
61	130	838	1136	25.23
62	132	838	1146	25.09
63	134	838	1156	24.96
64	136	838	1163	24.75
65	139	838	1177	24.54
66	141	838	1186	24.39
67	143	838	1201	24.44
68	145	838	1211	24.33
69	147	838	1221	24.21
70	149	838	1230	24.08
71	151	838	1241	23.99
72	154	838	1258	23.88
73	156	838	1268	23.77
74	158	845	1287	23.75
75	160	845	1297	23.63
76	162	849	1318	23.76
77	164	849	1327	23.65
78	166	849	1336	23.54
79	169	867	1348	23.33
80	171	867	1367	23.32
81	173	867	1384	23.33
82	175	867	1392	23.20
83	177	867	1401	23.10
84	179	867	1410	23.00
85	181	867	1429	22.99
86	184	869	1451	22.98
87	186	869	1472	23.01
88	188	869	1481	22.92
89	190	869	1491	22.84
90	192	869	1499	22.74
91	194	869	1508	22.65
92	196	869	1517	22.57
93	199	869	1530	22.43
94	201	869	1539	22.36
95	203	869	1548	22.27
96	205	869	1561	22.31
97	207	878	1571	22.27
98	209	878	1585	22.28
99	211	878	1596	22.24
100	214	880	1624	22.25
