Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	24	2611	100.00
2	2	346	8376	88.01
3	3	502	10864	81.64
4	4	548	11520	77.47
5	5	766	14615	74.87
6	6	808	15778	72.17
7	7	822	15986	69.40
8	8	992	17769	67.34
9	9	1170	19115	65.41
10	11	1172	19803	61.87
11	12	1184	21015	60.09
12	13	1190	21435	58.71
13	14	1278	21910	57.40
14	15	1952	29117	59.66
15	16	2034	30340	58.23
16	17	2040	30954	57.01
17	18	2190	31521	55.86
18	19	2224	32176	55.02
19	20	2266	32673	54.13
20	22	2282	33064	52.20
21	23	2332	33139	51.52
22	24	2332	33478	51.04
23	25	2372	33725	50.41
24	26	2480	34149	49.62
25	27	2530	34538	49.20
26	28	2532	34624	48.41
27	29	2672	34954	47.36
28	30	2674	35612	46.92
29	31	3194	38377	46.69
30	33	3566	41470	46.34
31	34	3576	42018	45.98
32	35	3580	42164	45.54
33	36	3580	43424	45.26
34	37	3642	43646	44.79
35	38	3674	43868	44.37
36	39	3674	44045	43.76
37	40	3726	44838	43.12
38	41	3786	48030	43.65
39	42	3854	48922	43.37
40	44	3956	50189	42.42
41	45	3976	51745	42.24
42	46	3978	51794	41.76
43	47	3978	51829	41.19
44	48	3982	51948	40.89
45	49	4038	52796	40.72
46	50	4040	53020	40.46
47	51	4046	53206	40.07
48	52	4058	53542	39.82
49	53	4140	56133	40.08
50	55	4226	57734	39.66
51	56	4242	57932	39.34
52	57	4408	59129	39.15
53	58	4440	59493	38.96
54	59	4446	59558	38.61
55	60	4446	60906	38.62
56	61	4446	60999	38.29
57	62	4460	61136	38.09
58	63	4460	61218	37.71
59	64	4460	61830	37.61
60	66	4490	62158	37.12
61	67	4490	62569	36.91
62	68	4556	64123	36.87
63	69	4576	64124	36.68
64	70	4902	66432	36.81
65	71	4902	66457	36.50
66	72	5094	67225	36.18
67	73	5128	68440	36.14
68	74	5218	70008	36.18
69	75	5226	70111	36.00
70	77	5270	70744	35.68
71	78	5316	71336	35.57
72	79	5316	71514	35.31
73	80	5490	72292	35.25
74	81	5698	74338	35.44
75	82	5706	76122	35.44
76	83	5712	76368	35.24
77	84	5720	77105	35.14
78	85	5740	77823	34.96
79	86	5744	77876	34.76
80	88	5784	79069	34.57
81	89	5796	79280	34.47
82	90	5802	79322	34.26
83	91	5806	79469	34.08
84	92	5806	79608	33.96
85	93	5808	80197	33.83
86	94	5812	80326	33.73
87	95	5870	80964	33.58
88	96	5884	81378	33.52
89	97	5886	81871	33.34
90	99	5894	82050	33.00
91	100	5898	82663	32.95
92	101	5900	82703	32.83
93	102	5978	84634	32.77
94	103	6076	86349	32.74
95	104	6082	86781	32.58
96	105	6084	86995	32.47
97	106	6156	88609	32.41
98	107	6404	91082	32.60
99	108	6404	91099	32.50
100	110	6490	92832	32.37
