Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	906	400	30.65
2	17	928	632	24.59
3	26	928	796	19.88
4	35	928	940	17.59
5	43	1052	1105	16.89
6	52	1262	1242	15.83
7	61	1299	1376	14.96
8	70	1299	1490	14.10
9	78	1329	1623	13.77
10	87	1330	1755	13.34
11	96	1330	1889	13.15
12	105	1330	2017	12.76
13	113	1330	2111	12.41
14	122	1354	2248	12.17
15	131	1358	2365	11.93
16	140	1358	2494	11.74
17	148	1358	2583	11.52
18	157	1358	2686	11.29
19	166	1362	2784	11.04
20	175	1364	2885	10.86
21	183	1364	2974	10.70
22	192	1364	3079	10.55
23	201	1364	3168	10.41
24	210	1364	3269	10.26
25	218	1364	3350	10.12
26	227	1364	3449	9.97
27	236	1416	3559	9.91
28	245	1416	3664	9.84
29	253	1416	3747	9.74
30	262	1419	3877	9.74
31	271	1419	3967	9.64
32	280	1419	4055	9.54
33	288	1419	4134	9.46
34	297	1421	4226	9.39
35	306	1421	4323	9.35
36	315	1436	4420	9.29
37	323	1438	4508	9.25
38	332	1439	4604	9.21
39	341	1439	4694	9.11
40	350	1439	4785	9.04
41	358	1439	4861	8.96
42	367	1439	4948	8.91
43	376	1907	5042	8.88
44	385	1907	5129	8.82
45	393	1907	5204	8.80
46	402	1907	5290	8.74
47	411	1907	5383	8.71
48	420	1907	5474	8.64
49	428	1921	5562	8.63
50	437	1921	5650	8.58
51	446	1921	5743	8.54
52	455	1922	5832	8.50
53	463	1924	6035	8.62
54	472	1924	6128	8.59
55	481	1924	6214	8.54
56	490	1924	6331	8.54
57	498	1924	6403	8.50
58	507	1955	6494	8.47
59	516	1955	6586	8.44
60	525	1955	6670	8.40
61	533	1977	6751	8.37
62	542	1977	6840	8.33
63	551	1977	6923	8.29
64	560	1977	7017	8.27
65	568	1977	7104	8.26
66	577	1977	7191	8.23
67	586	1977	7280	8.20
68	595	1977	7367	8.17
69	603	1977	7440	8.14
70	612	1977	7527	8.11
71	621	1977	7615	8.09
72	630	1977	7707	8.07
73	638	1977	7792	8.05
74	647	1977	7879	8.02
75	656	1977	7965	7.99
76	665	1977	8051	7.96
77	673	1977	8124	7.93
78	682	1981	8231	7.94
79	691	1982	8337	7.94
80	700	1982	8424	7.92
81	708	1982	8498	7.89
82	717	1997	8583	7.88
83	726	1998	8665	7.85
84	735	1998	8760	7.84
85	743	1998	8835	7.82
86	752	1998	8934	7.83
87	761	1998	9023	7.82
88	770	1998	9107	7.80
89	778	1998	9182	7.78
90	787	1998	9276	7.77
91	796	1998	9364	7.76
92	805	1998	9451	7.73
93	813	1998	9529	7.72
94	822	1998	9616	7.71
95	831	2023	9714	7.70
96	840	2023	9802	7.69
97	848	2023	9879	7.67
98	857	2024	9986	7.68
99	866	2024	10068	7.67
100	875	2024	10154	7.64
