Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	708	4997	72.78
2	7	1262	10815	59.71
3	11	2022	20876	61.38
4	15	2308	23096	56.08
5	19	2642	24605	51.07
6	23	2876	27517	48.39
7	26	2952	29288	46.83
8	30	3226	30838	44.42
9	34	3870	33257	43.37
10	38	4040	36931	42.34
11	42	4236	38613	40.88
12	46	4380	40811	39.90
13	49	4490	43955	39.80
14	53	5168	47839	39.01
15	57	5848	51978	38.73
16	61	5922	52715	37.48
17	65	6678	58149	37.74
18	69	6686	58692	36.43
19	72	6750	58896	35.85
20	76	6998	61930	35.00
21	80	7106	62624	33.63
22	84	7348	65264	32.89
23	88	7394	65743	32.24
24	92	8710	70359	32.46
25	96	8962	72712	31.73
26	99	9086	76371	31.91
27	103	9144	76950	31.38
28	107	9156	78449	30.88
29	111	9190	79101	30.45
30	115	9204	80066	29.99
31	119	9232	80777	29.22
32	122	9318	81084	28.80
33	126	9406	82142	28.52
34	130	9672	87857	28.78
35	134	9738	91512	28.84
36	138	9768	92571	28.50
37	142	9852	93347	28.19
38	145	9968	95127	28.07
39	149	10012	96923	27.91
40	153	10104	98875	27.66
41	157	10254	103043	27.81
42	161	10278	103803	27.42
43	165	10346	104081	26.78
44	168	10460	104407	26.57
45	172	10552	107104	26.70
46	176	10910	112058	27.02
47	180	10974	113661	26.81
48	184	11046	119370	27.24
49	188	11090	120522	26.81
50	192	11114	120874	26.50
51	195	11114	120933	26.31
52	199	11234	121811	26.01
53	203	11336	123573	25.78
54	207	11810	127642	25.84
55	211	11868	129034	25.68
56	215	12030	136306	26.06
57	218	12036	136526	25.67
58	222	12116	138874	25.39
59	226	12414	143078	25.24
60	230	12422	143477	24.67
61	234	12472	144348	24.48
62	238	12656	146923	24.49
63	241	12816	149308	24.51
64	245	12962	151019	24.42
65	249	12972	154460	24.15
66	253	13328	156683	23.86
67	257	13384	157184	23.58
68	261	13468	160225	23.58
69	264	13578	160269	23.10
70	268	13772	162450	23.08
71	272	13806	162827	22.85
72	276	13844	163630	22.72
73	280	13950	166403	22.67
74	284	13964	166821	22.56
75	288	14058	167952	22.41
76	291	14100	168482	22.19
77	295	14134	168737	22.03
78	299	14152	169246	21.90
79	303	14222	169958	21.69
80	307	14252	170344	21.56
81	311	14316	171478	21.35
82	314	14366	172399	21.20
83	318	14396	172981	21.02
84	322	14526	174467	20.85
85	326	14564	183691	21.42
86	330	14594	184249	21.23
87	334	14598	184627	21.07
88	337	14626	186268	21.08
89	341	14650	186741	20.92
90	345	14654	187220	20.79
91	349	14724	189132	20.80
92	353	14762	189965	20.68
93	357	14798	190056	20.53
94	360	14888	190691	20.42
95	364	14990	191008	20.23
96	368	15074	191301	20.08
97	372	15146	192462	20.02
98	376	15226	192880	19.91
99	380	15230	193663	19.80
100	384	15294	194475	19.71
