Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	892	105	54.69
2	7	955	161	36.51
3	11	970	207	30.17
4	14	1184	266	29.07
5	18	1197	322	26.61
6	22	1208	385	25.18
7	25	1216	472	26.96
8	29	1220	513	25.68
9	33	1221	563	25.27
10	37	1223	613	24.28
11	40	1304	687	25.05
12	44	1314	732	24.46
13	48	1328	796	24.25
14	51	1328	818	23.54
15	55	1328	859	22.94
16	59	1330	899	22.38
17	62	1330	927	21.89
18	66	1330	968	21.49
19	70	1330	1017	21.08
20	74	1330	1077	20.94
21	77	1331	1136	21.15
22	81	1335	1185	21.09
23	85	1338	1232	20.82
24	88	1339	1287	20.95
25	92	1343	1340	20.88
26	96	1343	1393	20.74
27	99	1343	1422	20.52
28	103	1343	1460	20.27
29	107	1343	1502	20.03
30	111	1343	1556	20.01
31	114	1343	1583	19.87
32	118	1346	1629	19.78
33	122	1346	1668	19.55
34	125	1346	1706	19.45
35	129	1346	1743	19.27
36	133	1356	1817	19.54
37	136	1356	1844	19.43
38	140	1357	1911	19.54
39	144	1357	1951	19.40
40	148	1365	2023	19.57
41	151	1365	2055	19.48
42	155	1365	2094	19.31
43	159	1365	2127	19.13
44	162	1365	2145	19.00
45	166	1367	2179	18.85
46	170	1367	2223	18.71
47	173	1367	2245	18.59
48	177	1367	2307	18.64
49	181	1367	2349	18.54
50	185	1368	2442	18.80
51	188	1368	2477	18.73
52	192	1368	2518	18.59
53	196	1368	2560	18.49
54	199	1368	2580	18.41
55	203	1368	2629	18.40
56	207	1368	2670	18.34
57	210	1368	2698	18.27
58	214	1370	2740	18.19
59	218	1370	2779	18.09
60	222	1370	2827	18.06
61	225	1370	2853	17.98
62	229	1371	2889	17.90
63	233	1371	2913	17.80
64	236	1371	2961	17.81
65	240	1371	2989	17.72
66	244	1416	3043	17.71
67	247	1425	3092	17.79
68	251	1428	3158	17.87
69	255	1428	3200	17.81
70	259	1428	3235	17.73
71	262	1428	3261	17.67
72	266	1428	3293	17.60
73	270	1428	3324	17.52
74	273	1428	3350	17.48
75	277	1428	3404	17.45
76	281	1428	3445	17.38
77	284	1428	3467	17.32
78	288	1430	3518	17.34
79	292	1430	3546	17.25
80	296	1430	3579	17.18
81	299	1430	3621	17.17
82	303	1430	3652	17.12
83	307	1432	3689	17.04
84	310	1432	3723	17.05
85	314	1439	3763	17.04
86	318	1441	3815	17.05
87	321	1441	3833	17.00
88	325	1441	3885	17.02
89	329	1441	3914	16.97
90	333	1441	3958	16.94
91	336	1441	3976	16.89
92	340	1441	4008	16.83
93	344	1441	4040	16.78
94	347	1441	4066	16.76
95	351	1445	4111	16.77
96	355	1445	4148	16.72
97	358	1445	4175	16.68
98	362	1445	4207	16.63
99	366	1445	4239	16.58
100	370	1445	4283	16.55
