Percentage	Tests_Executed	Branchs_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	634	3070	100.00
2	2	642	3541	81.67
3	3	858	5638	69.42
4	4	1100	6883	63.11
5	6	1158	9630	56.09
6	7	1324	10943	52.43
7	8	1482	13780	51.46
8	9	1486	14200	48.92
9	10	1502	14960	47.45
10	12	1538	15627	43.22
11	13	1542	15875	41.75
12	14	1564	16376	39.46
13	15	1564	16449	38.47
14	17	1594	16806	34.64
15	18	1616	17259	33.53
16	19	1692	17925	33.02
17	20	1710	18098	32.51
18	21	1730	18581	31.65
19	23	1738	18801	30.12
20	24	1810	19278	28.98
21	25	1828	19456	27.58
22	26	1868	19898	27.41
23	28	1958	20980	26.31
24	29	2040	21508	26.33
25	30	2052	21777	25.46
26	31	2094	21894	24.92
27	32	2094	21963	24.26
28	34	2130	22443	23.51
29	35	2152	22461	22.90
30	36	2158	22884	22.76
31	37	2198	23324	22.72
32	39	2206	23864	22.18
33	40	2206	24639	22.10
34	41	2242	24840	21.85
35	42	2332	27606	23.15
36	43	2362	27936	23.10
37	45	2396	28841	22.85
38	46	2400	28891	22.56
39	47	2400	28943	22.11
40	48	2408	29003	21.75
41	50	2408	29723	21.33
42	51	2464	30890	21.44
43	52	2464	31106	21.31
44	53	2480	31225	21.02
45	54	2482	32574	21.44
46	56	2490	32788	20.78
47	57	2490	32891	20.52
48	58	2490	32936	20.33
49	59	2492	32973	20.21
50	61	2520	35377	20.82
51	62	2520	35560	20.66
52	63	2576	36638	20.76
53	64	2586	36999	20.59
54	65	2600	37262	20.34
55	67	2756	38718	20.54
56	68	2784	38878	20.33
57	69	2788	39857	20.57
58	70	2802	40032	20.33
59	71	2804	40177	20.19
60	73	2856	40782	19.92
61	74	2870	42001	20.10
62	75	2870	42038	19.81
63	76	2894	42328	19.73
64	78	2960	43111	19.52
65	79	2960	43600	19.39
66	80	2960	43680	19.25
67	81	2996	44016	19.06
68	82	3056	44401	18.80
69	84	3070	45035	18.62
70	85	3098	45169	18.49
71	86	3102	45217	18.31
72	87	3128	45388	18.17
73	89	3136	45436	17.77
74	90	3136	45530	17.68
75	91	3136	45533	17.50
76	92	3140	45881	17.49
77	93	3140	45905	17.39
78	95	3144	46092	17.13
79	96	3154	46800	17.20
80	97	3166	47099	17.14
81	98	3170	47613	17.04
82	100	3180	47692	16.80
83	101	3180	47751	16.67
84	102	3180	47804	16.57
85	103	3206	47930	16.48
86	104	3228	48153	16.36
87	106	3234	48180	16.17
88	107	3286	48678	16.07
89	108	3316	48712	15.81
90	109	3334	48897	15.78
91	111	3346	50416	15.85
92	112	3350	50418	15.73
93	113	3416	50531	15.52
94	114	3420	50551	15.43
95	115	3444	50666	15.33
96	117	3468	50907	15.12
97	118	3476	51109	15.05
98	119	3510	51460	14.99
99	120	3512	51967	15.00
100	122	3520	52641	15.00
