Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	108	2791	48.05
2	7	1174	7392	40.68
3	10	1376	8389	33.31
4	14	2406	15554	36.11
5	17	3530	16705	32.95
6	21	4208	17426	28.14
7	24	4528	18191	26.38
8	28	4728	19932	25.12
9	31	5066	20182	23.16
10	35	5220	20765	21.64
11	39	5400	22931	21.04
12	42	5540	23717	20.26
13	46	5910	24912	19.51
14	49	5988	25210	18.67
15	53	6140	25481	17.77
16	56	6182	25644	17.02
17	60	6242	26575	16.49
18	63	6302	26826	15.96
19	67	6470	27480	15.43
20	71	7094	28505	15.09
21	74	7324	28739	14.72
22	78	7386	29085	14.21
23	81	7468	29249	13.83
24	85	7634	30019	13.48
25	88	7682	30178	13.11
26	92	7828	31447	13.04
27	95	7922	31701	12.76
28	99	8110	32072	12.43
29	102	8148	32295	12.24
30	106	8418	32835	11.99
31	110	8464	32929	11.66
32	113	8504	33091	11.43
33	117	8568	34031	11.37
34	120	8634	34156	11.14
35	124	8814	35644	11.20
36	127	8834	35759	11.02
37	131	8888	35853	10.77
38	134	8928	35967	10.58
39	138	8982	36246	10.34
40	142	9224	36775	10.16
41	145	9298	37277	10.10
42	149	9356	37827	9.97
43	152	9418	38658	9.99
44	156	9502	38883	9.83
45	159	9524	39509	9.83
46	163	9652	39955	9.72
47	166	9780	40339	9.62
48	170	9826	40420	9.45
49	173	9888	40629	9.37
50	177	9958	40850	9.23
51	181	9980	40959	9.08
52	184	10122	41202	8.97
53	188	10190	41474	8.85
54	191	10264	41701	8.77
55	195	10296	41931	8.64
56	198	10332	42050	8.55
57	202	10484	42568	8.47
58	205	10498	42632	8.39
59	209	10548	43087	8.33
60	213	10786	44088	8.35
61	216	10796	44169	8.27
62	220	10930	44838	8.23
63	223	11000	44907	8.14
64	227	11138	44979	8.00
65	230	11198	45189	7.94
66	234	11474	46115	7.94
67	237	11534	46256	7.88
68	241	11622	46706	7.82
69	244	11636	47362	7.79
70	248	11678	47520	7.71
71	252	11720	47690	7.62
72	255	11790	47963	7.57
73	259	11902	48315	7.49
74	262	11930	48436	7.44
75	266	11974	48571	7.35
76	269	12110	49539	7.39
77	273	12238	50370	7.36
78	276	12446	50727	7.31
79	280	12474	51108	7.27
80	284	12604	51486	7.23
81	287	12604	51556	7.17
82	291	12670	52042	7.12
83	294	12700	52951	7.17
84	298	12828	53570	7.14
85	301	12890	55100	7.25
86	305	13064	58554	7.57
87	308	13100	58726	7.52
88	312	13170	59092	7.47
89	315	13328	59692	7.47
90	319	13414	59862	7.40
91	323	13492	60076	7.32
92	326	13580	60140	7.27
93	330	13656	60421	7.22
94	333	13686	60509	7.17
95	337	13714	60616	7.11
96	340	13720	60656	7.06
97	344	13782	61059	7.01
98	347	13784	61281	6.98
99	351	13788	61309	6.91
100	355	13912	61530	6.85
