Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	1640	6167	93.64
2	4	4630	11597	79.49
3	6	4688	13102	68.35
4	8	4746	14028	61.40
5	10	5572	23290	64.31
6	13	5698	25510	60.69
7	15	5916	28911	59.56
8	17	6146	31120	57.43
9	19	7034	46641	59.81
10	21	7194	48249	57.85
11	23	7582	50311	55.99
12	26	8270	53185	54.58
13	28	8588	56008	52.65
14	30	8628	57047	51.81
15	32	8750	57581	50.85
16	34	8838	59265	50.51
17	36	9170	61827	49.37
18	39	9214	63281	48.09
19	41	9308	64092	47.52
20	43	9400	66626	47.14
21	45	9498	68146	46.30
22	47	9628	69244	45.68
23	49	9802	71047	44.77
24	52	9912	73007	44.18
25	54	9956	73662	43.67
26	56	10004	74506	43.19
27	58	10500	79271	43.16
28	60	10640	81325	42.79
29	62	10982	82912	42.46
30	65	11272	83826	41.68
31	67	11364	84587	41.19
32	69	11894	87702	41.53
33	71	11930	88358	41.18
34	73	12024	88870	40.85
35	75	12220	94855	38.05
36	78	12466	97062	37.77
37	80	12468	97271	37.46
38	82	12552	98225	37.18
39	84	12566	98452	36.85
40	86	12618	99319	36.63
41	88	12662	100068	36.28
42	91	12822	101531	35.84
43	93	12944	103219	35.61
44	95	12970	104190	35.45
45	97	13070	106007	35.23
46	99	13082	107662	34.74
47	101	13320	109598	34.50
48	104	13382	111217	34.22
49	106	13484	112034	33.98
50	108	13624	117662	34.23
51	110	13904	120008	34.12
52	112	13978	121142	34.01
53	115	14082	123086	33.74
54	117	14082	123807	33.49
55	119	14092	124157	33.26
56	121	14618	126277	33.10
57	123	14652	128201	32.96
58	125	14760	129622	32.71
59	128	14950	130863	32.52
60	130	15038	135629	32.62
61	132	15046	136623	32.38
62	134	15254	137422	32.22
63	136	15276	137903	32.06
64	138	15460	139111	31.93
65	141	15586	141633	31.69
66	143	15586	143122	31.63
67	145	16814	146756	31.37
68	147	16844	147704	31.14
69	149	16864	149824	31.08
70	151	16904	151021	31.04
71	154	16932	151608	30.76
72	156	16994	154133	30.69
73	158	17010	155166	30.52
74	160	17028	156906	30.50
75	162	17028	157197	30.38
76	164	17034	157463	30.22
77	167	17078	161676	30.09
78	169	17110	164315	30.02
79	171	17140	164527	29.91
80	173	17152	164830	29.81
81	175	17160	164951	29.70
82	177	17176	165456	29.60
83	180	17226	167871	29.45
84	182	17300	168641	29.32
85	184	17400	171590	29.25
86	186	17400	173101	29.07
87	188	17468	175113	28.92
88	190	17496	176028	28.89
89	193	17502	176681	28.67
90	195	17504	178192	28.48
91	197	17526	178358	28.38
92	199	17528	178609	28.32
93	201	17552	180568	28.22
94	203	17896	182190	28.09
95	206	17900	182856	27.90
96	208	17980	183763	27.84
97	210	18000	183998	27.72
98	212	18056	184727	27.64
99	214	18076	185278	27.56
100	217	18400	188031	27.40
