Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	93	4840	57.69
2	7	304	6530	36.77
3	10	923	7923	31.82
4	14	972	8587	26.37
5	17	1031	9500	24.13
6	21	1070	10197	21.25
7	24	1222	11743	20.77
8	28	1257	12246	18.87
9	31	1321	13132	18.00
10	35	1418	14626	17.56
11	39	1508	17215	18.06
12	42	1554	18206	17.68
13	46	1756	20733	17.83
14	49	1781	20950	17.03
15	53	1954	21465	16.14
16	56	1989	21942	15.68
17	60	2056	23517	15.41
18	63	2069	23658	14.81
19	67	2081	24367	14.47
20	71	2125	24775	13.91
21	74	2190	25494	13.70
22	78	2207	25633	13.18
23	81	2237	25872	12.88
24	85	2378	28651	13.31
25	88	2398	28846	12.94
26	92	2477	33183	13.85
27	95	2487	33706	13.67
28	99	2543	35347	13.71
29	102	2573	35575	13.41
30	106	2596	36610	13.27
31	110	2615	36892	12.98
32	113	2630	37058	12.74
33	117	2648	38605	12.78
34	120	2662	38692	12.57
35	124	2722	38858	12.15
36	127	2794	39082	11.96
37	131	2840	39918	11.84
38	134	2926	41711	11.99
39	138	2961	42093	11.79
40	142	2984	42331	11.54
41	145	3005	42608	11.38
42	149	3020	42734	11.14
43	152	3032	42950	10.98
44	156	3066	43389	10.83
45	159	3081	43776	10.73
46	163	3148	44128	10.53
47	166	3214	44686	10.47
48	170	3230	45129	10.37
49	173	3254	45370	10.25
50	177	3276	46439	10.24
51	181	3298	47015	10.15
52	184	3328	47194	10.01
53	188	3353	47859	9.90
54	191	3367	47989	9.79
55	195	3381	48783	9.76
56	198	3412	49065	9.65
57	202	3436	49277	9.53
58	205	3475	49894	9.49
59	209	3504	50081	9.37
60	213	3541	50519	9.27
61	216	3551	50577	9.15
62	220	3596	51015	9.05
63	223	3644	51463	8.95
64	227	3683	51777	8.86
65	230	3699	52190	8.81
66	234	3718	52523	8.74
67	237	3748	52693	8.67
68	241	3757	52788	8.55
69	244	3859	53145	8.49
70	248	3900	53525	8.44
71	252	3913	53713	8.35
72	255	3932	54285	8.34
73	259	3947	54390	8.25
74	262	3965	54628	8.18
75	266	3991	55006	8.11
76	269	4015	55051	8.04
77	273	4019	55227	7.98
78	276	4035	55388	7.92
79	280	4066	56177	7.92
80	284	4119	56387	7.83
81	287	4123	56428	7.75
82	291	4152	56549	7.64
83	294	4160	56597	7.59
84	298	4217	57183	7.55
85	301	4224	57259	7.50
86	305	4250	57860	7.47
87	308	4255	58107	7.43
88	312	4281	58584	7.40
89	315	4289	58672	7.35
90	319	4300	58855	7.30
91	323	4360	59226	7.24
92	326	4368	59316	7.19
93	330	4395	59490	7.13
94	333	4403	59532	7.07
95	337	4460	59819	7.00
96	340	4482	60075	6.97
97	344	4507	60174	6.91
98	347	4511	60415	6.89
99	351	4539	61373	6.90
100	355	4563	61530	6.85
