Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	1251	7009	89.22
2	4	1370	10147	74.05
3	6	1541	13719	67.66
4	8	1651	15936	63.10
5	10	2177	19758	59.04
6	13	2289	23402	55.86
7	15	2365	24520	53.81
8	17	4738	31861	53.75
9	19	4754	32740	51.95
10	21	4775	35859	51.80
11	23	4786	36585	50.12
12	26	5148	47511	51.56
13	28	5161	48785	50.66
14	30	5377	52152	49.56
15	32	5462	53179	48.62
16	34	5521	59149	48.95
17	36	6094	65442	48.28
18	39	6099	67059	47.21
19	41	6118	67993	46.08
20	43	6119	68767	45.34
21	45	6125	70617	44.78
22	47	6134	71457	44.10
23	49	6146	72398	43.47
24	52	6182	73651	42.81
25	54	6191	74924	42.47
26	56	6200	76511	41.98
27	58	6206	78202	41.02
28	60	6225	80831	40.67
29	62	6230	81475	40.21
30	65	6295	82813	39.65
31	67	6324	87093	39.57
32	69	6324	87694	39.25
33	71	6331	88001	38.82
34	73	6356	91638	38.73
35	75	6365	92516	38.35
36	78	6416	98654	38.25
37	80	6490	99405	37.88
38	82	6493	101508	37.67
39	84	6501	102853	37.42
40	86	6505	103387	37.20
41	88	6623	105636	36.92
42	91	6633	107476	36.81
43	93	6633	107920	36.52
44	95	6646	109688	36.38
45	97	6649	110817	36.06
46	99	6649	111544	35.85
47	101	6686	113293	35.45
48	104	6688	117346	35.21
49	106	6700	118185	34.83
50	108	6712	120252	34.59
51	110	6719	121283	34.27
52	112	6814	124315	34.54
53	115	6818	125200	34.32
54	117	6876	133317	34.34
55	119	6887	139469	32.87
56	121	6890	140609	32.86
57	123	6904	141003	32.68
58	125	6964	142609	32.53
59	128	7019	144009	32.20
60	130	7023	145438	32.03
61	132	7025	145565	31.88
62	134	7039	148696	31.80
63	136	7098	149517	31.63
64	138	7103	149686	31.48
65	141	7105	151193	31.33
66	143	7107	151416	31.17
67	145	7121	152177	31.03
68	147	7125	152439	30.88
69	149	7127	152750	30.69
70	151	7129	153392	30.56
71	154	7135	153918	30.37
72	156	7137	155291	30.25
73	158	7146	156461	30.19
74	160	7151	159805	30.17
75	162	7153	160914	29.93
76	164	7161	161672	29.86
77	167	7172	162557	29.67
78	169	7175	163180	29.52
79	171	7175	163732	29.43
80	173	7184	164286	29.29
81	175	7200	165202	29.15
82	177	7202	165539	28.95
83	180	7331	167810	28.81
84	182	7351	168450	28.73
85	184	7354	169612	28.60
86	186	7355	170943	28.57
87	188	7380	175374	28.65
88	190	7390	175523	28.56
89	193	7401	176600	28.39
90	195	7406	176706	28.26
91	197	7454	177748	28.11
92	199	7475	178784	27.97
93	201	7482	182657	28.04
94	203	7542	184558	27.96
95	206	7543	184801	27.80
96	208	7546	185099	27.75
97	210	7547	185404	27.68
98	212	7551	187037	27.59
99	214	7555	187230	27.51
100	217	7573	188031	27.40
