Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	6	111	215	47.46
2	13	115	325	32.53
3	20	123	417	27.25
4	26	123	469	23.69
5	33	130	565	22.30
6	40	130	620	20.23
7	46	130	674	19.15
8	53	130	739	18.14
9	60	130	779	16.96
10	67	134	833	16.32
11	73	136	891	16.04
12	80	136	951	15.62
13	87	137	1023	15.43
14	93	137	1069	15.08
15	100	137	1099	14.45
16	107	137	1142	14.03
17	113	137	1173	13.63
18	120	137	1212	13.28
19	127	138	1255	13.01
20	134	138	1300	12.79
21	140	142	1328	12.51
22	147	142	1369	12.28
23	154	142	1413	12.10
24	160	142	1466	12.10
25	167	143	1523	12.04
26	174	143	1564	11.86
27	180	143	1599	11.72
28	187	143	1650	11.64
29	194	143	1683	11.44
30	201	143	1705	11.19
31	207	143	1727	11.00
32	214	143	1763	10.87
33	221	143	1805	10.78
34	227	143	1828	10.63
35	234	143	1884	10.62
36	241	143	1914	10.48
37	247	143	1940	10.36
38	254	143	1973	10.24
39	261	143	2007	10.15
40	268	143	2049	10.08
41	274	143	2074	9.97
42	281	143	2112	9.90
43	288	143	2145	9.80
44	294	143	2176	9.75
45	301	143	2199	9.63
46	308	143	2227	9.53
47	314	143	2259	9.48
48	321	143	2291	9.41
49	328	143	2322	9.34
50	335	143	2349	9.26
51	341	143	2386	9.24
52	348	143	2417	9.17
53	355	143	2444	9.09
54	361	143	2475	9.05
55	368	143	2501	8.96
56	375	143	2526	8.89
57	381	143	2550	8.83
58	388	143	2581	8.77
59	395	146	2617	8.74
60	402	146	2643	8.67
61	408	146	2663	8.60
62	415	147	2695	8.56
63	422	147	2715	8.48
64	428	147	2748	8.47
65	435	147	2779	8.42
66	442	147	2806	8.36
67	448	147	2824	8.31
68	455	147	2850	8.25
69	462	147	2873	8.19
70	469	147	2901	8.15
71	475	147	2925	8.11
72	482	147	2946	8.05
73	489	147	2975	8.01
74	495	147	2997	7.97
75	502	147	3022	7.93
76	509	147	3049	7.89
77	515	147	3073	7.86
78	522	147	3099	7.82
79	529	147	3134	7.80
80	536	147	3157	7.76
81	542	148	3196	7.77
82	549	148	3221	7.73
83	556	148	3253	7.71
84	562	148	3285	7.71
85	569	148	3314	7.68
86	576	148	3340	7.64
87	582	148	3361	7.61
88	589	148	3385	7.57
89	596	148	3404	7.52
90	603	148	3430	7.49
91	609	148	3459	7.48
92	616	148	3482	7.45
93	623	148	3515	7.43
94	629	148	3532	7.40
95	636	148	3564	7.38
96	643	148	3583	7.34
97	649	148	3610	7.33
98	656	148	3638	7.30
99	663	148	3659	7.27
100	670	148	3690	7.25
