Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	130	173	56.72
2	16	130	287	48.98
3	24	130	346	39.95
4	32	130	445	37.52
5	40	130	527	35.39
6	48	130	574	32.17
7	56	130	620	29.72
8	64	130	813	32.16
9	72	130	855	30.10
10	80	130	904	28.84
11	88	130	962	28.11
12	97	130	1044	27.85
13	105	130	1082	26.76
14	113	130	1127	26.01
15	121	130	1172	25.56
16	129	130	1202	24.66
17	137	130	1252	24.25
18	145	130	1299	23.77
19	153	130	1357	23.46
20	161	130	1389	22.92
21	169	130	1417	22.28
22	177	130	1472	22.11
23	186	130	1538	21.87
24	194	130	1588	21.71
25	202	130	1628	21.46
26	210	130	1656	21.11
27	218	130	1676	20.58
28	226	130	1730	20.56
29	234	130	1753	20.17
30	242	130	1776	19.73
31	250	130	1817	19.62
32	258	130	1845	19.34
33	266	130	1901	19.30
34	275	130	1926	18.95
35	283	130	1942	18.57
36	291	130	1974	18.36
37	299	130	2003	18.22
38	307	130	2020	17.90
39	315	130	2053	17.74
40	323	130	2081	17.57
41	331	130	2104	17.35
42	339	130	2121	17.07
43	347	130	2150	16.91
44	355	130	2165	16.63
45	364	130	2217	16.59
46	372	130	2246	16.46
47	380	130	2262	16.24
48	388	130	2274	15.97
49	396	130	2286	15.72
50	404	130	2295	15.49
51	412	130	2324	15.34
52	420	130	2371	15.37
53	428	130	2408	15.35
54	436	130	2430	15.19
55	444	130	2448	15.05
56	453	130	2465	14.84
57	461	130	2477	14.66
58	469	130	2495	14.53
59	477	130	2514	14.40
60	485	130	2523	14.21
61	493	130	2543	14.10
62	501	130	2561	14.00
63	509	130	2571	13.84
64	517	130	2577	13.69
65	525	130	2589	13.53
66	533	130	2617	13.49
67	542	130	2635	13.34
68	550	130	2653	13.21
69	558	130	2676	13.15
70	566	130	2712	13.15
71	574	130	2726	13.02
72	582	130	2738	12.91
73	590	130	2747	12.77
74	598	130	2763	12.68
75	606	130	2793	12.64
76	614	130	2807	12.52
77	622	130	2820	12.42
78	631	130	2838	12.34
79	639	130	2856	12.27
80	647	130	2879	12.24
81	655	130	2891	12.12
82	663	130	2907	12.04
83	671	130	2909	11.90
84	679	130	2924	11.81
85	687	130	2934	11.71
86	695	130	2947	11.61
87	703	130	2956	11.52
88	711	130	2984	11.49
89	720	130	2999	11.42
90	728	130	3007	11.33
91	736	130	3016	11.24
92	744	130	3033	11.18
93	752	130	3055	11.15
94	760	130	3081	11.13
95	768	130	3100	11.08
96	776	130	3113	11.02
97	784	130	3137	11.00
98	792	130	3143	10.93
99	800	130	3145	10.81
100	809	130	3157	10.74
