Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	35	41	64.06
2	4	35	61	46.56
3	6	47	118	52.68
4	8	47	137	47.08
5	10	47	152	42.58
6	12	47	165	39.10
7	14	47	178	36.63
8	17	47	199	33.96
9	19	47	213	32.82
10	21	47	224	31.37
11	23	47	237	30.38
12	25	48	265	30.64
13	27	48	277	29.78
14	29	48	288	28.92
15	32	48	312	28.47
16	34	48	324	27.91
17	36	48	334	27.24
18	38	48	345	26.72
19	40	48	354	26.07
20	42	48	365	25.69
21	44	58	401	26.89
22	47	58	422	26.52
23	49	58	433	26.16
24	51	58	448	25.97
25	53	58	460	25.71
26	55	58	470	25.35
27	57	58	499	25.77
28	59	58	510	25.49
29	62	59	537	25.56
30	64	59	548	25.30
31	66	61	561	25.32
32	68	61	583	25.34
33	70	61	592	25.02
34	72	61	600	24.66
35	74	61	611	24.46
36	77	61	626	24.11
37	79	62	637	24.01
38	81	62	646	23.77
39	83	62	656	23.59
40	85	62	665	23.36
41	87	63	685	23.59
42	89	63	694	23.37
43	92	63	708	23.08
44	94	63	717	22.88
45	96	63	727	22.73
46	98	63	741	22.68
47	100	63	762	22.73
48	102	63	771	22.56
49	104	63	834	23.65
50	107	63	851	23.56
51	109	63	866	23.54
52	111	63	873	23.30
53	113	63	880	23.08
54	115	63	900	23.22
55	117	63	910	23.08
56	119	63	919	22.94
57	121	63	928	22.79
58	124	63	954	22.89
59	126	63	963	22.75
60	128	66	977	22.72
61	130	67	993	22.72
62	132	68	1007	22.76
63	134	68	1034	22.92
64	136	68	1044	22.80
65	139	69	1067	22.80
66	141	69	1076	22.68
67	143	69	1100	22.88
68	145	69	1109	22.76
69	147	69	1144	23.03
70	149	69	1175	23.27
71	151	69	1197	23.41
72	154	69	1231	23.50
73	156	69	1239	23.36
74	158	69	1255	23.36
75	160	69	1265	23.26
76	162	69	1287	23.32
77	164	71	1308	23.37
78	166	71	1318	23.28
79	169	71	1342	23.23
80	171	71	1355	23.17
81	173	71	1367	23.11
82	175	71	1375	22.99
83	177	71	1391	23.01
84	179	71	1413	23.06
85	181	71	1443	23.22
86	184	71	1465	23.21
87	186	71	1476	23.15
88	188	71	1485	23.06
89	190	71	1495	23.01
90	192	71	1504	22.92
91	194	71	1514	22.85
92	196	71	1537	22.96
93	199	71	1551	22.84
94	201	71	1572	22.86
95	203	71	1581	22.78
96	205	71	1588	22.66
97	207	71	1597	22.58
98	209	71	1605	22.48
99	211	71	1613	22.39
100	214	71	1624	22.25
