Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	4	1219	100.00
2	2	12	3143	78.28
3	3	42	5404	72.37
4	4	64	6824	66.69
5	5	112	10521	68.77
6	6	135	11914	66.54
7	7	150	12884	63.79
8	8	222	17134	64.62
9	9	222	17397	61.27
10	11	267	18658	58.41
11	12	270	18883	56.21
12	13	290	22586	56.62
13	14	405	25963	57.04
14	15	408	26146	56.08
15	16	408	26230	54.18
16	17	408	26304	52.35
17	18	417	27628	51.55
18	19	449	29650	51.67
19	20	458	29760	50.89
20	22	493	32619	49.87
21	23	510	33375	49.06
22	24	527	33715	48.47
23	25	586	34559	47.39
24	26	606	35358	46.75
25	27	613	35496	46.20
26	28	628	35802	45.65
27	29	639	36694	45.07
28	30	639	36726	44.12
29	31	650	37138	43.72
30	33	664	38064	42.99
31	34	666	38102	42.59
32	35	667	38337	42.26
33	36	668	39043	42.09
34	37	671	39349	41.58
35	38	671	39406	41.00
36	39	688	40375	40.81
37	40	718	43348	41.47
38	41	736	43576	40.92
39	42	753	44462	40.72
40	44	783	45040	40.01
41	45	785	45424	39.55
42	46	805	46100	39.35
43	47	807	46181	38.98
44	48	833	47070	38.82
45	49	833	47138	38.34
46	50	845	47227	38.05
47	51	866	48969	38.19
48	52	867	49119	37.82
49	53	867	49903	37.46
50	55	929	52628	37.81
51	56	947	53097	37.69
52	57	959	53114	37.45
53	58	1000	55270	37.73
54	59	1020	58422	38.30
55	60	1042	59689	38.23
56	61	1042	59771	38.00
57	62	1045	59986	37.82
58	63	1052	60345	37.68
59	64	1053	60479	37.31
60	66	1056	61039	36.90
61	67	1113	66037	37.51
62	68	1127	66236	37.30
63	69	1140	67688	37.25
64	70	1153	69245	37.20
65	71	1164	69363	37.01
66	72	1165	69391	36.73
67	73	1168	71050	36.70
68	74	1168	71105	36.50
69	75	1172	71725	36.41
70	77	1186	72986	36.21
71	78	1203	73028	35.96
72	79	1220	74823	35.88
73	80	1232	74884	35.64
74	81	1240	75504	35.47
75	82	1256	76306	35.30
76	83	1259	76478	35.13
77	84	1277	77209	35.06
78	85	1281	77936	34.79
79	86	1283	78209	34.72
80	88	1304	80327	34.71
81	89	1311	81497	34.65
82	90	1313	81563	34.50
83	91	1331	81750	34.34
84	92	1351	84289	34.54
85	93	1351	84654	34.27
86	94	1354	85246	34.07
87	95	1364	85278	33.87
88	96	1377	85831	33.74
89	97	1381	85931	33.50
90	99	1384	86161	33.24
91	100	1398	87137	33.13
92	101	1398	87152	33.02
93	102	1401	87166	32.83
94	103	1404	87322	32.71
95	104	1410	87850	32.65
96	105	1428	87976	32.50
97	106	1437	88456	32.43
98	107	1443	88878	32.27
99	108	1443	88881	32.16
100	110	1477	92832	32.37
