Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	95	398	32.15
2	17	96	576	23.06
3	26	96	739	19.35
4	35	96	903	17.44
5	43	96	1026	16.05
6	52	96	1196	15.41
7	61	96	1319	14.35
8	70	96	1461	13.74
9	78	96	1560	13.21
10	87	96	1676	12.67
11	96	96	1801	12.36
12	105	97	2091	13.01
13	113	97	2207	12.83
14	122	97	2312	12.41
15	131	103	2416	12.10
16	140	103	2523	11.88
17	148	103	2624	11.68
18	157	103	2725	11.44
19	166	103	2834	11.26
20	175	104	2992	11.28
21	183	104	3089	11.16
22	192	104	3185	10.95
23	201	104	3285	10.78
24	210	104	3387	10.61
25	218	104	3469	10.47
26	227	104	3567	10.38
27	236	108	3661	10.26
28	245	108	3742	10.11
29	253	108	3816	10.01
30	262	108	3938	10.00
31	271	108	4030	9.87
32	280	108	4117	9.76
33	288	108	4200	9.66
34	297	108	4292	9.55
35	306	108	4384	9.45
36	315	108	4467	9.37
37	323	109	4590	9.40
38	332	109	4683	9.32
39	341	109	4773	9.26
40	350	109	4866	9.21
41	358	109	4958	9.20
42	367	136	5056	9.16
43	376	136	5144	9.09
44	385	136	5258	9.07
45	393	136	5333	9.01
46	402	136	5421	8.95
47	411	136	5519	8.91
48	420	136	5607	8.86
49	428	136	5693	8.82
50	437	136	5779	8.77
51	446	136	5869	8.71
52	455	136	5959	8.68
53	463	136	6038	8.63
54	472	136	6142	8.61
55	481	136	6236	8.58
56	490	136	6328	8.55
57	498	137	6431	8.56
58	507	137	6518	8.53
59	516	137	6625	8.52
60	525	137	6720	8.50
61	533	137	6797	8.45
62	542	137	6881	8.41
63	551	137	6976	8.39
64	560	137	7053	8.36
65	568	137	7131	8.33
66	577	137	7224	8.30
67	586	137	7311	8.27
68	595	137	7395	8.24
69	603	137	7478	8.24
70	612	138	7582	8.24
71	621	138	7672	8.20
72	630	138	7757	8.17
73	638	138	7836	8.14
74	647	138	7919	8.11
75	656	138	8006	8.10
76	665	138	8092	8.06
77	673	138	8171	8.04
78	682	138	8257	8.01
79	691	138	8352	8.00
80	700	138	8440	7.97
81	708	140	8526	7.96
82	717	140	8618	7.95
83	726	140	8704	7.92
84	735	140	8787	7.90
85	743	140	8866	7.88
86	752	140	8955	7.87
87	761	141	9046	7.85
88	770	141	9128	7.82
89	778	141	9197	7.80
90	787	141	9280	7.78
91	796	141	9379	7.78
92	805	141	9466	7.76
93	813	141	9546	7.74
94	822	141	9634	7.72
95	831	141	9724	7.71
96	840	141	9811	7.69
97	848	141	9887	7.67
98	857	141	9981	7.67
99	866	141	10069	7.65
100	875	141	10154	7.64
