Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	398	5762	74.48
2	7	915	15503	68.36
3	11	991	18049	61.14
4	15	1343	23606	58.73
5	19	1460	27751	54.66
6	23	1666	31271	49.26
7	26	1714	33832	47.79
8	30	1879	37708	45.93
9	34	1995	41168	44.47
10	38	2044	43023	42.70
11	42	2141	47453	42.34
12	46	2297	51943	41.94
13	49	2311	52457	40.79
14	53	2338	59674	41.14
15	57	2346	61610	40.40
16	61	2359	63246	39.32
17	65	2445	64334	38.31
18	69	2513	67032	37.52
19	72	2583	67544	36.36
20	76	2763	72050	36.49
21	80	2779	73219	35.24
22	84	2813	77045	33.68
23	88	2866	78572	32.71
24	92	2880	79444	32.19
25	96	2955	80905	31.72
26	99	3029	82731	31.62
27	103	3047	84369	31.23
28	107	3166	88143	31.26
29	111	3184	89645	30.85
30	115	3232	97445	31.57
31	119	3268	103197	32.05
32	122	3277	104068	31.68
33	126	3288	106987	31.60
34	130	3305	108303	31.30
35	134	3329	109126	30.89
36	138	3362	109496	30.44
37	142	3384	111020	29.73
38	145	3390	111149	29.27
39	149	3417	112141	28.88
40	153	3459	113589	28.50
41	157	3507	114935	28.18
42	161	3516	115195	27.87
43	165	3526	116649	27.40
44	168	3563	117773	27.20
45	172	3581	129335	28.53
46	176	3589	129848	28.24
47	180	3606	132917	28.28
48	184	3624	133496	27.96
49	188	3631	136544	28.00
50	192	3651	138096	27.75
51	195	3668	138829	27.60
52	199	3683	143199	27.24
53	203	3719	143391	26.78
54	207	3725	144060	26.49
55	211	3747	145249	26.35
56	215	3805	147164	26.07
57	218	3811	147856	25.78
58	222	3838	148744	25.59
59	226	3878	150396	25.35
60	230	3887	150590	25.12
61	234	3931	151253	24.99
62	238	4033	153340	24.96
63	241	4064	153761	24.78
64	245	4075	155260	24.63
65	249	4112	160781	24.48
66	253	4164	161279	24.33
67	257	4199	162413	24.10
68	261	4246	163959	23.96
69	264	4299	164281	23.81
70	268	4345	165718	23.54
71	272	4364	166988	23.40
72	276	4377	167230	23.19
73	280	4420	168545	23.08
74	284	4426	169426	22.75
75	288	4458	173240	22.64
76	291	4470	174327	22.59
77	295	4523	174715	22.36
78	299	4564	175318	22.23
79	303	4567	175651	22.10
80	307	4601	178310	22.07
81	311	4643	182061	22.13
82	314	4649	182225	21.94
83	318	4649	182525	21.64
84	322	4659	182824	21.50
85	326	4676	183693	21.31
86	330	4684	184559	21.12
87	334	4710	185307	20.99
88	337	4720	185493	20.90
89	341	4721	185988	20.70
90	345	4731	186471	20.62
91	349	4738	186571	20.52
92	353	4759	187140	20.38
93	357	4779	191770	20.52
94	360	4819	191876	20.34
95	364	4842	191958	20.24
96	368	4876	192106	20.06
97	372	4895	193543	20.03
98	376	4906	194065	19.94
99	380	4910	194147	19.79
100	384	4916	194475	19.71
