Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	121	157	60.85
2	7	122	218	41.84
3	11	124	286	35.05
4	14	130	339	32.10
5	18	131	422	31.66
6	22	132	479	29.81
7	25	132	518	28.45
8	29	132	566	27.06
9	33	133	625	26.69
10	37	135	672	25.46
11	40	135	703	24.61
12	44	135	752	23.85
13	48	135	807	23.40
14	51	137	877	24.03
15	55	137	962	24.15
16	59	137	996	23.66
17	62	137	1032	23.20
18	66	137	1066	22.68
19	70	137	1129	22.68
20	74	137	1170	22.28
21	77	137	1222	22.42
22	81	137	1252	22.07
23	85	139	1309	21.94
24	88	139	1345	21.68
25	92	139	1405	21.61
26	96	139	1434	21.31
27	99	139	1467	21.05
28	103	139	1510	20.79
29	107	139	1553	20.69
30	111	139	1592	20.40
31	114	139	1627	20.23
32	118	139	1680	20.12
33	122	139	1711	19.90
34	125	139	1769	20.07
35	129	139	1814	19.93
36	133	139	1874	19.97
37	136	139	1903	19.78
38	140	139	1937	19.58
39	144	153	1971	19.42
40	148	153	2056	19.69
41	151	153	2096	19.62
42	155	153	2129	19.47
43	159	153	2160	19.32
44	162	153	2182	19.19
45	166	153	2222	19.04
46	170	153	2273	19.06
47	173	153	2293	18.96
48	177	153	2324	18.83
49	181	153	2363	18.73
50	185	153	2400	18.59
51	188	153	2432	18.53
52	192	153	2476	18.42
53	196	153	2524	18.36
54	199	153	2568	18.37
55	203	153	2607	18.29
56	207	153	2646	18.19
57	210	153	2691	18.22
58	214	153	2719	18.10
59	218	153	2747	17.99
60	222	157	2805	18.05
61	225	157	2848	18.10
62	229	157	2914	18.16
63	233	157	2943	18.06
64	236	157	2966	17.99
65	240	157	3009	17.93
66	244	157	3049	17.85
67	247	157	3076	17.79
68	251	157	3112	17.74
69	255	157	3158	17.71
70	259	157	3189	17.64
71	262	157	3211	17.58
72	266	157	3254	17.51
73	270	157	3283	17.43
74	273	157	3314	17.38
75	277	157	3358	17.34
76	281	157	3391	17.27
77	284	157	3417	17.21
78	288	157	3472	17.28
79	292	157	3515	17.22
80	296	157	3586	17.30
81	299	157	3616	17.25
82	303	157	3663	17.23
83	307	157	3707	17.18
84	310	157	3733	17.13
85	314	157	3777	17.13
86	318	157	3809	17.07
87	321	157	3867	17.13
88	325	157	3899	17.07
89	329	157	3931	17.01
90	333	157	3963	16.95
91	336	157	3985	16.90
92	340	157	4017	16.85
93	344	157	4049	16.79
94	347	157	4066	16.74
95	351	157	4100	16.69
96	355	157	4147	16.68
97	358	157	4172	16.64
98	362	157	4220	16.64
99	366	157	4249	16.60
100	370	157	4283	16.55
