Percentage	Tests_Executed	Functions_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	401	4543	100.00
2	2	508	5247	79.37
3	3	564	5409	59.32
4	4	606	5958	52.94
5	6	644	6810	41.81
6	7	675	7841	40.68
7	8	677	8117	39.53
8	9	727	9206	38.48
9	10	747	9551	37.20
10	12	776	12659	39.27
11	13	793	12913	37.51
12	14	831	13843	36.71
13	15	961	15852	36.93
14	17	1000	16686	34.92
15	18	1035	17215	34.48
16	19	1035	17439	33.56
17	20	1038	17562	32.52
18	21	1103	18339	32.31
19	23	1139	20281	32.62
20	24	1140	20540	32.29
21	25	1172	22038	32.26
22	26	1177	22882	32.17
23	28	1217	24782	32.22
24	29	1287	25471	31.04
25	30	1311	25574	30.30
26	31	1319	25778	29.59
27	32	1328	25966	28.54
28	34	1340	27940	28.54
29	35	1345	28370	28.05
30	36	1378	29011	28.04
31	37	1378	29052	27.73
32	39	1401	30178	27.19
33	40	1411	30336	26.76
34	41	1439	31667	27.12
35	42	1443	31958	26.68
36	43	1477	32841	26.30
37	45	1486	33170	25.75
38	46	1513	33450	25.37
39	47	1527	33859	25.03
40	48	1562	33962	24.37
41	50	1613	34398	24.11
42	51	1619	34662	23.91
43	52	1649	35080	23.58
44	53	1652	35149	23.17
45	54	1674	35403	22.90
46	56	1682	36525	22.85
47	57	1688	36776	22.51
48	58	1690	37401	22.45
49	59	1690	37431	22.22
50	61	1702	37899	21.82
51	62	1713	38190	21.74
52	63	1726	38556	21.46
53	64	1744	38733	21.23
54	65	1762	39120	21.09
55	67	1768	39291	20.74
56	68	1771	39662	20.72
57	69	1771	40132	20.55
58	70	1846	40282	20.10
59	71	1849	40489	19.93
60	73	1867	40903	19.68
61	74	1875	43080	20.18
62	75	1894	43285	20.00
63	76	1898	43460	19.81
64	78	1902	44503	19.58
65	79	1906	44614	19.42
66	80	1907	44633	19.19
67	81	1908	44688	18.97
68	82	1908	44847	18.85
69	84	1910	45009	18.53
70	85	1920	45701	18.58
71	86	1921	45782	18.42
72	87	1921	45821	18.30
73	89	1927	45899	17.93
74	90	1928	46058	17.80
75	91	1928	46065	17.69
76	92	1928	46196	17.48
77	93	1938	46415	17.26
78	95	1964	46474	16.87
79	96	1964	46477	16.72
80	97	1964	46672	16.71
81	98	1964	46766	16.63
82	100	1982	46897	16.36
83	101	1982	47017	16.29
84	102	1998	47178	16.14
85	103	2015	47219	15.95
86	104	2015	47614	15.98
87	106	2062	47781	15.63
88	107	2065	47806	15.51
89	108	2065	47824	15.35
90	109	2074	48006	15.28
91	111	2091	48342	15.17
92	112	2091	48558	15.10
93	113	2097	50163	15.32
94	114	2098	50491	15.32
95	115	2115	51536	15.50
96	117	2166	52134	15.34
97	118	2167	52165	15.27
98	119	2168	52261	15.21
99	120	2171	52299	15.11
100	122	2171	52641	15.00
