Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	1061	187	58.99
2	16	1206	271	47.88
3	24	1269	363	42.11
4	32	1306	441	38.12
5	40	1451	519	36.73
6	48	1494	612	34.89
7	56	1513	664	32.63
8	64	1535	735	31.97
9	72	1556	809	31.02
10	80	1557	843	29.35
11	88	1568	912	28.67
12	97	1573	957	27.37
13	105	1576	986	26.17
14	113	1586	1016	24.89
15	121	1591	1061	24.08
16	129	1596	1117	23.85
17	137	1600	1167	23.49
18	145	1604	1207	23.15
19	153	1605	1240	22.55
20	161	1616	1291	22.13
21	169	1619	1317	21.59
22	177	1623	1381	21.67
23	186	1626	1566	23.04
24	194	1627	1639	23.06
25	202	1627	1673	22.49
26	210	1630	1713	22.06
27	218	1638	1751	21.83
28	226	1640	1782	21.41
29	234	1645	1803	20.92
30	242	1650	1832	20.55
31	250	1651	1870	20.35
32	258	1653	1905	20.13
33	266	1653	1944	19.93
34	275	1653	1958	19.37
35	283	1653	1988	19.18
36	291	1653	2013	18.81
37	299	1653	2032	18.52
38	307	1659	2056	18.25
39	315	1662	2103	18.20
40	323	1662	2131	18.00
41	331	1662	2141	17.68
42	339	1664	2170	17.50
43	347	1664	2202	17.41
44	355	1664	2218	17.18
45	364	1664	2233	16.84
46	372	1664	2261	16.66
47	380	1668	2295	16.60
48	388	1668	2324	16.48
49	396	1680	2341	16.24
50	404	1684	2354	16.03
51	412	1687	2371	15.86
52	420	1688	2382	15.64
53	428	1696	2404	15.50
54	436	1696	2419	15.35
55	444	1696	2432	15.17
56	453	1696	2442	14.89
57	461	1699	2464	14.74
58	469	1704	2490	14.63
59	477	1708	2503	14.47
60	485	1709	2529	14.38
61	493	1718	2544	14.19
62	501	1718	2561	14.06
63	509	1720	2589	14.02
64	517	1720	2603	13.90
65	525	1720	2621	13.77
66	533	1720	2630	13.62
67	542	1721	2652	13.52
68	550	1721	2671	13.42
69	558	1721	2686	13.33
70	566	1721	2691	13.17
71	574	1721	2703	13.03
72	582	1722	2718	12.94
73	590	1723	2740	12.88
74	598	1723	2755	12.79
75	606	1723	2767	12.67
76	614	1728	2781	12.56
77	622	1728	2788	12.40
78	631	1728	2800	12.26
79	639	1728	2821	12.20
80	647	1728	2831	12.09
81	655	1728	2840	11.98
82	663	1728	2854	11.89
83	671	1735	2891	11.91
84	679	1735	2900	11.80
85	687	1738	2913	11.71
86	695	1739	2936	11.67
87	703	1739	2967	11.65
88	711	1740	2991	11.62
89	720	1750	3012	11.55
90	728	1750	3018	11.45
91	736	1750	3035	11.37
92	744	1754	3050	11.31
93	752	1754	3061	11.23
94	760	1755	3067	11.13
95	768	1759	3092	11.11
96	776	1792	3106	11.05
97	784	1792	3124	11.00
98	792	1798	3130	10.91
99	800	1802	3146	10.84
100	809	1802	3157	10.74
