Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	338	43	65.15
2	4	344	62	47.33
3	6	360	87	43.50
4	8	563	115	43.56
5	10	566	136	43.17
6	12	569	152	40.00
7	14	569	165	37.16
8	17	628	261	44.46
9	19	628	274	41.96
10	21	680	307	41.54
11	23	680	318	39.55
12	25	680	331	38.13
13	27	682	356	37.36
14	29	682	367	36.02
15	32	682	381	34.02
16	34	723	426	35.06
17	36	740	446	34.76
18	38	740	456	33.83
19	40	740	468	33.19
20	42	740	482	32.61
21	44	752	519	33.02
22	47	752	542	32.61
23	49	752	566	32.38
24	51	752	577	31.81
25	53	752	587	31.26
26	55	752	599	31.17
27	57	752	608	30.58
28	59	752	638	30.96
29	62	764	660	30.53
30	64	764	670	30.09
31	66	764	680	29.66
32	68	764	689	29.22
33	70	764	714	29.27
34	72	764	721	28.91
35	74	764	733	28.64
36	77	807	762	28.65
37	79	807	784	28.56
38	81	815	800	28.45
39	83	815	809	28.10
40	85	815	820	27.85
41	87	815	830	27.57
42	89	818	843	27.57
43	92	818	859	27.23
44	94	818	881	27.20
45	96	818	892	27.00
46	98	818	900	26.70
47	100	825	922	26.69
48	102	825	932	26.51
49	104	825	941	26.28
50	107	827	966	26.22
51	109	827	986	26.15
52	111	827	996	25.97
53	113	827	1004	25.73
54	115	827	1015	25.59
55	117	827	1035	25.62
56	119	827	1056	25.59
57	121	827	1088	25.71
58	124	847	1110	25.62
59	126	851	1128	25.63
60	128	851	1138	25.48
61	130	851	1148	25.35
62	132	851	1159	25.22
63	134	851	1169	25.10
64	136	851	1181	25.01
65	139	859	1199	24.84
66	141	859	1208	24.69
67	143	859	1218	24.58
68	145	859	1228	24.46
69	147	859	1238	24.35
70	149	859	1248	24.23
71	151	859	1265	24.26
72	154	859	1287	24.22
73	156	859	1296	24.08
74	158	867	1315	24.16
75	160	867	1323	24.01
76	162	867	1331	23.87
77	164	867	1339	23.74
78	166	867	1347	23.60
79	169	869	1363	23.52
80	171	869	1382	23.50
81	173	869	1390	23.37
82	175	869	1399	23.25
83	177	869	1414	23.21
84	179	870	1433	23.21
85	181	870	1442	23.12
86	184	870	1462	23.07
87	186	870	1482	23.08
88	188	871	1495	23.10
89	190	871	1504	23.01
90	192	871	1515	22.96
91	194	871	1535	22.97
92	196	871	1541	22.85
93	199	880	1557	22.78
94	201	880	1563	22.65
95	203	880	1570	22.53
96	205	880	1578	22.43
97	207	880	1587	22.35
98	209	880	1596	22.27
99	211	880	1610	22.29
100	214	880	1624	22.25
