Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	10	1890	100.00
2	2	166	2907	78.15
3	3	366	5301	73.61
4	4	386	5983	68.06
5	5	496	8000	66.63
6	6	500	8412	62.76
7	7	500	8541	56.58
8	8	506	9066	54.50
9	9	742	10079	53.30
10	11	1138	14983	56.35
11	12	1190	16054	55.71
12	13	1194	16271	54.20
13	14	1212	16504	53.02
14	15	1218	16752	50.99
15	16	1234	17076	49.06
16	17	1284	17571	48.56
17	18	1288	17713	47.36
18	19	1300	17874	45.95
19	20	1336	19644	46.26
20	22	1430	23125	46.68
21	23	1516	23752	46.02
22	24	1634	27574	47.82
23	25	1634	27868	47.26
24	26	1634	28033	46.07
25	27	1678	28740	45.52
26	28	1856	29661	45.04
27	29	1878	30860	44.84
28	30	1914	31097	44.23
29	31	2180	32533	43.92
30	33	2248	32781	42.92
31	34	2336	35216	43.40
32	35	2392	36318	43.00
33	36	2394	36482	42.37
34	37	2422	36736	41.96
35	38	2426	36744	41.53
36	39	2446	36911	40.83
37	40	2522	39416	40.76
38	41	2570	40078	40.58
39	42	2590	41786	40.59
40	44	2598	42055	39.65
41	45	2630	42415	39.41
42	46	2630	43748	39.42
43	47	2782	46535	39.92
44	48	2856	47560	39.68
45	49	2862	47865	39.32
46	50	2862	48343	39.05
47	51	3052	49648	38.91
48	52	3366	52185	39.49
49	53	3368	52260	39.15
50	55	3416	53313	38.78
51	56	3536	54480	38.33
52	57	3566	54622	37.86
53	58	3638	55471	37.73
54	59	3706	56479	37.74
55	60	3706	56558	37.50
56	61	3732	56893	37.31
57	62	3734	56958	37.07
58	63	4234	59251	37.04
59	64	4342	60220	36.88
60	66	4348	61040	36.53
61	67	4504	62632	36.65
62	68	4504	62784	36.48
63	69	4504	63073	36.30
64	70	4538	65043	36.37
65	71	4538	65073	36.02
66	72	4614	65882	35.92
67	73	4638	65924	35.76
68	74	4674	67192	35.72
69	75	4684	67864	35.58
70	77	4690	67931	35.16
71	78	4938	70702	35.49
72	79	4948	70916	35.38
73	80	4948	71421	35.17
74	81	4948	71472	34.89
75	82	5156	73572	35.11
76	83	5156	73967	34.93
77	84	5160	74107	34.72
78	85	5160	74392	34.59
79	86	5160	74622	34.49
80	88	5186	75635	34.36
81	89	5186	75649	34.14
82	90	5196	75744	33.99
83	91	5370	76492	33.93
84	92	5372	76529	33.72
85	93	5378	76565	33.51
86	94	5378	76723	33.33
87	95	5380	77240	33.15
88	96	5920	81779	33.57
89	97	5936	82441	33.37
90	99	6038	84758	33.20
91	100	6128	87359	33.32
92	101	6218	88015	33.21
93	102	6218	88142	33.11
94	103	6306	89595	33.15
95	104	6372	90899	33.09
96	105	6424	91496	32.95
97	106	6438	91884	32.78
98	107	6478	91967	32.66
99	108	6486	92631	32.58
100	110	6490	92832	32.37
