Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	7266	4709	59.70
2	7	9946	8555	44.19
3	10	13424	11024	39.45
4	14	14050	12180	32.56
5	17	14788	13351	29.59
6	21	15116	13926	25.96
7	24	15428	14608	24.10
8	28	17296	15603	22.20
9	31	18852	16666	21.26
10	35	19430	17154	19.32
11	39	21262	17462	18.02
12	42	21832	18147	17.40
13	46	22232	19034	16.85
14	49	22844	19272	16.06
15	53	23518	19945	15.45
16	56	24250	21141	15.33
17	60	24874	21667	14.72
18	63	24956	21847	14.22
19	67	25324	22255	13.68
20	71	25530	22638	13.22
21	74	25950	22804	12.75
22	78	26266	23023	12.24
23	81	26712	23784	12.17
24	85	27056	24371	11.94
25	88	27624	25269	11.90
26	92	28142	26058	11.66
27	95	29114	27081	11.63
28	99	29484	27581	11.38
29	102	29822	27630	11.10
30	106	30452	28823	11.08
31	110	30758	29037	10.78
32	113	31196	29263	10.59
33	117	31682	29803	10.36
34	120	32704	30304	10.26
35	124	32984	30476	10.01
36	127	33456	31009	9.92
37	131	33552	31153	9.73
38	134	34406	31466	9.59
39	138	34648	32135	9.52
40	142	35320	32684	9.41
41	145	35882	32816	9.24
42	149	36108	32992	9.08
43	152	36314	33258	8.97
44	156	36786	37348	9.71
45	159	36856	37453	9.58
46	163	37204	37778	9.43
47	166	37332	38158	9.36
48	170	37540	38341	9.22
49	173	38420	38739	9.15
50	177	38708	40359	9.31
51	181	38908	40677	9.19
52	184	40000	41040	9.11
53	188	40938	42935	9.25
54	191	41006	43078	9.15
55	195	41292	43565	9.06
56	198	41936	44218	9.02
57	202	42166	44341	8.89
58	205	42420	44661	8.83
59	209	42628	45378	8.77
60	213	43276	45799	8.68
61	216	43502	45874	8.59
62	220	43836	46155	8.49
63	223	43912	46348	8.41
64	227	44518	47489	8.45
65	230	46104	48288	8.45
66	234	46396	48678	8.37
67	237	46432	48795	8.28
68	241	46724	49650	8.28
69	244	47064	50403	8.26
70	248	48122	51627	8.31
71	252	48208	51726	8.21
72	255	48276	51813	8.14
73	259	48540	51952	8.06
74	262	48946	52166	8.01
75	266	49294	52322	7.92
76	269	49582	52489	7.85
77	273	50196	54060	7.91
78	276	50390	54172	7.86
79	280	51694	55940	7.94
80	284	51964	56305	7.87
81	287	52884	56536	7.80
82	291	53400	56837	7.74
83	294	53484	56959	7.69
84	298	53742	57057	7.62
85	301	54324	57440	7.56
86	305	55134	58099	7.51
87	308	55212	58151	7.45
88	312	55484	58320	7.37
89	315	55942	58649	7.34
90	319	56370	59600	7.34
91	323	56814	59904	7.29
92	326	56842	59973	7.24
93	330	56882	60033	7.18
94	333	57294	60518	7.17
95	337	57672	60884	7.13
96	340	57704	60981	7.09
97	344	58142	61131	7.02
98	347	58306	61345	6.97
99	351	58438	61402	6.91
100	355	58688	61530	6.85
