Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	7260	2924	81.31
2	4	8850	5099	70.63
3	6	9156	7354	64.48
4	8	13758	8953	59.51
5	10	14358	10700	57.70
6	13	18786	15871	56.51
7	15	19354	17348	54.62
8	17	19518	18640	52.89
9	19	19782	20238	51.54
10	21	20826	23095	50.93
11	23	23262	26641	50.83
12	26	27326	30196	49.33
13	28	28148	31878	48.27
14	30	29944	33590	47.21
15	32	34202	38703	47.11
16	34	34324	39242	46.13
17	36	36402	43935	47.05
18	39	37204	45885	45.84
19	41	37308	47455	45.56
20	43	37612	48864	44.80
21	45	39118	51606	44.23
22	47	40214	53181	43.84
23	49	40938	54946	43.43
24	52	41580	58172	42.89
25	54	41876	58917	42.25
26	56	42776	66105	42.82
27	58	43850	69168	42.52
28	60	44500	70173	41.99
29	62	44964	70922	41.50
30	65	45086	71764	40.80
31	67	45718	72071	40.38
32	69	47318	77050	40.49
33	71	47526	79873	40.20
34	73	49054	80502	39.70
35	75	49476	82358	39.26
36	78	51266	85887	38.66
37	80	51462	86491	38.36
38	82	52212	88430	38.26
39	84	52366	89574	37.95
40	86	52532	89920	37.64
41	88	52784	90598	37.32
42	91	52834	92390	37.04
43	93	54134	106967	38.06
44	95	54438	109565	37.73
45	97	54504	110364	37.41
46	99	54524	112427	34.84
47	101	54688	113806	34.63
48	104	55638	116018	34.15
49	106	56868	120031	34.25
50	108	57526	121072	34.06
51	110	57962	122749	33.98
52	112	58176	125051	33.78
53	115	58868	130114	33.63
54	117	59556	131079	33.29
55	119	66762	134972	33.07
56	121	66908	135937	32.85
57	123	66920	136745	32.73
58	125	67446	137862	32.56
59	128	67946	138471	32.31
60	130	67968	138979	32.17
61	132	68196	143782	32.27
62	134	68494	145489	32.18
63	136	68888	147025	32.07
64	138	68972	148222	31.84
65	141	69164	148997	31.55
66	143	69386	149453	31.36
67	145	69422	149831	31.21
68	147	69492	151004	31.00
69	149	69494	151364	30.84
70	151	69538	152074	30.70
71	154	69866	155348	30.47
72	156	70074	157879	30.38
73	158	70128	158355	30.30
74	160	70222	159674	30.14
75	162	70230	160427	30.04
76	164	70518	161702	29.97
77	167	70956	166677	29.97
78	169	72978	169192	29.84
79	171	73036	169605	29.74
80	173	73142	171481	29.68
81	175	73720	172135	29.56
82	177	73866	172649	29.47
83	180	74006	173361	29.35
84	182	74026	173528	29.17
85	184	74050	173641	29.04
86	186	74080	174576	29.04
87	188	74138	175097	28.92
88	190	74276	175940	28.78
89	193	74436	178005	28.55
90	195	74462	179518	28.31
91	197	74568	180415	28.21
92	199	75110	181416	28.12
93	201	75172	181744	28.04
94	203	75268	182577	27.97
95	206	75300	184481	27.88
96	208	75338	184704	27.71
97	210	75450	185401	27.63
98	212	75496	185654	27.58
99	214	75654	187394	27.50
100	217	76174	188031	27.40
