Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	6	2173	203	44.23
2	13	2386	313	31.71
3	20	2419	408	27.31
4	26	2573	475	24.51
5	33	2632	559	22.68
6	40	2643	631	21.00
7	46	2643	672	19.34
8	53	2643	722	18.05
9	60	2697	777	17.10
10	67	2766	840	16.56
11	73	2771	889	16.10
12	80	2778	949	15.69
13	87	2833	997	15.18
14	93	2833	1033	14.72
15	100	2834	1070	14.18
16	107	2834	1100	13.62
17	113	2834	1131	13.25
18	120	2834	1175	12.96
19	127	2889	1223	12.75
20	134	2897	1270	12.55
21	140	2904	1328	12.54
22	147	2904	1359	12.23
23	154	2909	1404	12.07
24	160	2909	1422	11.75
25	167	2909	1451	11.48
26	174	2909	1488	11.29
27	180	2938	1530	11.22
28	187	2956	1565	11.04
29	194	2956	1592	10.82
30	201	2968	1630	10.70
31	207	2968	1655	10.55
32	214	2982	1702	10.50
33	221	3009	1738	10.38
34	227	3009	1768	10.27
35	234	3009	1787	10.07
36	241	3009	1816	9.94
37	247	3010	1844	9.84
38	254	3010	1888	9.79
39	261	3040	1942	9.79
40	268	3046	1979	9.71
41	274	3046	1999	9.60
42	281	3046	2028	9.50
43	288	3046	2054	9.39
44	294	3046	2078	9.32
45	301	3061	2111	9.24
46	308	3065	2148	9.19
47	314	3065	2176	9.14
48	321	3065	2201	9.04
49	328	3065	2233	8.97
50	335	3065	2266	8.91
51	341	3065	2291	8.86
52	348	3065	2321	8.79
53	355	3082	2350	8.72
54	361	3082	2370	8.65
55	368	3088	2396	8.59
56	375	3088	2427	8.53
57	381	3088	2449	8.48
58	388	3088	2472	8.40
59	395	3088	2494	8.32
60	402	3088	2523	8.27
61	408	3090	2545	8.22
62	415	3090	2567	8.15
63	422	3093	2597	8.11
64	428	3096	2619	8.06
65	435	3096	2642	8.00
66	442	3144	2689	8.02
67	448	3144	2715	7.99
68	455	3144	2744	7.95
69	462	3145	2769	7.89
70	469	3154	2803	7.87
71	475	3154	2821	7.82
72	482	3157	2857	7.80
73	489	3157	2881	7.76
74	495	3157	2900	7.71
75	502	3164	2946	7.73
76	509	3164	2984	7.73
77	515	3164	3008	7.69
78	522	3164	3042	7.68
79	529	3183	3079	7.67
80	536	3183	3122	7.68
81	542	3184	3151	7.66
82	549	3186	3182	7.64
83	556	3186	3211	7.61
84	562	3186	3241	7.60
85	569	3192	3266	7.56
86	576	3192	3302	7.55
87	582	3231	3327	7.53
88	589	3237	3355	7.50
89	596	3238	3382	7.47
90	603	3238	3419	7.47
91	609	3240	3438	7.44
92	616	3240	3461	7.40
93	623	3240	3491	7.38
94	629	3256	3519	7.37
95	636	3256	3544	7.34
96	643	3256	3576	7.32
97	649	3256	3596	7.30
98	656	3256	3618	7.26
99	663	3284	3657	7.26
100	670	3284	3690	7.25
