Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	1373	166	57.04
2	16	1506	249	44.46
3	24	1539	325	38.37
4	32	1606	419	36.21
5	40	1641	482	32.99
6	48	1668	536	30.56
7	56	1886	627	31.05
8	64	1905	685	29.64
9	72	1924	755	29.13
10	80	1932	827	28.44
11	88	1979	876	27.47
12	97	1979	922	25.99
13	105	1985	951	24.80
14	113	2001	999	24.04
15	121	2003	1043	23.29
16	129	2003	1063	22.23
17	137	2012	1114	22.03
18	145	2022	1138	21.41
19	153	2022	1159	20.62
20	161	2022	1196	20.24
21	169	2022	1231	19.78
22	177	2022	1261	19.38
23	186	2054	1305	19.22
24	194	2055	1336	18.88
25	202	2059	1383	18.84
26	210	2065	1411	18.52
27	218	2065	1442	18.30
28	226	2070	1463	17.97
29	234	2071	1485	17.63
30	242	2075	1512	17.36
31	250	2075	1522	16.88
32	258	2080	1556	16.73
33	266	2081	1608	16.78
34	275	2083	1639	16.51
35	283	2092	1662	16.27
36	291	2094	1689	16.04
37	299	2094	1720	15.89
38	307	2095	1751	15.72
39	315	2096	1803	15.80
40	323	2098	1824	15.61
41	331	2098	1867	15.60
42	339	2099	1891	15.46
43	347	2099	1919	15.36
44	355	2101	1944	15.22
45	364	2104	2122	16.03
46	372	2104	2140	15.84
47	380	2104	2158	15.62
48	388	2106	2197	15.58
49	396	2106	2219	15.47
50	404	2106	2235	15.23
51	412	2106	2255	15.08
52	420	2106	2270	14.90
53	428	2123	2311	14.83
54	436	2124	2324	14.64
55	444	2129	2346	14.51
56	453	2142	2385	14.51
57	461	2142	2411	14.44
58	469	2142	2430	14.29
59	477	2142	2448	14.14
60	485	2149	2465	14.01
61	493	2149	2478	13.82
62	501	2149	2514	13.78
63	509	2150	2538	13.71
64	517	2150	2551	13.56
65	525	2150	2564	13.42
66	533	2150	2580	13.28
67	542	2150	2618	13.26
68	550	2151	2639	13.19
69	558	2152	2660	13.11
70	566	2152	2683	13.00
71	574	2152	2688	12.85
72	582	2152	2704	12.72
73	590	2152	2711	12.59
74	598	2152	2730	12.51
75	606	2152	2743	12.41
76	614	2158	2760	12.33
77	622	2158	2782	12.27
78	631	2158	2816	12.23
79	639	2158	2842	12.19
80	647	2158	2859	12.11
81	655	2159	2867	11.97
82	663	2165	2891	11.92
83	671	2165	2925	11.92
84	679	2165	2931	11.82
85	687	2165	2946	11.72
86	695	2165	2950	11.61
87	703	2165	2958	11.50
88	711	2180	2968	11.41
89	720	2182	2985	11.34
90	728	2182	3004	11.31
91	736	2182	3015	11.22
92	744	2182	3022	11.12
93	752	2190	3045	11.10
94	760	2190	3066	11.08
95	768	2191	3085	11.04
96	776	2191	3119	11.06
97	784	2191	3129	10.99
98	792	2191	3137	10.91
99	800	2191	3153	10.86
100	809	2191	3157	10.74
