Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	2	523	45	80.36
2	4	537	63	51.64
3	6	570	90	50.56
4	8	580	104	46.85
5	10	1006	175	55.38
6	12	1010	193	50.79
7	14	1010	211	47.20
8	17	1021	240	43.80
9	19	1021	253	41.27
10	21	1021	279	40.67
11	23	1038	307	39.87
12	25	1038	323	38.59
13	27	1038	343	37.82
14	29	1038	355	36.49
15	32	1038	368	34.26
16	34	1044	383	33.98
17	36	1044	404	33.31
18	38	1044	436	33.54
19	40	1044	447	32.75
20	42	1044	458	32.03
21	44	1044	472	31.91
22	47	1053	487	31.08
23	49	1065	500	30.77
24	51	1065	511	30.25
25	53	1065	523	29.82
26	55	1072	543	29.77
27	57	1072	554	29.33
28	59	1072	564	28.88
29	62	1085	588	28.74
30	64	1085	597	28.27
31	66	1085	614	28.23
32	68	1085	625	27.91
33	70	1085	635	27.56
34	72	1085	646	27.28
35	74	1085	655	26.91
36	77	1085	671	26.50
37	79	1085	682	26.26
38	81	1085	713	26.61
39	83	1085	735	26.60
40	85	1085	744	26.31
41	87	1085	760	26.24
42	89	1101	781	26.39
43	92	1109	806	26.34
44	94	1109	816	26.11
45	96	1109	822	25.75
46	98	1109	844	25.77
47	100	1109	856	25.64
48	102	1109	863	25.33
49	104	1109	884	25.32
50	107	1134	902	25.09
51	109	1134	909	24.86
52	111	1134	920	24.74
53	113	1134	931	24.62
54	115	1134	940	24.43
55	117	1135	951	24.30
56	119	1135	962	24.18
57	121	1139	1023	25.02
58	124	1139	1037	24.77
59	126	1219	1054	24.76
60	128	1277	1070	24.87
61	130	1277	1092	24.89
62	132	1277	1113	24.88
63	134	1277	1125	24.77
64	136	1277	1132	24.56
65	139	1277	1146	24.33
66	141	1277	1156	24.21
67	143	1277	1167	24.11
68	145	1277	1186	24.08
69	147	1278	1200	24.03
70	149	1278	1211	23.94
71	151	1278	1239	24.05
72	154	1278	1268	24.12
73	156	1278	1276	23.98
74	158	1278	1286	23.88
75	160	1278	1296	23.78
76	162	1278	1304	23.63
77	164	1278	1324	23.64
78	166	1297	1340	23.63
79	169	1297	1355	23.49
80	171	1297	1363	23.36
81	173	1297	1372	23.26
82	175	1297	1381	23.16
83	177	1297	1401	23.16
84	179	1297	1409	23.04
85	181	1297	1424	23.03
86	184	1297	1440	22.93
87	186	1297	1449	22.83
88	188	1297	1454	22.71
89	190	1302	1475	22.74
90	192	1302	1485	22.66
91	194	1302	1493	22.56
92	196	1302	1502	22.47
93	199	1302	1530	22.50
94	201	1302	1541	22.50
95	203	1302	1548	22.39
96	205	1302	1556	22.30
97	207	1302	1566	22.23
98	209	1302	1578	22.20
99	211	1302	1587	22.12
100	214	1302	1624	22.25
