Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	124	1532	100.00
2	2	160	2027	71.45
3	3	270	3185	65.13
4	4	516	4664	64.48
5	5	552	5060	59.49
6	6	760	7412	61.99
7	7	1152	8325	59.07
8	8	1264	10673	59.74
9	9	1382	11237	57.84
10	11	2774	14932	57.31
11	12	3058	15597	55.93
12	13	3140	15899	54.03
13	14	3532	17030	53.26
14	15	3626	17221	52.08
15	16	3708	17328	50.05
16	17	4018	18805	49.56
17	18	4090	19886	49.02
18	19	4986	22092	50.16
19	20	5034	22223	49.00
20	22	5614	24830	48.52
21	23	6012	27396	48.29
22	24	6990	30231	49.31
23	25	7004	30284	48.66
24	26	7010	30398	47.82
25	27	7050	30529	47.14
26	28	7076	30682	46.58
27	29	7386	33200	47.00
28	30	7404	33318	46.37
29	31	7584	34179	46.14
30	33	7916	35928	45.29
31	34	8030	36341	44.88
32	35	8206	37261	44.25
33	36	8572	40805	44.79
34	37	8640	41266	44.47
35	38	8644	41421	43.94
36	39	8644	41507	43.19
37	40	8758	41726	42.83
38	41	8786	42047	42.35
39	42	8958	42964	42.01
40	44	9138	43821	41.19
41	45	9638	45247	41.07
42	46	11578	50922	42.15
43	47	11660	51126	41.75
44	48	11894	51558	41.40
45	49	12334	53794	41.63
46	50	12346	54068	41.35
47	51	12486	54470	40.81
48	52	12674	55306	40.60
49	53	12702	55520	40.39
50	55	13454	58393	40.28
51	56	13556	59951	40.19
52	57	14184	61007	40.00
53	58	14380	62567	39.88
54	59	14496	63107	39.64
55	60	14496	63210	39.29
56	61	14510	63674	38.86
57	62	14600	64152	38.71
58	63	14686	64749	38.59
59	64	14750	64878	38.31
60	66	14868	65161	37.78
61	67	14870	65229	37.43
62	68	15162	65954	37.26
63	69	15274	66287	37.10
64	70	15796	67855	37.13
65	71	15908	68199	37.04
66	72	15912	68315	36.73
67	73	17222	70457	36.64
68	74	17418	70651	36.47
69	75	17446	70781	36.31
70	77	17556	73764	36.45
71	78	17806	74605	36.28
72	79	17864	74644	36.03
73	80	17920	75170	35.80
74	81	18370	77160	35.67
75	82	18386	77194	35.43
76	83	18464	77591	35.26
77	84	18602	77607	35.12
78	85	18624	77885	35.04
79	86	18706	78096	34.83
80	88	19308	80517	34.64
81	89	20264	82642	34.71
82	90	20510	83744	34.65
83	91	20530	84283	34.57
84	92	20530	84634	34.43
85	93	20540	84759	34.24
86	94	20592	84812	34.10
87	95	20632	85731	34.01
88	96	21066	86419	33.78
89	97	21080	86462	33.61
90	99	21110	88285	33.51
91	100	21164	88687	33.44
92	101	21164	88702	33.33
93	102	21226	89366	33.24
94	103	21608	89526	33.02
95	104	21688	89597	32.86
96	105	21696	89604	32.69
97	106	21698	89607	32.57
98	107	22408	92074	32.75
99	108	22476	92204	32.60
100	110	22650	92832	32.37
