Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	1714	440	35.74
2	17	2568	630	24.92
3	26	2571	794	20.81
4	35	2636	1005	19.78
5	43	2636	1131	17.69
6	52	2636	1262	16.23
7	61	2636	1403	15.23
8	70	2636	1520	14.43
9	78	2655	1620	13.88
10	87	2655	1760	13.51
11	96	2656	1889	13.16
12	105	2657	2036	12.95
13	113	2666	2139	12.63
14	122	2666	2251	12.28
15	131	2675	2388	12.12
16	140	2675	2499	11.87
17	148	2675	2616	11.75
18	157	2675	2728	11.49
19	166	2675	2824	11.19
20	175	2675	2929	11.04
21	183	2675	3027	10.91
22	192	2679	3130	10.79
23	201	2680	3254	10.74
24	210	2680	3343	10.55
25	218	2713	3428	10.41
26	227	2713	3519	10.31
27	236	2713	3614	10.22
28	245	2713	3703	10.07
29	253	2713	3781	9.96
30	262	2713	3877	9.82
31	271	2713	3962	9.71
32	280	2715	4072	9.66
33	288	2715	4153	9.55
34	297	2715	4250	9.45
35	306	2715	4337	9.41
36	315	2715	4420	9.29
37	323	2715	4515	9.26
38	332	2715	4604	9.18
39	341	2733	4698	9.13
40	350	2742	4928	9.31
41	358	2742	5004	9.26
42	367	2742	5088	9.19
43	376	2742	5183	9.14
44	385	2742	5275	9.06
45	393	2742	5351	9.03
46	402	2742	5443	8.98
47	411	2744	5531	8.94
48	420	2744	5615	8.88
49	428	2744	5694	8.82
50	437	2744	5794	8.79
51	446	2744	5878	8.73
52	455	2744	5967	8.68
53	463	2913	6048	8.66
54	472	2913	6133	8.61
55	481	2913	6220	8.56
56	490	2913	6303	8.51
57	498	2913	6376	8.47
58	507	2913	6465	8.42
59	516	2913	6554	8.38
60	525	2913	6642	8.35
61	533	2913	6719	8.31
62	542	2913	6809	8.27
63	551	2913	6889	8.24
64	560	2913	6979	8.21
65	568	2968	7062	8.20
66	577	2968	7148	8.17
67	586	2968	7235	8.14
68	595	2968	7317	8.11
69	603	2969	7415	8.11
70	612	2988	7516	8.11
71	621	2988	7614	8.09
72	630	2988	7692	8.07
73	638	2988	7767	8.04
74	647	2988	7855	8.02
75	656	2989	7945	7.99
76	665	2989	8021	7.96
77	673	2989	8116	7.97
78	682	2989	8201	7.95
79	691	2989	8286	7.91
80	700	2989	8401	7.93
81	708	2989	8481	7.91
82	717	2989	8568	7.88
83	726	2989	8649	7.86
84	735	3030	8742	7.86
85	743	3030	8822	7.85
86	752	3067	8919	7.85
87	761	3067	9008	7.83
88	770	3067	9107	7.82
89	778	3067	9188	7.80
90	787	3067	9278	7.79
91	796	3067	9364	7.77
92	805	3068	9485	7.78
93	813	3068	9560	7.76
94	822	3068	9650	7.74
95	831	3068	9742	7.73
96	840	3068	9831	7.71
97	848	3068	9902	7.70
98	857	3068	9985	7.68
99	866	3069	10068	7.66
100	875	3069	10154	7.64
