Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	5126	4907	72.69
2	7	6966	20111	78.08
3	11	7606	25133	71.22
4	15	9602	26753	64.98
5	19	12766	31719	62.65
6	23	13488	34516	58.25
7	26	13988	36170	55.84
8	30	17656	40805	53.35
9	34	19972	44269	51.02
10	38	20334	46676	48.93
11	42	21226	48263	47.21
12	46	22030	54553	47.05
13	49	22382	55925	45.88
14	53	22746	56311	44.72
15	57	23506	57042	43.15
16	61	24184	59676	42.05
17	65	25558	62568	41.18
18	69	26080	63545	40.07
19	72	26834	66994	39.55
20	76	27534	69283	38.66
21	80	30226	74062	38.71
22	84	31482	76320	37.56
23	88	32548	78338	37.06
24	92	32976	79271	36.19
25	96	33168	86987	37.00
26	99	33306	88095	35.02
27	103	35574	94491	35.39
28	107	37334	97448	35.13
29	111	38146	98277	34.16
30	115	40126	101384	33.61
31	119	40424	102747	32.89
32	122	40496	103180	31.34
33	126	41634	105272	30.72
34	130	42674	109058	30.72
35	134	42766	109539	29.94
36	138	43014	110223	29.55
37	142	43788	111393	29.19
38	145	44900	113079	28.78
39	149	45298	115738	28.65
40	153	45746	116055	28.16
41	157	46138	118224	27.88
42	161	46444	119379	27.63
43	165	46860	120885	27.36
44	168	47626	127579	27.74
45	172	49156	129794	27.73
46	176	49328	130118	27.44
47	180	49436	131038	27.16
48	184	49994	132535	26.84
49	188	50094	134206	26.61
50	192	51300	140262	26.95
51	195	51896	140459	26.66
52	199	52430	140761	26.44
53	203	53218	141679	26.05
54	207	53554	143622	25.93
55	211	54392	146090	25.84
56	215	55194	147030	25.44
57	218	55542	148956	25.27
58	222	56022	149867	25.10
59	226	57416	150847	24.97
60	230	57512	151043	24.76
61	234	57924	154060	24.79
62	238	59042	156420	24.69
63	241	59182	157309	24.48
64	245	59610	158140	24.08
65	249	60246	162450	24.24
66	253	60456	163616	24.13
67	257	60762	166409	24.02
68	261	61084	170444	24.08
69	264	61158	170796	23.95
70	268	61274	171674	23.85
71	272	61384	172269	23.73
72	276	63048	175250	23.49
73	280	63130	175469	23.32
74	284	63600	177954	23.25
75	288	64236	178360	22.99
76	291	64660	179309	22.88
77	295	65044	179906	22.73
78	299	65262	180463	22.58
79	303	65580	181529	22.45
80	307	65770	182123	22.21
81	311	65864	183197	22.09
82	314	65910	183879	22.00
83	318	66188	184667	21.79
84	322	66190	184822	21.70
85	326	66344	184870	21.58
86	330	70700	186359	21.45
87	334	70972	186787	21.32
88	337	72056	189502	21.31
89	341	72216	189649	21.11
90	345	72360	190184	20.99
91	349	72442	191088	20.84
92	353	72622	191522	20.71
93	357	72764	192026	20.60
94	360	72990	192108	20.50
95	364	73002	192608	20.27
96	368	73418	192863	20.16
97	372	73768	193783	20.09
98	376	73838	194157	19.96
99	380	73842	194228	19.82
100	384	73870	194475	19.71
