Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	1574	105	54.12
2	7	1661	161	34.48
3	11	1711	243	32.02
4	14	1740	321	33.06
5	18	1814	383	29.69
6	22	1834	458	29.25
7	25	1843	505	27.98
8	29	1845	550	26.46
9	33	1845	586	25.40
10	37	1850	632	24.50
11	40	1850	656	23.86
12	44	1853	699	23.13
13	48	1857	766	22.91
14	51	1857	800	22.48
15	55	1865	875	22.89
16	59	1865	916	22.36
17	62	1865	958	22.23
18	66	1865	993	21.77
19	70	1865	1042	21.65
20	74	1867	1097	21.48
21	77	1867	1136	21.25
22	81	1900	1195	21.39
23	85	1900	1232	21.10
24	88	1900	1269	21.03
25	92	2195	1326	21.00
26	96	2195	1354	20.71
27	99	2195	1388	20.63
28	103	2195	1455	20.68
29	107	2195	1498	20.43
30	111	2195	1544	20.24
31	114	2195	1578	20.06
32	118	2195	1618	19.88
33	122	2204	1667	19.72
34	125	2204	1710	19.70
35	129	2204	1748	19.52
36	133	2204	1807	19.53
37	136	2204	1832	19.41
38	140	2206	1875	19.22
39	144	2277	1901	19.06
40	148	2277	1977	19.17
41	151	2277	2003	19.02
42	155	2277	2041	18.90
43	159	2286	2082	18.82
44	162	2286	2109	18.70
45	166	2286	2145	18.57
46	170	2286	2182	18.45
47	173	2286	2211	18.36
48	177	2286	2251	18.25
49	181	2287	2309	18.30
50	185	2289	2357	18.29
51	188	2289	2387	18.22
52	192	2289	2420	18.09
53	196	2289	2458	17.98
54	199	2289	2489	17.93
55	203	2292	2541	17.95
56	207	2328	2610	18.06
57	210	2332	2642	17.98
58	214	2332	2671	17.88
59	218	2332	2707	17.76
60	222	2332	2738	17.68
61	225	2332	2768	17.60
62	229	2382	2830	17.65
63	233	2382	2883	17.64
64	236	2382	2921	17.63
65	240	2382	2994	17.80
66	244	2382	3053	17.81
67	247	2382	3085	17.77
68	251	2383	3146	17.80
69	255	2383	3178	17.72
70	259	2383	3226	17.69
71	262	2383	3247	17.62
72	266	2383	3275	17.54
73	270	2383	3307	17.48
74	273	2383	3343	17.47
75	277	2383	3372	17.40
76	281	2383	3422	17.41
77	284	2383	3448	17.35
78	288	2383	3484	17.29
79	292	2383	3512	17.22
80	296	2383	3536	17.14
81	299	2396	3566	17.09
82	303	2417	3605	17.08
83	307	2419	3651	17.05
84	310	2423	3688	17.05
85	314	2423	3720	16.98
86	318	2423	3785	17.04
87	321	2423	3808	16.99
88	325	2423	3852	16.97
89	329	2423	3898	16.97
90	333	2423	3931	16.91
91	336	2423	3965	16.90
92	340	2423	3997	16.84
93	344	2423	4032	16.80
94	347	2423	4054	16.74
95	351	2423	4088	16.70
96	355	2423	4147	16.71
97	358	2423	4169	16.67
98	362	2423	4209	16.65
99	366	2423	4246	16.60
100	370	2423	4283	16.55
