Percentage	Tests_Executed	Lines_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	3094	2718	100.00
2	2	3978	4132	74.50
3	3	4110	4850	59.33
4	4	5064	6504	55.56
5	6	5610	7293	45.53
6	7	6356	8801	43.91
7	8	6484	9314	42.16
8	9	6526	9814	40.65
9	10	6624	10394	38.25
10	12	6836	10795	34.75
11	13	6970	11146	33.34
12	14	6974	11240	32.37
13	15	7002	11603	32.24
14	17	8068	12133	29.83
15	18	8216	14913	32.76
16	19	8216	14974	31.67
17	20	8272	15408	30.97
18	21	8360	15515	29.59
19	23	8596	16733	28.67
20	24	8830	17433	28.05
21	25	8892	18281	28.16
22	26	9046	18658	27.49
23	28	9440	19594	26.87
24	29	9576	21140	27.70
25	30	10084	22805	28.28
26	31	10186	23719	28.35
27	32	10270	24810	28.30
28	34	10846	25808	27.06
29	35	10864	25910	26.35
30	36	10968	26059	25.64
31	37	11006	26137	25.12
32	39	11056	26969	24.59
33	40	11064	27193	24.47
34	41	11146	27521	24.11
35	42	11336	27835	23.66
36	43	11422	27964	23.29
37	45	11564	28432	22.59
38	46	11564	28598	22.38
39	47	11622	29260	22.33
40	48	11676	29354	22.03
41	50	11754	29504	21.50
42	51	11840	29910	21.42
43	52	11894	30391	21.46
44	53	12198	30824	21.17
45	54	12198	30848	20.94
46	56	12520	32229	20.89
47	57	12614	33022	20.79
48	58	12788	33401	20.41
49	59	12870	33538	20.14
50	61	13026	33865	19.75
51	62	13242	35175	20.15
52	63	13326	35575	20.03
53	64	13398	35876	19.96
54	65	13402	35980	19.82
55	67	13534	36175	19.35
56	68	13536	36226	19.09
57	69	13558	36228	18.85
58	70	13562	36254	18.53
59	71	13598	36810	18.51
60	73	13746	38335	18.45
61	74	13818	38506	18.26
62	75	13856	38561	18.09
63	76	13864	38648	18.02
64	78	13888	38734	17.67
65	79	14182	38942	17.36
66	80	14288	39231	17.27
67	81	14480	39608	17.18
68	82	14494	40078	17.21
69	84	14678	40488	17.08
70	85	14822	42326	17.42
71	86	15000	42392	17.16
72	87	15040	42665	17.05
73	89	15152	44683	17.35
74	90	15250	44811	17.21
75	91	15370	45209	17.22
76	92	15384	45298	17.09
77	93	15598	45622	17.02
78	95	15598	46062	16.94
79	96	15604	46095	16.75
80	97	15604	46167	16.63
81	98	15610	46308	16.56
82	100	16190	47993	16.61
83	101	16288	48152	16.50
84	102	16384	48314	16.39
85	103	16434	48580	16.33
86	104	16530	48689	16.22
87	106	16532	49704	16.29
88	107	16730	49721	16.03
89	108	16748	49756	15.90
90	109	16760	49820	15.77
91	111	16802	50050	15.61
92	112	17204	51095	15.78
93	113	17224	51114	15.69
94	114	17264	51151	15.57
95	115	17390	51543	15.60
96	117	17404	51789	15.49
97	118	17408	51917	15.34
98	119	17408	51923	15.23
99	120	17434	51974	15.10
100	122	17590	52641	15.00
