Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	8	906	388	30.46
2	17	909	579	21.37
3	26	975	751	18.48
4	35	975	880	16.09
5	43	975	998	14.87
6	52	1005	1152	14.38
7	61	1005	1273	13.40
8	70	1005	1404	12.85
9	78	1005	1528	12.65
10	87	1020	1698	12.58
11	96	1020	1813	12.21
12	105	1020	1906	11.81
13	113	1025	2018	11.66
14	122	1027	2145	11.50
15	131	1027	2263	11.26
16	140	1027	2373	11.00
17	148	1027	2463	10.78
18	157	1027	2569	10.64
19	166	1366	2719	10.68
20	175	1366	2822	10.49
21	183	1378	2927	10.40
22	192	1378	3023	10.25
23	201	1378	3121	10.08
24	210	1378	3216	9.93
25	218	1378	3315	9.88
26	227	1378	3403	9.72
27	236	1378	3498	9.62
28	245	1392	3656	9.69
29	253	1392	3741	9.61
30	262	1392	3865	9.61
31	271	1392	3958	9.52
32	280	1407	4066	9.50
33	288	1407	4147	9.44
34	297	1407	4240	9.35
35	306	1410	4354	9.36
36	315	1410	4446	9.31
37	323	1410	4528	9.27
38	332	1410	4618	9.18
39	341	1410	4703	9.09
40	350	1410	4791	9.02
41	358	1410	4867	8.96
42	367	1424	4962	8.92
43	376	1441	5095	8.92
44	385	1441	5187	8.84
45	393	1441	5269	8.84
46	402	1441	5359	8.79
47	411	1447	5453	8.76
48	420	1449	5683	8.93
49	428	1449	5763	8.87
50	437	1449	5851	8.82
51	446	1449	5936	8.76
52	455	1450	6029	8.75
53	463	1450	6108	8.70
54	472	1450	6200	8.65
55	481	1450	6292	8.63
56	490	1450	6381	8.58
57	498	1450	6461	8.56
58	507	1450	6542	8.50
59	516	1450	6628	8.46
60	525	1450	6714	8.41
61	533	1450	6793	8.38
62	542	1454	6880	8.34
63	551	1454	6969	8.31
64	560	1454	7058	8.27
65	568	1454	7144	8.25
66	577	1454	7229	8.22
67	586	1454	7313	8.18
68	595	1461	7403	8.16
69	603	1461	7481	8.14
70	612	1461	7571	8.12
71	621	1461	7669	8.10
72	630	1461	7765	8.10
73	638	1461	7844	8.07
74	647	1461	7931	8.06
75	656	1476	8019	8.04
76	665	1480	8108	8.02
77	673	1480	8187	7.99
78	682	1480	8273	7.97
79	691	1480	8365	7.96
80	700	1837	8455	7.95
81	708	1837	8534	7.93
82	717	1837	8623	7.92
83	726	1837	8710	7.90
84	735	1837	8799	7.87
85	743	1837	8877	7.86
86	752	1837	8964	7.84
87	761	1837	9046	7.82
88	770	1862	9144	7.82
89	778	1862	9224	7.81
90	787	1891	9310	7.79
91	796	1891	9391	7.77
92	805	1891	9475	7.75
93	813	1891	9546	7.73
94	822	1891	9631	7.71
95	831	1892	9733	7.71
96	840	2024	9816	7.70
97	848	2024	9894	7.69
98	857	2024	9992	7.69
99	866	2024	10064	7.66
100	875	2024	10154	7.64
