Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	3	855	117	56.25
2	7	950	226	45.38
3	11	957	298	39.47
4	14	1189	356	36.18
5	18	1214	453	36.36
6	22	1230	502	33.07
7	25	1233	543	31.39
8	29	1239	609	30.12
9	33	1240	667	29.47
10	37	1240	710	28.10
11	40	1242	753	27.72
12	44	1242	790	26.65
13	48	1282	846	25.76
14	51	1288	886	25.34
15	55	1288	932	24.60
16	59	1288	989	24.07
17	62	1288	1009	23.60
18	66	1295	1051	23.11
19	70	1297	1122	23.14
20	74	1330	1196	23.28
21	77	1330	1230	22.99
22	81	1337	1308	22.94
23	85	1344	1349	22.73
24	88	1351	1381	22.46
25	92	1351	1432	22.22
26	96	1355	1487	22.14
27	99	1362	1536	22.07
28	103	1362	1576	21.79
29	107	1364	1634	21.59
30	111	1364	1677	21.34
31	114	1364	1709	21.16
32	118	1367	1776	21.33
33	122	1367	1817	21.13
34	125	1368	1857	21.01
35	129	1370	1896	20.80
36	133	1371	1948	20.79
37	136	1371	1977	20.63
38	140	1416	2035	20.58
39	144	1416	2074	20.40
40	148	1416	2124	20.26
41	151	1416	2147	20.11
42	155	1416	2195	19.97
43	159	1416	2237	19.81
44	162	1416	2269	19.72
45	166	1416	2293	19.54
46	170	1416	2354	19.55
47	173	1416	2379	19.45
48	177	1419	2407	19.29
49	181	1419	2443	19.16
50	185	1419	2490	19.12
51	188	1419	2512	19.01
52	192	1419	2547	18.89
53	196	1419	2579	18.75
54	199	1420	2618	18.79
55	203	1420	2650	18.66
56	207	1420	2675	18.54
57	210	1420	2699	18.45
58	214	1420	2752	18.44
59	218	1420	2793	18.37
60	222	1420	2824	18.28
61	225	1421	2865	18.30
62	229	1421	2908	18.21
63	233	1421	2942	18.11
64	236	1421	2970	18.07
65	240	1421	3006	17.97
66	244	1427	3048	17.95
67	247	1427	3070	17.88
68	251	1427	3157	18.03
69	255	1427	3193	17.93
70	259	1427	3233	17.84
71	262	1427	3264	17.77
72	266	1427	3302	17.74
73	270	1435	3340	17.66
74	273	1438	3368	17.61
75	277	1439	3410	17.55
76	281	1439	3446	17.47
77	284	1439	3468	17.41
78	288	1439	3515	17.43
79	292	1442	3559	17.38
80	296	1442	3592	17.31
81	299	1442	3618	17.26
82	303	1442	3642	17.19
83	307	1442	3666	17.12
84	310	1442	3693	17.07
85	314	1442	3729	17.01
86	318	1442	3765	16.94
87	321	1442	3788	16.90
88	325	1445	3844	16.90
89	329	1445	3872	16.85
90	333	1445	3904	16.79
91	336	1445	3930	16.74
92	340	1445	3958	16.67
93	344	1445	4020	16.70
94	347	1445	4038	16.66
95	351	1445	4087	16.66
96	355	1445	4136	16.66
97	358	1445	4172	16.67
98	362	1445	4215	16.66
99	366	1445	4247	16.61
100	370	1445	4283	16.55
