Percentage	Tests_Executed	Branches_Covered	Shingles_Coverage	Unique_Shingles_Ratio
1	1	482	3300	100.00
2	2	652	3886	72.39
3	3	704	4749	64.08
4	4	798	5722	55.02
5	6	950	6567	44.16
6	7	964	6953	41.96
7	8	1092	10482	46.62
8	9	1140	11049	44.44
9	10	1308	11973	43.34
10	12	1522	13499	39.46
11	13	1578	14168	37.87
12	14	1612	15032	36.98
13	15	1706	18201	39.36
14	17	1790	19891	37.77
15	18	1828	21672	38.05
16	19	1868	22031	37.19
17	20	1874	22216	35.70
18	21	1874	23369	35.29
19	23	1904	24212	34.19
20	24	1904	24374	33.12
21	25	1940	24687	32.48
22	26	1980	27073	33.49
23	28	2126	28779	32.39
24	29	2126	28921	31.94
25	30	2126	29160	31.34
26	31	2168	29549	30.70
27	32	2330	30824	31.03
28	34	2378	31413	29.87
29	35	2396	32340	29.89
30	36	2398	32373	29.42
31	37	2422	32506	28.80
32	39	2422	32567	27.39
33	40	2424	32614	27.18
34	41	2450	32731	26.73
35	42	2490	32898	25.84
36	43	2524	33145	25.45
37	45	2680	34477	24.88
38	46	2680	34503	24.59
39	47	2680	35507	24.87
40	48	2684	35762	24.68
41	50	2846	36415	23.97
42	51	2850	36577	23.54
43	52	2850	36653	23.13
44	53	2856	37062	23.09
45	54	2872	37301	22.91
46	56	2922	37483	22.21
47	57	2938	37814	22.05
48	58	2972	38259	22.06
49	59	2988	38751	21.87
50	61	2988	39349	21.49
51	62	2998	39827	21.36
52	63	3002	40337	21.23
53	64	3010	40461	21.02
54	65	3010	40519	20.80
55	67	3036	40882	20.51
56	68	3040	40933	20.27
57	69	3044	41268	20.19
58	70	3104	41520	19.81
59	71	3104	42779	20.08
60	73	3118	42922	19.69
61	74	3124	43029	19.40
62	75	3154	43923	19.42
63	76	3154	43940	19.17
64	78	3176	44387	18.99
65	79	3180	44391	18.78
66	80	3188	44590	18.63
67	81	3188	45057	18.64
68	82	3206	45181	18.41
69	84	3230	46551	18.48
70	85	3234	46606	18.31
71	86	3242	46847	18.28
72	87	3248	47039	18.08
73	89	3248	47824	17.89
74	90	3266	47957	17.70
75	91	3268	48098	17.62
76	92	3268	48201	17.54
77	93	3294	48386	17.43
78	95	3302	48637	17.18
79	96	3328	48732	17.05
80	97	3328	48876	16.98
81	98	3328	48890	16.88
82	100	3330	49179	16.79
83	101	3330	49287	16.75
84	102	3358	50198	16.79
85	103	3358	50219	16.65
86	104	3400	50582	16.56
87	106	3426	50701	16.32
88	107	3426	50703	16.17
89	108	3428	50879	16.13
90	109	3442	51396	16.04
91	111	3452	51521	15.92
92	112	3452	51567	15.80
93	113	3458	51596	15.71
94	114	3470	51622	15.53
95	115	3478	51646	15.43
96	117	3478	51692	15.23
97	118	3488	51766	15.15
98	119	3496	52328	15.19
99	120	3496	52450	15.13
100	122	3520	52641	15.00
