Percentage	Tests_Executed	Branchs_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	3	108	254	42.98
2	7	1174	591	33.93
3	10	1376	646	26.63
4	14	2406	1180	29.88
5	17	3530	1286	27.41
6	21	4208	1342	23.36
7	24	4528	1426	22.04
8	28	4728	1565	20.98
9	31	5066	1593	19.40
10	35	5220	1634	17.94
11	39	5400	1795	17.46
12	42	5540	1848	16.72
13	46	5910	1957	16.20
14	49	5988	1985	15.50
15	53	6140	2016	14.77
16	56	6182	2028	14.13
17	60	6242	2069	13.48
18	63	6302	2094	13.05
19	67	6470	2138	12.58
20	71	7094	2201	12.23
21	74	7324	2223	11.93
22	78	7386	2251	11.51
23	81	7468	2265	11.20
24	85	7634	2335	10.96
25	88	7682	2354	10.68
26	92	7828	2464	10.68
27	95	7922	2484	10.44
28	99	8110	2524	10.21
29	102	8148	2532	9.99
30	106	8418	2615	9.94
31	110	8464	2625	9.66
32	113	8504	2636	9.45
33	117	8568	2709	9.40
34	120	8634	2720	9.20
35	124	8814	2833	9.25
36	127	8834	2844	9.10
37	131	8888	2856	8.89
38	134	8928	2873	8.75
39	138	8982	2908	8.58
40	142	9224	2958	8.47
41	145	9298	2990	8.39
42	149	9356	3035	8.28
43	152	9418	3095	8.29
44	156	9502	3118	8.15
45	159	9524	3154	8.12
46	163	9652	3201	8.05
47	166	9780	3240	7.99
48	170	9826	3252	7.85
49	173	9888	3277	7.80
50	177	9958	3295	7.69
51	181	9980	3309	7.56
52	184	10122	3323	7.47
53	188	10190	3348	7.37
54	191	10264	3363	7.30
55	195	10296	3396	7.22
56	198	10332	3409	7.15
57	202	10484	3478	7.14
58	205	10498	3484	7.07
59	209	10548	3524	7.01
60	213	10786	3618	7.05
61	216	10796	3625	6.99
62	220	10930	3676	6.95
63	223	11000	3688	6.88
64	227	11138	3703	6.79
65	230	11198	3718	6.73
66	234	11474	3831	6.80
67	237	11534	3849	6.75
68	241	11622	3879	6.69
69	244	11636	3904	6.63
70	248	11678	3921	6.56
71	252	11720	3931	6.47
72	255	11790	3955	6.44
73	259	11902	4004	6.41
74	262	11930	4016	6.36
75	266	11974	4035	6.30
76	269	12110	4182	6.43
77	273	12238	4258	6.42
78	276	12446	4294	6.39
79	280	12474	4331	6.36
80	284	12604	4376	6.34
81	287	12604	4381	6.28
82	291	12670	4500	6.35
83	294	12700	4541	6.34
84	298	12828	4601	6.33
85	301	12890	4653	6.33
86	305	13064	4886	6.54
87	308	13100	4903	6.50
88	312	13170	4942	6.47
89	315	13328	4978	6.45
90	319	13414	5012	6.41
91	323	13492	5033	6.35
92	326	13580	5042	6.31
93	330	13656	5071	6.27
94	333	13686	5088	6.24
95	337	13714	5098	6.19
96	340	13720	5103	6.15
97	344	13782	5136	6.11
98	347	13784	5158	6.08
99	351	13788	5164	6.02
100	355	13912	5183	5.98
