Percentage	Tests_Executed	Branchs_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	2	1490	226	77.40
2	4	1842	319	53.79
3	6	2278	600	53.81
4	8	2290	621	44.93
5	10	3676	703	41.16
6	13	5476	2405	59.81
7	15	5562	2497	57.22
8	17	5634	2555	54.42
9	19	5926	2575	52.24
10	21	6064	2652	49.92
11	23	6074	2687	48.25
12	26	6438	2924	46.69
13	28	7108	3060	45.96
14	30	7236	3143	44.69
15	32	7276	3238	43.82
16	34	7486	3368	42.61
17	36	7872	3558	41.97
18	39	8000	3683	40.71
19	41	8090	3817	40.14
20	43	8334	3956	39.55
21	45	8382	4040	38.86
22	47	8406	4098	38.13
23	49	8672	4337	38.07
24	52	12548	4703	37.96
25	54	14058	5184	38.51
26	56	14128	5604	39.03
27	58	14228	5923	38.98
28	60	14244	6029	38.54
29	62	14250	6104	38.05
30	65	14366	6294	37.48
31	67	14420	6578	37.28
32	69	14424	6664	36.96
33	71	14522	7245	37.61
34	73	14764	7409	37.14
35	75	14768	7455	36.83
36	78	14852	7696	36.47
37	80	15008	8326	37.06
38	82	15014	8353	36.73
39	84	15314	8466	36.48
40	86	15316	8524	36.26
41	88	15470	8644	35.95
42	91	15498	9015	35.76
43	93	15506	9094	35.30
44	95	15506	9210	35.24
45	97	15530	9296	34.92
46	99	15638	9348	34.64
47	101	15722	9543	34.51
48	104	15742	9720	34.15
49	106	15778	9789	34.00
50	108	15802	9844	33.75
51	110	15814	9904	33.44
52	112	15832	9986	33.18
53	115	15968	10115	32.89
54	117	16030	10221	32.73
55	119	16058	10279	32.39
56	121	16074	10354	32.18
57	123	16082	10517	32.08
58	125	16162	10854	32.31
59	128	16196	11195	32.28
60	130	16216	11317	32.18
61	132	16268	11533	32.05
62	134	16270	11601	31.87
63	136	16272	11650	31.69
64	138	16402	11812	31.57
65	141	16514	11859	31.25
66	143	16676	11913	31.04
67	145	16716	12441	30.38
68	147	16784	12602	30.26
69	149	16786	12676	30.18
70	151	16812	12834	30.12
71	154	16816	12940	29.96
72	156	16822	12971	29.84
73	158	16848	12988	29.65
74	160	16852	13079	29.53
75	162	16862	13140	29.37
76	164	16916	13215	29.27
77	167	17402	13408	29.22
78	169	17454	13520	29.11
79	171	17796	13684	29.05
80	173	17818	13746	28.96
81	175	17838	13795	28.83
82	177	17870	13824	28.69
83	180	17896	13916	28.48
84	182	17912	13957	28.37
85	184	17912	13981	28.22
86	186	17920	14129	28.23
87	188	17924	14204	28.11
88	190	17940	14370	28.12
89	193	18094	14457	27.94
90	195	18094	14506	27.83
91	197	18120	14624	27.82
92	199	18152	14678	27.74
93	201	18152	14724	27.62
94	203	18154	14789	27.54
95	206	18260	14931	27.33
96	208	18260	15003	27.27
97	210	18294	15567	27.68
98	212	18302	15645	27.60
99	214	18316	15692	27.52
100	217	18400	15813	27.41
