Percentage	Tests_Executed	Branchs_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	1	24	262	100.00
2	2	346	654	84.06
3	3	502	786	74.71
4	4	548	832	69.16
5	5	766	1026	65.81
6	6	808	1166	64.14
7	7	822	1180	60.67
8	8	992	1296	58.46
9	9	1170	1381	56.34
10	11	1172	1427	52.18
11	12	1184	1527	50.63
12	13	1190	1552	49.04
13	14	1278	1590	47.76
14	15	1952	2120	50.88
15	16	2034	2225	49.87
16	17	2040	2263	48.47
17	18	2190	2296	47.27
18	19	2224	2372	46.81
19	20	2266	2392	45.76
20	22	2282	2411	43.70
21	23	2332	2417	42.93
22	24	2332	2434	42.29
23	25	2372	2441	41.51
24	26	2480	2474	40.86
25	27	2530	2517	40.52
26	28	2532	2521	39.76
27	29	2672	2571	39.19
28	30	2674	2635	38.92
29	31	3194	2899	39.83
30	33	3566	3075	39.44
31	34	3576	3147	39.33
32	35	3580	3158	38.82
33	36	3580	3250	38.54
34	37	3642	3280	38.18
35	38	3674	3304	37.82
36	39	3674	3308	37.21
37	40	3726	3346	36.77
38	41	3786	3594	37.38
39	42	3854	3694	37.34
40	44	3956	3805	36.63
41	45	3976	3912	36.42
42	46	3978	3920	35.96
43	47	3978	3921	35.46
44	48	3982	3931	35.13
45	49	4038	3992	34.91
46	50	4040	4012	34.65
47	51	4046	4023	34.27
48	52	4058	4042	33.95
49	53	4140	4152	33.81
50	55	4226	4269	33.42
51	56	4242	4282	33.11
52	57	4408	4399	33.15
53	58	4440	4427	32.95
54	59	4446	4430	32.61
55	60	4446	4524	32.54
56	61	4446	4534	32.26
57	62	4460	4572	32.18
58	63	4460	4576	31.85
59	64	4460	4610	31.71
60	66	4490	4647	31.30
61	67	4490	4685	31.12
62	68	4556	4816	31.14
63	69	4576	4818	30.94
64	70	4902	5020	31.26
65	71	4902	5021	30.97
66	72	5094	5060	30.69
67	73	5128	5169	30.78
68	74	5218	5286	30.85
69	75	5226	5292	30.66
70	77	5270	5351	30.42
71	78	5316	5398	30.33
72	79	5316	5406	30.10
73	80	5490	5526	30.30
74	81	5698	5683	30.58
75	82	5706	5773	30.42
76	83	5712	5788	30.22
77	84	5720	5850	30.15
78	85	5740	5896	30.01
79	86	5744	5903	29.82
80	88	5784	5969	29.55
81	89	5796	5990	29.46
82	90	5802	5994	29.27
83	91	5806	5998	29.07
84	92	5806	6012	28.94
85	93	5808	6059	28.85
86	94	5812	6064	28.71
87	95	5870	6143	28.73
88	96	5884	6176	28.68
89	97	5886	6227	28.59
90	99	5894	6256	28.32
91	100	5898	6288	28.23
92	101	5900	6294	28.10
93	102	5978	6438	28.14
94	103	6076	6568	28.19
95	104	6082	6608	28.08
96	105	6084	6631	27.98
97	106	6156	6745	27.96
98	107	6404	6894	28.08
99	108	6404	6897	27.97
100	110	6490	6990	27.78
