Percentage	Tests_Executed	Branchs_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	3	642	471	67.29
2	7	1290	663	49.40
3	11	1428	774	40.82
4	15	1988	1026	39.15
5	19	2416	1234	36.44
6	23	2566	1351	33.43
7	26	3396	1528	32.52
8	30	3562	1729	31.51
9	34	3596	1789	29.38
10	38	4176	1958	29.03
11	42	4514	2097	27.94
12	46	5182	2429	28.97
13	49	5250	2528	28.33
14	53	5464	2730	27.99
15	57	5750	2826	26.80
16	61	6208	3047	26.76
17	65	6306	3128	26.17
18	69	6462	3195	25.53
19	72	6522	3279	25.24
20	76	6878	3432	25.05
21	80	8020	3496	24.19
22	84	8124	3583	23.81
23	88	8358	3804	23.76
24	92	8564	3893	22.99
25	96	8712	4008	22.70
26	99	8732	4027	22.28
27	103	8756	4100	21.74
28	107	8958	4187	21.39
29	111	9112	4234	21.04
30	115	9144	4248	20.41
31	119	9390	4355	19.73
32	122	9504	4425	19.60
33	126	9642	4545	19.50
34	130	9696	4641	19.36
35	134	9746	4719	18.92
36	138	9844	4836	18.80
37	142	10430	4966	18.77
38	145	10502	4990	18.56
39	149	10844	5134	18.30
40	153	10896	5224	18.17
41	157	10976	5320	18.11
42	161	11070	5497	18.10
43	165	11120	5677	18.22
44	168	11174	5707	18.03
45	172	11600	5865	18.06
46	176	11798	5993	17.93
47	180	11798	6056	17.74
48	184	11820	6082	17.46
49	188	11990	6187	17.36
50	192	12166	6209	17.14
51	195	12210	6245	17.03
52	199	12266	6285	16.85
53	203	12394	6321	16.70
54	207	12416	6346	16.46
55	211	12488	6407	16.31
56	215	12576	6466	16.17
57	218	12660	6510	16.07
58	222	12728	6618	15.99
59	226	12762	6650	15.79
60	230	12872	6689	15.55
61	234	12924	6760	15.48
62	238	12932	6773	15.16
63	241	13012	6874	15.17
64	245	13094	6908	14.98
65	249	13152	6960	14.90
66	253	13298	7149	14.99
67	257	13310	7199	14.92
68	261	13444	7225	14.78
69	264	13468	7288	14.76
70	268	13560	7452	14.81
71	272	13600	7511	14.75
72	276	13662	7563	14.66
73	280	13796	7640	14.50
74	284	14004	7711	14.41
75	288	14062	7737	14.25
76	291	14096	7846	14.24
77	295	14130	7870	14.07
78	299	14204	7967	14.07
79	303	14394	8241	14.34
80	307	14436	8255	14.21
81	311	14454	8285	14.13
82	314	14522	8332	14.07
83	318	14600	8385	13.93
84	322	14640	8408	13.76
85	326	14716	8440	13.63
86	330	14728	8479	13.52
87	334	14812	8491	13.40
88	337	14832	8531	13.35
89	341	14890	8566	13.26
90	345	14922	8582	13.17
91	349	14928	8612	13.08
92	353	14966	8627	12.86
93	357	14974	8640	12.78
94	360	14984	8659	12.71
95	364	14996	8698	12.63
96	368	15064	8731	12.50
97	372	15088	8752	12.41
98	376	15120	8763	12.28
99	380	15214	8869	12.28
100	384	15294	9046	12.34
