Percentage	Tests_Executed	Branchs_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	1	634	282	100.00
2	2	642	308	77.00
3	3	858	449	64.14
4	4	1100	543	57.28
5	6	1158	717	48.98
6	7	1324	837	46.63
7	8	1482	1076	47.11
8	9	1486	1110	44.58
9	10	1502	1178	43.44
10	12	1538	1229	39.38
11	13	1542	1248	37.82
12	14	1564	1305	36.47
13	15	1564	1310	35.27
14	17	1594	1330	31.55
15	18	1616	1358	30.39
16	19	1692	1431	30.34
17	20	1710	1450	29.86
18	21	1730	1496	29.20
19	23	1738	1511	27.62
20	24	1810	1565	26.92
21	25	1828	1595	25.91
22	26	1868	1640	25.83
23	28	1958	1763	25.23
24	29	2040	1816	25.31
25	30	2052	1839	24.46
26	31	2094	1843	23.85
27	32	2094	1858	23.34
28	34	2130	1899	22.61
29	35	2152	1913	22.18
30	36	2158	1948	22.04
31	37	2198	2014	22.20
32	39	2206	2078	21.81
33	40	2206	2114	21.50
34	41	2242	2136	21.31
35	42	2332	2375	22.68
36	43	2362	2403	22.58
37	45	2396	2532	22.72
38	46	2400	2535	22.40
39	47	2400	2537	21.95
40	48	2408	2539	21.57
41	50	2408	2591	21.10
42	51	2464	2702	21.32
43	52	2464	2716	21.15
44	53	2480	2734	20.92
45	54	2482	2816	21.07
46	56	2490	2841	20.48
47	57	2490	2848	20.21
48	58	2490	2851	19.99
49	59	2492	2854	19.85
50	61	2520	3065	20.46
51	62	2520	3125	20.52
52	63	2576	3256	20.86
53	64	2586	3305	20.79
54	65	2600	3318	20.52
55	67	2756	3409	20.52
56	68	2784	3426	20.32
57	69	2788	3566	20.80
58	70	2802	3585	20.58
59	71	2804	3597	20.43
60	73	2856	3734	20.53
61	74	2870	3847	20.72
62	75	2870	3856	20.45
63	76	2894	3880	20.36
64	78	2960	4067	20.66
65	79	2960	4092	20.46
66	80	2960	4097	20.30
67	81	2996	4145	20.20
68	82	3056	4185	19.95
69	84	3070	4279	19.89
70	85	3098	4297	19.78
71	86	3102	4310	19.62
72	87	3128	4329	19.48
73	89	3136	4336	19.08
74	90	3136	4360	19.03
75	91	3136	4362	18.85
76	92	3140	4392	18.83
77	93	3140	4394	18.71
78	95	3144	4420	18.45
79	96	3154	4507	18.59
80	97	3166	4523	18.49
81	98	3170	4587	18.47
82	100	3180	4598	18.20
83	101	3180	4604	18.07
84	102	3180	4631	18.02
85	103	3206	4667	18.01
86	104	3228	4721	17.98
87	106	3234	4726	17.77
88	107	3286	4800	17.77
89	108	3316	4811	17.50
90	109	3334	4836	17.47
91	111	3346	4901	17.33
92	112	3350	4902	17.20
93	113	3416	4918	16.99
94	114	3420	4919	16.88
95	115	3444	4937	16.80
96	117	3468	4963	16.58
97	118	3476	5043	16.69
98	119	3510	5105	16.72
99	120	3512	5163	16.75
100	122	3520	5240	16.77
