Percentage	Tests_Executed	Functions_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	3	93	391	50.32
2	7	304	513	29.88
3	10	923	608	25.25
4	14	972	650	20.27
5	17	1031	727	18.67
6	21	1070	774	16.22
7	24	1222	887	15.92
8	28	1257	926	14.41
9	31	1321	1010	14.01
10	35	1418	1120	13.64
11	39	1508	1300	13.95
12	42	1554	1404	13.93
13	46	1756	1590	14.08
14	49	1781	1616	13.52
15	53	1954	1664	12.87
16	56	1989	1699	12.49
17	60	2056	1837	12.43
18	63	2069	1849	11.95
19	67	2081	1906	11.65
20	71	2125	1944	11.22
21	74	2190	2002	11.07
22	78	2207	2015	10.64
23	81	2237	2041	10.41
24	85	2378	2319	11.05
25	88	2398	2339	10.77
26	92	2477	2632	11.37
27	95	2487	2668	11.20
28	99	2543	2793	11.22
29	102	2573	2812	10.99
30	106	2596	2881	10.83
31	110	2615	2902	10.57
32	113	2630	2921	10.39
33	117	2648	2970	10.20
34	120	2662	2982	10.04
35	124	2722	3008	9.76
36	127	2794	3035	9.64
37	131	2840	3078	9.48
38	134	2926	3237	9.68
39	138	2961	3272	9.52
40	142	2984	3297	9.34
41	145	3005	3324	9.22
42	149	3020	3345	9.06
43	152	3032	3356	8.91
44	156	3066	3393	8.79
45	159	3081	3427	8.71
46	163	3148	3494	8.65
47	166	3214	3572	8.67
48	170	3230	3600	8.57
49	173	3254	3613	8.46
50	177	3276	3662	8.37
51	181	3298	3699	8.28
52	184	3328	3720	8.18
53	188	3353	3766	8.09
54	191	3367	3777	7.99
55	195	3381	3828	7.95
56	198	3412	3842	7.85
57	202	3436	3865	7.76
58	205	3475	3915	7.74
59	209	3504	3937	7.64
60	213	3541	3986	7.59
61	216	3551	3998	7.51
62	220	3596	4028	7.42
63	223	3644	4099	7.40
64	227	3683	4120	7.32
65	230	3699	4137	7.25
66	234	3718	4182	7.22
67	237	3748	4213	7.19
68	241	3757	4221	7.09
69	244	3859	4304	7.13
70	248	3900	4347	7.10
71	252	3913	4391	7.07
72	255	3932	4421	7.03
73	259	3947	4439	6.97
74	262	3965	4470	6.93
75	266	3991	4496	6.87
76	269	4015	4514	6.83
77	273	4019	4527	6.76
78	276	4035	4541	6.71
79	280	4066	4596	6.71
80	284	4119	4609	6.62
81	287	4123	4616	6.56
82	291	4152	4635	6.49
83	294	4160	4640	6.44
84	298	4217	4773	6.52
85	301	4224	4779	6.48
86	305	4250	4840	6.47
87	308	4255	4874	6.45
88	312	4281	4916	6.42
89	315	4289	4925	6.38
90	319	4300	4941	6.33
91	323	4360	4962	6.27
92	326	4368	4969	6.23
93	330	4395	4983	6.17
94	333	4403	4992	6.13
95	337	4460	5011	6.07
96	340	4482	5041	6.06
97	344	4507	5064	6.02
98	347	4511	5085	6.00
99	351	4539	5166	6.01
100	355	4563	5183	5.98
