Percentage	Tests_Executed	Functions_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	2	1251	493	82.03
2	4	1370	694	63.61
3	6	1541	936	57.14
4	8	1651	1124	53.63
5	10	2177	1412	50.52
6	13	2289	1685	48.03
7	15	2365	1759	45.59
8	17	4738	2295	47.03
9	19	4754	2367	45.39
10	21	4775	2584	44.87
11	23	4786	2655	43.37
12	26	5148	3582	46.49
13	28	5161	3674	45.34
14	30	5377	3910	44.35
15	32	5462	3968	43.23
16	34	5521	4185	42.46
17	36	6094	4717	42.96
18	39	6099	4848	41.97
19	41	6118	4935	40.88
20	43	6119	4993	40.10
21	45	6125	5131	39.53
22	47	6134	5204	38.86
23	49	6146	5269	38.22
24	52	6182	5357	37.45
25	54	6191	5429	37.01
26	56	6200	5557	36.60
27	58	6206	5779	36.32
28	60	6225	6004	36.18
29	62	6230	6074	35.86
30	65	6295	6196	35.43
31	67	6324	6400	35.08
32	69	6324	6421	34.67
33	71	6331	6453	34.21
34	73	6356	6902	34.98
35	75	6365	6988	34.65
36	78	6416	7704	35.57
37	80	6490	7762	35.17
38	82	6493	7894	34.81
39	84	6501	7988	34.55
40	86	6505	8039	34.34
41	88	6623	8223	34.23
42	91	6633	8309	33.87
43	93	6633	8381	33.70
44	95	6646	8487	33.44
45	97	6649	8583	33.21
46	99	6649	8646	33.02
47	101	6686	8814	32.86
48	104	6688	9120	32.73
49	106	6700	9174	32.36
50	108	6712	9391	32.37
51	110	6719	9525	32.19
52	112	6814	9662	32.13
53	115	6818	9736	31.88
54	117	6876	10741	33.11
55	119	6887	11390	32.21
56	121	6890	11504	32.20
57	123	6904	11536	32.00
58	125	6964	11712	31.96
59	128	7019	11829	31.59
60	130	7023	11996	31.57
61	132	7025	12015	31.40
62	134	7039	12380	31.63
63	136	7098	12437	31.40
64	138	7103	12455	31.20
65	141	7105	12544	31.00
66	143	7107	12587	30.86
67	145	7121	12640	30.67
68	147	7125	12668	30.51
69	149	7127	12706	30.32
70	151	7129	12775	30.21
71	154	7135	12833	30.01
72	156	7137	12967	29.95
73	158	7146	13031	29.81
74	160	7151	13244	29.75
75	162	7153	13392	29.63
76	164	7161	13477	29.58
77	167	7172	13559	29.37
78	169	7175	13644	29.29
79	171	7175	13683	29.17
80	173	7184	13737	29.05
81	175	7200	13820	28.95
82	177	7202	13874	28.77
83	180	7331	14018	28.57
84	182	7351	14048	28.43
85	184	7354	14146	28.34
86	186	7355	14230	28.26
87	188	7380	14438	28.18
88	190	7390	14460	28.07
89	193	7401	14596	27.97
90	195	7406	14612	27.84
91	197	7454	14785	27.84
92	199	7475	14917	27.80
93	201	7482	15281	27.99
94	203	7542	15496	28.02
95	206	7543	15531	27.85
96	208	7546	15549	27.76
97	210	7547	15576	27.67
98	212	7551	15731	27.64
99	214	7555	15746	27.53
100	217	7573	15813	27.41
