Percentage	Tests_Executed	Functions_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	1	4	136	100.00
2	2	12	277	72.32
3	3	42	446	65.49
4	4	64	581	60.71
5	5	112	822	60.89
6	6	135	925	57.99
7	7	150	985	55.00
8	8	222	1267	55.86
9	9	222	1278	52.64
10	11	267	1403	50.14
11	12	270	1420	47.89
12	13	290	1718	49.47
13	14	405	1993	50.37
14	15	408	2000	49.10
15	16	408	2003	47.39
16	17	408	2006	45.75
17	18	417	2110	45.31
18	19	449	2217	44.96
19	20	458	2230	44.08
20	22	493	2418	42.97
21	23	510	2508	42.59
22	24	527	2529	41.88
23	25	586	2594	40.95
24	26	606	2651	40.37
25	27	613	2662	39.74
26	28	628	2680	39.11
27	29	639	2763	38.82
28	30	639	2764	37.99
29	31	650	2790	37.50
30	33	664	2870	36.78
31	34	666	2875	36.35
32	35	667	2898	36.03
33	36	668	2933	35.70
34	37	671	2953	35.19
35	38	671	2956	34.63
36	39	688	3026	34.51
37	40	718	3164	34.59
38	41	736	3179	34.14
39	42	753	3245	33.95
40	44	783	3296	33.34
41	45	785	3357	33.22
42	46	805	3410	33.07
43	47	807	3415	32.71
44	48	833	3474	32.53
45	49	833	3476	32.10
46	50	845	3505	31.91
47	51	866	3636	32.12
48	52	867	3643	31.73
49	53	867	3682	31.49
50	55	929	3838	31.66
51	56	947	3871	31.54
52	57	959	3872	31.27
53	58	1000	4028	31.64
54	59	1020	4270	32.23
55	60	1042	4379	32.30
56	61	1042	4385	32.05
57	62	1045	4393	31.81
58	63	1052	4421	31.67
59	64	1053	4433	31.37
60	66	1056	4477	30.94
61	67	1113	4888	31.93
62	68	1127	4916	31.78
63	69	1140	5022	31.74
64	70	1153	5152	31.75
65	71	1164	5160	31.53
66	72	1165	5165	31.29
67	73	1168	5264	31.21
68	74	1168	5268	30.99
69	75	1172	5300	30.85
70	77	1186	5425	30.75
71	78	1203	5429	30.51
72	79	1220	5561	30.54
73	80	1232	5564	30.31
74	81	1240	5620	30.19
75	82	1256	5706	30.18
76	83	1259	5734	30.06
77	84	1277	5853	30.25
78	85	1281	5893	30.03
79	86	1283	5904	29.89
80	88	1304	6039	29.80
81	89	1311	6102	29.68
82	90	1313	6105	29.50
83	91	1331	6111	29.31
84	92	1351	6263	29.43
85	93	1351	6301	29.23
86	94	1354	6339	29.07
87	95	1364	6345	28.89
88	96	1377	6392	28.80
89	97	1381	6405	28.62
90	99	1384	6424	28.34
91	100	1398	6522	28.35
92	101	1398	6525	28.23
93	102	1401	6527	28.06
94	103	1404	6552	27.99
95	104	1410	6610	27.99
96	105	1428	6613	27.82
97	106	1437	6681	27.86
98	107	1443	6721	27.75
99	108	1443	6721	27.62
100	110	1477	6990	27.78
