Percentage	Tests_Executed	Functions_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	3	398	416	66.35
2	7	915	761	52.16
3	11	991	962	45.48
4	15	1343	1336	44.80
5	19	1460	1546	41.15
6	23	1666	1799	37.16
7	26	1714	1934	35.75
8	30	1879	2194	34.73
9	34	1995	2422	33.80
10	38	2044	2524	32.27
11	42	2141	2754	31.89
12	46	2297	2933	30.93
13	49	2311	2973	30.04
14	53	2338	3114	28.87
15	57	2346	3256	28.40
16	61	2359	3361	27.62
17	65	2445	3445	26.81
18	69	2513	3569	26.16
19	72	2583	3610	25.23
20	76	2763	3766	25.00
21	80	2779	3826	24.11
22	84	2813	3964	23.36
23	88	2866	4030	22.57
24	92	2880	4086	22.13
25	96	2955	4180	21.86
26	99	3029	4302	21.89
27	103	3047	4369	21.49
28	107	3166	4689	22.03
29	111	3184	4772	21.68
30	115	3232	5101	22.08
31	119	3268	5237	21.98
32	122	3277	5283	21.64
33	126	3288	5360	21.36
34	130	3305	5420	21.08
35	134	3329	5464	20.74
36	138	3362	5493	20.38
37	142	3384	5573	19.96
38	145	3390	5586	19.63
39	149	3417	5642	19.35
40	153	3459	5717	19.10
41	157	3507	5781	18.83
42	161	3516	5796	18.57
43	165	3526	5873	18.27
44	168	3563	5943	18.13
45	172	3581	6034	18.05
46	176	3589	6059	17.81
47	180	3606	6079	17.58
48	184	3624	6126	17.40
49	188	3631	6163	17.22
50	192	3651	6237	17.11
51	195	3668	6315	17.10
52	199	3683	6415	16.90
53	203	3719	6429	16.66
54	207	3725	6469	16.47
55	211	3747	6533	16.35
56	215	3805	6661	16.29
57	218	3811	6699	16.11
58	222	3838	6765	16.01
59	226	3878	6895	16.02
60	230	3887	6911	15.85
61	234	3931	6941	15.73
62	238	4033	7000	15.62
63	241	4064	7028	15.50
64	245	4075	7117	15.43
65	249	4112	7274	15.29
66	253	4164	7327	15.21
67	257	4199	7402	15.09
68	261	4246	7500	15.03
69	264	4299	7509	14.90
70	268	4345	7566	14.72
71	272	4364	7622	14.61
72	276	4377	7646	14.47
73	280	4420	7729	14.43
74	284	4426	7801	14.28
75	288	4458	8006	14.31
76	291	4470	8026	14.22
77	295	4523	8049	14.05
78	299	4564	8101	13.98
79	303	4567	8111	13.86
80	307	4601	8238	13.87
81	311	4643	8329	13.85
82	314	4649	8344	13.74
83	318	4649	8352	13.52
84	322	4659	8383	13.43
85	326	4676	8453	13.34
86	330	4684	8483	13.22
87	334	4710	8498	13.10
88	337	4720	8514	13.03
89	341	4721	8535	12.89
90	345	4731	8566	12.84
91	349	4738	8582	12.77
92	353	4759	8619	12.68
93	357	4779	8887	12.86
94	360	4819	8892	12.75
95	364	4842	8905	12.67
96	368	4876	8915	12.57
97	372	4895	8961	12.52
98	376	4906	9007	12.47
99	380	4910	9021	12.40
100	384	4916	9046	12.34
