Percentage	Tests_Executed	Functions_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	1	401	356	100.00
2	2	508	401	74.40
3	3	564	411	54.01
4	4	606	480	49.03
5	6	644	547	38.47
6	7	675	669	38.87
7	8	677	694	37.37
8	9	727	833	37.98
9	10	747	860	36.43
10	12	776	1103	37.39
11	13	793	1128	35.90
12	14	831	1238	35.70
13	15	961	1429	36.41
14	17	1000	1493	34.38
15	18	1035	1567	34.26
16	19	1035	1584	33.23
17	20	1038	1588	32.07
18	21	1103	1648	31.74
19	23	1139	1813	31.89
20	24	1140	1831	31.40
21	25	1172	1970	31.62
22	26	1177	2046	31.61
23	28	1217	2126	30.86
24	29	1287	2232	30.28
25	30	1311	2235	29.48
26	31	1319	2283	29.13
27	32	1328	2308	28.22
28	34	1340	2450	27.96
29	35	1345	2498	27.60
30	36	1378	2595	27.91
31	37	1378	2599	27.55
32	39	1401	2692	27.04
33	40	1411	2728	26.81
34	41	1439	2814	26.88
35	42	1443	2840	26.46
36	43	1477	2897	25.97
37	45	1486	2947	25.51
38	46	1513	2989	25.26
39	47	1527	3038	25.01
40	48	1562	3048	24.41
41	50	1613	3089	24.12
42	51	1619	3118	23.97
43	52	1649	3190	23.92
44	53	1652	3193	23.49
45	54	1674	3216	23.22
46	56	1682	3365	23.41
47	57	1688	3377	23.06
48	58	1690	3441	23.05
49	59	1690	3444	22.80
50	61	1702	3493	22.42
51	62	1713	3529	22.37
52	63	1726	3571	22.16
53	64	1744	3591	21.95
54	65	1762	3688	22.10
55	67	1768	3708	21.74
56	68	1771	3733	21.67
57	69	1771	3755	21.42
58	70	1846	3773	20.98
59	71	1849	3797	20.82
60	73	1867	3838	20.57
61	74	1875	4051	21.20
62	75	1894	4133	21.32
63	76	1898	4163	21.19
64	78	1902	4323	21.23
65	79	1906	4335	21.06
66	80	1907	4349	20.90
67	81	1908	4364	20.70
68	82	1908	4386	20.60
69	84	1910	4406	20.28
70	85	1920	4496	20.42
71	86	1921	4507	20.25
72	87	1921	4511	20.11
73	89	1927	4517	19.70
74	90	1928	4547	19.63
75	91	1928	4549	19.50
76	92	1928	4559	19.29
77	93	1938	4576	19.06
78	95	1964	4588	18.68
79	96	1964	4598	18.55
80	97	1964	4610	18.51
81	98	1964	4634	18.47
82	100	1982	4655	18.20
83	101	1982	4658	18.09
84	102	1998	4693	18.00
85	103	2015	4697	17.80
86	104	2015	4726	17.77
87	106	2062	4745	17.40
88	107	2065	4747	17.27
89	108	2065	4756	17.13
90	109	2074	4762	17.02
91	111	2091	4788	16.87
92	112	2091	4803	16.77
93	113	2097	4965	17.05
94	114	2098	4995	17.05
95	115	2115	5062	17.13
96	117	2166	5192	17.17
97	118	2167	5198	17.09
98	119	2168	5205	17.01
99	120	2171	5211	16.91
100	122	2171	5240	16.77
