Percentage	Tests_Executed	Lines_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	3	7266	394	52.67
2	7	9946	702	37.99
3	10	13424	843	32.10
4	14	14050	897	25.31
5	17	14788	989	22.99
6	21	15116	1031	19.93
7	24	15428	1064	18.14
8	28	17296	1141	16.75
9	31	18852	1228	16.20
10	35	19430	1265	14.73
11	39	21262	1294	13.76
12	42	21832	1356	13.38
13	46	22232	1417	12.87
14	49	22844	1433	12.25
15	53	23518	1496	11.87
16	56	24250	1674	12.40
17	60	24874	1719	11.92
18	63	24956	1731	11.49
19	67	25324	1775	11.13
20	71	25530	1793	10.66
21	74	25950	1810	10.32
22	78	26266	1831	9.93
23	81	26712	1896	9.89
24	85	27056	1935	9.65
25	88	27624	1994	9.58
26	92	28142	2044	9.35
27	95	29114	2122	9.34
28	99	29484	2185	9.23
29	102	29822	2193	9.02
30	106	30452	2280	8.98
31	110	30758	2309	8.78
32	113	31196	2324	8.61
33	117	31682	2382	8.49
34	120	32704	2403	8.34
35	124	32984	2418	8.14
36	127	33456	2464	8.09
37	131	33552	2475	7.92
38	134	34406	2500	7.81
39	138	34648	2556	7.76
40	142	35320	2624	7.74
41	145	35882	2646	7.64
42	149	36108	2665	7.51
43	152	36314	2679	7.40
44	156	36786	2937	7.85
45	159	36856	2948	7.75
46	163	37204	2988	7.66
47	166	37332	3017	7.60
48	170	37540	3033	7.49
49	173	38420	3090	7.50
50	177	38708	3162	7.51
51	181	38908	3188	7.41
52	184	40000	3215	7.35
53	188	40938	3407	7.56
54	191	41006	3429	7.50
55	195	41292	3459	7.41
56	198	41936	3523	7.40
57	202	42166	3545	7.32
58	205	42420	3582	7.28
59	209	42628	3622	7.21
60	213	43276	3662	7.15
61	216	43502	3673	7.08
62	220	43836	3698	7.00
63	223	43912	3736	6.98
64	227	44518	3827	7.01
65	230	46104	3974	7.16
66	234	46396	3994	7.07
67	237	46432	4004	6.99
68	241	46724	4086	7.01
69	244	47064	4116	6.96
70	248	48122	4190	6.97
71	252	48208	4203	6.89
72	255	48276	4208	6.82
73	259	48540	4229	6.76
74	262	48946	4258	6.74
75	266	49294	4276	6.67
76	269	49582	4296	6.62
77	273	50196	4421	6.68
78	276	50390	4433	6.63
79	280	51694	4600	6.75
80	284	51964	4626	6.69
81	287	52884	4654	6.65
82	291	53400	4693	6.61
83	294	53484	4701	6.57
84	298	53742	4720	6.52
85	301	54324	4791	6.51
86	305	55134	4835	6.47
87	308	55212	4846	6.42
88	312	55484	4867	6.37
89	315	55942	4901	6.35
90	319	56370	4971	6.34
91	323	56814	4999	6.30
92	326	56842	5005	6.26
93	330	56882	5015	6.21
94	333	57294	5057	6.20
95	337	57672	5101	6.19
96	340	57704	5108	6.15
97	344	58142	5132	6.10
98	347	58306	5160	6.07
99	351	58438	5168	6.02
100	355	58688	5183	5.98
