Percentage	Tests_Executed	Lines_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	2	7260	261	74.79
2	4	8850	392	58.68
3	6	9156	560	52.09
4	8	13758	646	46.34
5	10	14358	775	44.77
6	13	18786	1184	46.25
7	15	19354	1281	44.10
8	17	19518	1360	42.07
9	19	19782	1448	40.41
10	21	20826	1655	40.43
11	23	23262	1846	40.01
12	26	27326	2082	39.08
13	28	28148	2203	38.34
14	30	29944	2321	37.59
15	32	34202	2668	38.10
16	34	34324	2712	37.24
17	36	36402	2982	37.51
18	39	37204	3127	36.52
19	41	37308	3217	36.10
20	43	37612	3277	35.30
21	45	39118	3515	35.39
22	47	40214	3621	35.03
23	49	40938	3737	34.77
24	52	41580	3918	34.19
25	54	41876	3985	33.67
26	56	42776	4762	36.07
27	58	43850	4947	35.82
28	60	44500	4995	35.17
29	62	44964	5052	34.76
30	65	45086	5132	34.17
31	67	45718	5153	33.72
32	69	47318	5370	33.43
33	71	47526	5600	33.41
34	73	49054	5646	32.92
35	75	49476	5791	32.62
36	78	51266	6067	32.42
37	80	51462	6123	32.17
38	82	52212	6263	32.08
39	84	52366	6316	31.74
40	86	52532	6336	31.38
41	88	52784	6394	31.09
42	91	52834	6475	30.70
43	93	54134	8086	34.12
44	95	54438	8412	34.30
45	97	54504	8466	33.95
46	99	54524	8609	31.73
47	101	54688	8721	31.55
48	104	55638	8942	31.30
49	106	56868	9092	31.09
50	108	57526	9191	30.95
51	110	57962	9303	30.84
52	112	58176	9465	30.67
53	115	58868	10039	31.05
54	117	59556	10139	30.76
55	119	66762	10580	31.05
56	121	66908	10732	31.02
57	123	66920	10791	30.86
58	125	67446	10905	30.74
59	128	67946	10975	30.53
60	130	67968	11030	30.41
61	132	68196	11247	30.29
62	134	68494	11365	30.19
63	136	68888	11519	30.15
64	138	68972	11658	30.06
65	141	69164	11747	29.81
66	143	69386	11797	29.66
67	145	69422	11848	29.55
68	147	69492	12016	29.54
69	149	69494	12057	29.39
70	151	69538	12140	29.30
71	154	69866	12571	29.51
72	156	70074	12765	29.48
73	158	70128	12813	29.38
74	160	70222	12972	29.35
75	162	70230	13024	29.23
76	164	70518	13121	29.13
77	167	70956	13578	29.32
78	169	72978	13808	29.30
79	171	73036	13837	29.16
80	173	73142	14001	29.14
81	175	73720	14084	29.05
82	177	73866	14151	28.98
83	180	74006	14209	28.83
84	182	74026	14231	28.65
85	184	74050	14251	28.51
86	186	74080	14352	28.52
87	188	74138	14407	28.41
88	190	74276	14492	28.32
89	193	74436	14768	28.29
90	195	74462	14966	28.22
91	197	74568	15081	28.17
92	199	75110	15195	28.11
93	201	75172	15220	28.01
94	203	75268	15264	27.89
95	206	75300	15452	27.84
96	208	75338	15495	27.69
97	210	75450	15586	27.65
98	212	75496	15616	27.58
99	214	75654	15762	27.53
100	217	76174	15813	27.41
