Percentage	Tests_Executed	Lines_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	1	124	165	100.00
2	2	160	204	66.89
3	3	270	307	59.61
4	4	516	461	59.56
5	5	552	488	53.92
6	6	760	665	55.28
7	7	1152	720	51.76
8	8	1264	853	50.59
9	9	1382	894	48.67
10	11	2774	1103	47.04
11	12	3058	1135	45.35
12	13	3140	1148	43.29
13	14	3532	1280	43.72
14	15	3626	1299	42.51
15	16	3708	1306	40.74
16	17	4018	1360	39.81
17	18	4090	1442	39.55
18	19	4986	1607	40.55
19	20	5034	1613	39.36
20	22	5614	1788	39.03
21	23	6012	1957	39.10
22	24	6990	2095	39.60
23	25	7004	2101	38.92
24	26	7010	2106	38.10
25	27	7050	2115	37.37
26	28	7076	2121	36.72
27	29	7386	2266	36.94
28	30	7404	2273	36.25
29	31	7584	2318	35.93
30	33	7916	2458	35.44
31	34	8030	2487	35.02
32	35	8206	2539	34.56
33	36	8572	2759	35.09
34	37	8640	2787	34.72
35	38	8644	2794	34.19
36	39	8644	2795	33.56
37	40	8758	2802	33.14
38	41	8786	2821	32.69
39	42	8958	2908	32.69
40	44	9138	3016	32.38
41	45	9638	3146	32.60
42	46	11578	3591	34.24
43	47	11660	3597	33.79
44	48	11894	3645	33.62
45	49	12334	3803	33.99
46	50	12346	3831	33.74
47	51	12486	3868	33.39
48	52	12674	3923	33.18
49	53	12702	3944	32.99
50	55	13454	4090	32.70
51	56	13556	4203	32.68
52	57	14184	4299	32.73
53	58	14380	4436	32.76
54	59	14496	4482	32.63
55	60	14496	4486	32.30
56	61	14510	4530	31.97
57	62	14600	4601	32.01
58	63	14686	4634	31.86
59	64	14750	4645	31.60
60	66	14868	4681	31.19
61	67	14870	4683	30.89
62	68	15162	4745	30.78
63	69	15274	4776	30.66
64	70	15796	4895	30.76
65	71	15908	4933	30.69
66	72	15912	4935	30.40
67	73	17222	5179	30.94
68	74	17418	5204	30.82
69	75	17446	5216	30.64
70	77	17556	5440	30.77
71	78	17806	5529	30.76
72	79	17864	5536	30.53
73	80	17920	5589	30.40
74	81	18370	5740	30.44
75	82	18386	5746	30.22
76	83	18464	5770	30.02
77	84	18602	5772	29.86
78	85	18624	5784	29.73
79	86	18706	5799	29.56
80	88	19308	6017	29.62
81	89	20264	6210	29.86
82	90	20510	6312	29.91
83	91	20530	6370	29.88
84	92	20530	6401	29.74
85	93	20540	6408	29.55
86	94	20592	6436	29.47
87	95	20632	6501	29.37
88	96	21066	6539	29.18
89	97	21080	6545	29.01
90	99	21110	6642	28.77
91	100	21164	6675	28.73
92	101	21164	6678	28.61
93	102	21226	6735	28.55
94	103	21608	6784	28.49
95	104	21688	6788	28.33
96	105	21696	6789	28.17
97	106	21698	6789	28.04
98	107	22408	6939	28.16
99	108	22476	6947	28.01
100	110	22650	6990	27.78
