Percentage	Tests_Executed	Lines_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	3	5126	372	63.05
2	7	6966	546	45.77
3	11	7606	707	38.91
4	15	9602	809	34.19
5	19	12766	969	32.66
6	23	13488	1110	30.41
7	26	13988	1210	29.37
8	30	17656	1515	30.09
9	34	19972	1693	29.07
10	38	20334	1828	27.97
11	42	21226	1936	27.06
12	46	22030	2272	27.96
13	49	22382	2322	27.01
14	53	22746	2350	26.01
15	57	23506	2409	25.06
16	61	24184	2485	24.13
17	65	25558	2685	24.08
18	69	26080	2744	23.39
19	72	26834	2941	23.48
20	76	27534	3075	23.11
21	80	30226	3267	23.09
22	84	31482	3360	22.40
23	88	32548	3449	22.01
24	92	32976	3523	21.54
25	96	33168	3823	22.15
26	99	33306	3851	21.25
27	103	35574	4028	21.25
28	107	37334	4230	21.33
29	111	38146	4276	20.74
30	115	40126	4604	21.31
31	119	40424	4720	20.88
32	122	40496	4737	20.17
33	126	41634	4817	19.69
34	130	42674	5052	19.89
35	134	42766	5073	19.28
36	138	43014	5121	19.03
37	142	43788	5215	18.84
38	145	44900	5296	18.62
39	149	45298	5407	18.51
40	153	45746	5437	18.20
41	157	46138	5593	18.15
42	161	46444	5679	18.06
43	165	46860	5760	17.87
44	168	47626	6034	18.20
45	172	49156	6104	18.07
46	176	49328	6122	17.84
47	180	49436	6170	17.62
48	184	49994	6257	17.39
49	188	50094	6330	17.22
50	192	51300	6483	17.26
51	195	51896	6490	17.01
52	199	52430	6512	16.83
53	203	53218	6554	16.58
54	207	53554	6661	16.50
55	211	54392	6805	16.48
56	215	55194	6872	16.29
57	218	55542	6909	16.09
58	222	56022	6976	16.00
59	226	57416	7047	15.95
60	230	57512	7060	15.77
61	234	57924	7117	15.66
62	238	59042	7338	15.83
63	241	59182	7375	15.68
64	245	59610	7402	15.39
65	249	60246	7536	15.42
66	253	60456	7592	15.33
67	257	60762	7619	15.13
68	261	61084	7710	15.09
69	264	61158	7738	15.01
70	268	61274	7814	14.97
71	272	61384	7875	14.92
72	276	63048	7944	14.76
73	280	63130	7957	14.62
74	284	63600	8098	14.61
75	288	64236	8122	14.47
76	291	64660	8183	14.43
77	295	65044	8225	14.34
78	299	65262	8244	14.21
79	303	65580	8275	14.09
80	307	65770	8301	13.91
81	311	65864	8330	13.82
82	314	65910	8392	13.79
83	318	66188	8455	13.68
84	322	66190	8477	13.61
85	326	66344	8485	13.52
86	330	70700	8603	13.51
87	334	70972	8621	13.40
88	337	72056	8783	13.46
89	341	72216	8794	13.33
90	345	72360	8822	13.24
91	349	72442	8845	13.12
92	353	72622	8851	13.01
93	357	72764	8900	12.96
94	360	72990	8906	12.89
95	364	73002	8930	12.73
96	368	73418	8953	12.66
97	372	73768	9001	12.61
98	376	73838	9017	12.51
99	380	73842	9023	12.41
100	384	73870	9046	12.34
