Percentage	Tests_Executed	Lines_Covered	Java_Tokens_Coverage	Unique_Tokens_Ratio
1	1	3094	256	100.00
2	2	3978	353	72.19
3	3	4110	406	56.86
4	4	5064	504	51.27
5	6	5610	561	40.62
6	7	6356	688	39.91
7	8	6484	735	38.36
8	9	6526	767	36.51
9	10	6624	815	34.42
10	12	6836	843	30.82
11	13	6970	894	30.25
12	14	6974	903	29.20
13	15	7002	921	28.69
14	17	8068	984	27.20
15	18	8216	1216	30.05
16	19	8216	1219	28.92
17	20	8272	1260	28.46
18	21	8360	1285	27.57
19	23	8596	1382	26.80
20	24	8830	1463	26.67
21	25	8892	1544	26.96
22	26	9046	1584	26.48
23	28	9440	1651	25.66
24	29	9576	1762	26.20
25	30	10084	1940	27.30
26	31	10186	2046	27.69
27	32	10270	2105	27.34
28	34	10846	2226	26.54
29	35	10864	2246	25.93
30	36	10968	2273	25.39
31	37	11006	2274	24.82
32	39	11056	2320	24.07
33	40	11064	2337	23.89
34	41	11146	2375	23.63
35	42	11336	2432	23.42
36	43	11422	2448	23.08
37	45	11564	2493	22.40
38	46	11564	2498	22.12
39	47	11622	2593	22.31
40	48	11676	2607	22.07
41	50	11754	2622	21.53
42	51	11840	2654	21.41
43	52	11894	2686	21.37
44	53	12198	2734	21.18
45	54	12198	2736	20.93
46	56	12520	2925	21.31
47	57	12614	3019	21.42
48	58	12788	3053	21.01
49	59	12870	3073	20.79
50	61	13026	3186	20.86
51	62	13242	3236	20.92
52	63	13326	3302	20.94
53	64	13398	3325	20.83
54	65	13402	3350	20.75
55	67	13534	3369	20.27
56	68	13536	3374	20.01
57	69	13558	3375	19.78
58	70	13562	3385	19.52
59	71	13598	3448	19.56
60	73	13746	3560	19.40
61	74	13818	3577	19.20
62	75	13856	3588	19.05
63	76	13864	3597	18.96
64	78	13888	3600	18.57
65	79	14182	3630	18.29
66	80	14288	3658	18.21
67	81	14480	3754	18.38
68	82	14494	3816	18.47
69	84	14678	3894	18.49
70	85	14822	4073	18.90
71	86	15000	4082	18.65
72	87	15040	4119	18.57
73	89	15152	4326	18.98
74	90	15250	4345	18.86
75	91	15370	4405	18.93
76	92	15384	4413	18.79
77	93	15598	4507	18.93
78	95	15598	4540	18.77
79	96	15604	4549	18.59
80	97	15604	4555	18.46
81	98	15610	4567	18.37
82	100	16190	4757	18.54
83	101	16288	4776	18.43
84	102	16384	4795	18.32
85	103	16434	4807	18.21
86	104	16530	4824	18.10
87	106	16532	4964	18.29
88	107	16730	4971	17.99
89	108	16748	4974	17.85
90	109	16760	4986	17.71
91	111	16802	4995	17.48
92	112	17204	5062	17.56
93	113	17224	5063	17.45
94	114	17264	5069	17.33
95	115	17390	5116	17.38
96	117	17404	5134	17.22
97	118	17408	5144	17.08
98	119	17408	5146	16.97
99	120	17434	5148	16.80
100	122	17590	5240	16.77
