Percentage	Tests_Executed	Branches_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	108	2487	46.63
2	7	1174	6050	37.48
3	10	1376	6759	30.20
4	14	2406	11730	31.65
5	17	3530	12552	28.66
6	21	4208	13072	24.39
7	24	4528	13605	22.69
8	28	4728	14782	21.40
9	31	5066	14973	19.72
10	35	5220	15378	18.33
11	39	5400	16903	17.77
12	42	5540	17445	17.05
13	46	5910	18310	16.39
14	49	5988	18495	15.64
15	53	6140	18709	14.87
16	56	6182	18811	14.22
17	60	6242	19387	13.70
18	63	6302	19526	13.22
19	67	6470	19971	12.76
20	71	7094	20733	12.48
21	74	7324	20891	12.15
22	78	7386	21122	11.72
23	81	7468	21230	11.39
24	85	7634	21753	11.09
25	88	7682	21865	10.78
26	92	7828	22814	10.73
27	95	7922	22994	10.49
28	99	8110	23250	10.22
29	102	8148	23378	10.04
30	106	8418	23791	9.83
31	110	8464	23849	9.56
32	113	8504	23920	9.35
33	117	8568	24605	9.30
34	120	8634	24680	9.10
35	124	8814	25604	9.11
36	127	8834	25670	8.95
37	131	8888	25753	8.74
38	134	8928	25818	8.59
39	138	8982	25996	8.38
40	142	9224	26321	8.23
41	145	9298	26684	8.17
42	149	9356	27000	8.05
43	152	9418	27569	8.06
44	156	9502	27708	7.92
45	159	9524	28183	7.92
46	163	9652	28497	7.83
47	166	9780	28790	7.76
48	170	9826	28846	7.61
49	173	9888	28999	7.55
50	177	9958	29142	7.44
51	181	9980	29225	7.31
52	184	10122	29384	7.22
53	188	10190	29582	7.12
54	191	10264	29705	7.05
55	195	10296	29865	6.94
56	198	10332	29964	6.87
57	202	10484	30313	6.81
58	205	10498	30356	6.73
59	209	10548	30594	6.67
60	213	10786	31206	6.66
61	216	10796	31271	6.60
62	220	10930	31755	6.57
63	223	11000	31811	6.50
64	227	11138	31866	6.39
65	230	11198	32025	6.34
66	234	11474	32632	6.33
67	237	11534	32757	6.29
68	241	11622	33060	6.24
69	244	11636	33495	6.21
70	248	11678	33598	6.14
71	252	11720	33715	6.07
72	255	11790	33882	6.03
73	259	11902	34118	5.97
74	262	11930	34217	5.92
75	266	11974	34306	5.85
76	269	12110	34948	5.88
77	273	12238	35361	5.83
78	276	12446	35599	5.79
79	280	12474	35794	5.75
80	284	12604	36084	5.72
81	287	12604	36119	5.67
82	291	12670	36454	5.63
83	294	12700	37036	5.66
84	298	12828	37451	5.64
85	301	12890	38742	5.76
86	305	13064	40820	5.97
87	308	13100	40921	5.93
88	312	13170	41164	5.89
89	315	13328	41498	5.87
90	319	13414	41628	5.82
91	323	13492	41766	5.76
92	326	13580	41800	5.72
93	330	13656	42028	5.68
94	333	13686	42097	5.64
95	337	13714	42164	5.59
96	340	13720	42191	5.55
97	344	13782	42446	5.51
98	347	13784	42605	5.48
99	351	13788	42625	5.43
100	355	13912	42749	5.38
