Percentage	Tests_Executed	Branches_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	2	1640	4966	88.69
2	4	4630	9050	73.45
3	6	4688	10152	61.67
4	8	4746	10915	54.78
5	10	5572	17736	57.67
6	13	5698	19385	53.66
7	15	5916	22144	52.60
8	17	6146	23674	50.39
9	19	7034	34300	52.86
10	21	7194	35253	50.71
11	23	7582	36671	48.84
12	26	8270	38857	47.48
13	28	8588	40832	45.71
14	30	8628	41710	44.88
15	32	8750	42120	43.91
16	34	8838	43261	43.44
17	36	9170	45175	42.44
18	39	9214	46144	41.16
19	41	9308	46783	40.61
20	43	9400	48477	40.10
21	45	9498	49507	39.28
22	47	9628	50309	38.71
23	49	9802	51697	37.94
24	52	9912	53147	37.36
25	54	9956	53617	36.86
26	56	10004	54246	36.40
27	58	10500	57348	36.30
28	60	10640	58850	35.98
29	62	10982	60134	35.71
30	65	11272	60709	34.97
31	67	11364	61303	34.53
32	69	11894	64128	35.05
33	71	11930	64645	34.72
34	73	12024	65044	34.39
35	75	12220	68881	32.46
36	78	12466	70662	32.23
37	80	12468	70811	31.92
38	82	12552	71352	31.61
39	84	12566	71536	31.30
40	86	12618	72135	31.06
41	88	12662	72546	30.71
42	91	12822	73805	30.37
43	93	12944	75041	30.17
44	95	12970	75730	30.00
45	97	13070	76926	29.80
46	99	13082	78092	29.37
47	101	13320	79510	29.16
48	104	13382	80786	28.92
49	106	13484	81299	28.67
50	108	13624	85439	28.95
51	110	13904	86742	28.77
52	112	13978	87586	28.67
53	115	14082	88996	28.41
54	117	14082	89480	28.17
55	119	14092	89771	27.97
56	121	14618	91341	27.84
57	123	14652	92824	27.74
58	125	14760	93905	27.55
59	128	14950	94637	27.32
60	130	15038	97946	27.39
61	132	15046	98619	27.17
62	134	15254	99232	27.03
63	136	15276	99588	26.89
64	138	15460	100662	26.81
65	141	15586	102249	26.57
66	143	15586	103158	26.46
67	145	16814	105841	26.30
68	147	16844	106416	26.09
69	149	16864	107667	25.99
70	151	16904	108674	25.96
71	154	16932	109172	25.71
72	156	16994	110995	25.67
73	158	17010	111812	25.54
74	160	17028	113259	25.55
75	162	17028	113468	25.44
76	164	17034	113660	25.29
77	167	17078	116423	25.18
78	169	17110	118386	25.15
79	171	17140	118540	25.03
80	173	17152	118802	24.94
81	175	17160	118905	24.84
82	177	17176	119258	24.74
83	180	17226	120955	24.62
84	182	17300	121408	24.49
85	184	17400	123329	24.43
86	186	17400	124381	24.28
87	188	17468	125638	24.13
88	190	17496	126392	24.12
89	193	17502	126832	23.91
90	195	17504	127741	23.75
91	197	17526	127881	23.67
92	199	17528	128012	23.59
93	201	17552	129113	23.49
94	203	17896	130202	23.38
95	206	17900	130626	23.20
96	208	17980	131375	23.15
97	210	18000	131543	23.04
98	212	18056	132075	22.97
99	214	18076	132487	22.90
100	217	18400	134732	22.81
