Percentage	Tests_Executed	Branchs_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	6	1206	213	43.12
2	13	1394	300	28.20
3	20	1399	381	22.94
4	26	1442	438	20.45
5	33	1484	506	18.65
6	40	1484	547	16.63
7	46	1484	588	15.53
8	53	1486	641	14.66
9	60	1486	693	13.95
10	67	1521	737	13.26
11	73	1523	779	12.85
12	80	1539	827	12.43
13	87	1539	882	12.18
14	93	1554	914	11.81
15	100	1575	950	11.44
16	107	1575	989	11.15
17	113	1575	1016	10.85
18	120	1575	1044	10.52
19	127	1576	1077	10.27
20	134	1623	1132	10.24
21	140	1625	1167	10.12
22	147	1644	1199	9.90
23	154	1647	1236	9.74
24	160	1649	1275	9.67
25	167	1649	1305	9.48
26	174	1652	1332	9.29
27	180	1652	1358	9.16
28	187	1660	1392	9.04
29	194	1660	1426	8.93
30	201	1661	1460	8.81
31	207	1661	1491	8.73
32	214	1661	1518	8.59
33	221	1678	1564	8.56
34	227	1698	1601	8.53
35	234	1698	1626	8.40
36	241	1698	1647	8.27
37	247	1698	1676	8.20
38	254	1698	1700	8.09
39	261	1698	1731	8.01
40	268	1698	1756	7.92
41	274	1706	1785	7.87
42	281	1710	1814	7.79
43	288	1710	1841	7.72
44	294	1710	1858	7.64
45	301	1710	1881	7.55
46	308	1710	1902	7.46
47	314	1714	1931	7.43
48	321	1724	1990	7.49
49	328	1727	2025	7.46
50	335	1727	2048	7.38
51	341	1727	2072	7.34
52	348	1728	2114	7.33
53	355	1728	2141	7.28
54	361	1728	2163	7.23
55	368	1729	2197	7.21
56	375	1731	2229	7.17
57	381	1733	2249	7.13
58	388	1733	2278	7.09
59	395	1736	2310	7.05
60	402	1737	2344	7.03
61	408	1759	2382	7.03
62	415	1759	2405	6.98
63	422	1759	2432	6.94
64	428	1759	2461	6.92
65	435	1760	2494	6.91
66	442	1761	2527	6.89
67	448	1761	2551	6.86
68	455	1802	2582	6.84
69	462	1803	2617	6.83
70	469	1803	2639	6.78
71	475	1803	2658	6.74
72	482	1803	2677	6.70
73	489	1816	2708	6.68
74	495	1822	2735	6.67
75	502	1822	2762	6.64
76	509	1824	2792	6.62
77	515	1825	2830	6.63
78	522	1825	2856	6.61
79	529	1825	2877	6.57
80	536	1835	2918	6.58
81	542	1838	2951	6.57
82	549	1838	2977	6.55
83	556	1838	2997	6.51
84	562	1838	3018	6.49
85	569	1841	3050	6.47
86	576	1841	3081	6.46
87	582	1841	3111	6.45
88	589	1842	3137	6.43
89	596	1843	3165	6.42
90	603	1844	3193	6.40
91	609	1844	3217	6.38
92	616	1844	3250	6.37
93	623	1844	3277	6.36
94	629	1846	3299	6.34
95	636	1846	3322	6.31
96	643	1846	3345	6.29
97	649	1850	3368	6.27
98	656	1850	3393	6.25
99	663	1851	3426	6.25
100	670	1851	3450	6.22
