Percentage	Tests_Executed	Branchs_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	8	1021	161	49.69
2	16	1257	294	41.23
3	24	1303	389	36.80
4	32	1321	454	31.59
5	40	1379	543	30.23
6	48	1396	618	28.70
7	56	1419	679	26.98
8	64	1421	728	25.31
9	72	1457	794	24.46
10	80	1476	825	22.84
11	88	1481	863	21.76
12	97	1496	908	20.90
13	105	1497	956	20.41
14	113	1510	1006	20.13
15	121	1519	1039	19.41
16	129	1521	1069	18.75
17	137	1522	1101	18.17
18	145	1553	1174	18.36
19	153	1553	1198	17.64
20	161	1562	1254	17.57
21	169	1563	1278	17.08
22	177	1565	1304	16.80
23	186	1568	1338	16.34
24	194	1579	1367	16.08
25	202	1592	1395	15.78
26	210	1638	1419	15.44
27	218	1643	1468	15.39
28	226	1647	1487	14.95
29	234	1658	1526	14.84
30	242	1668	1577	14.86
31	250	1687	1609	14.71
32	258	1694	1633	14.52
33	266	1707	1661	14.30
34	275	1707	1685	13.98
35	283	1710	1712	13.81
36	291	1716	1764	13.80
37	299	1719	1798	13.71
38	307	1719	1810	13.40
39	315	1724	1835	13.19
40	323	1724	1885	13.23
41	331	1724	1895	12.98
42	339	1724	1907	12.76
43	347	1724	1933	12.62
44	355	1725	1954	12.47
45	364	1731	1975	12.30
46	372	1731	1989	12.14
47	380	1735	2024	12.10
48	388	1737	2059	12.07
49	396	1737	2085	11.97
50	404	1743	2102	11.82
51	412	1743	2113	11.65
52	420	1748	2126	11.52
53	428	1763	2165	11.51
54	436	1765	2195	11.48
55	444	1767	2217	11.39
56	453	1768	2239	11.29
57	461	1769	2264	11.22
58	469	1769	2269	11.04
59	477	1769	2277	10.88
60	485	1770	2285	10.74
61	493	1770	2302	10.66
62	501	1771	2319	10.57
63	509	1772	2335	10.49
64	517	1775	2352	10.40
65	525	1777	2370	10.30
66	533	1779	2389	10.24
67	542	1782	2409	10.15
68	550	1783	2427	10.08
69	558	1783	2445	10.01
70	566	1784	2456	9.92
71	574	1785	2459	9.79
72	582	1785	2478	9.71
73	590	1786	2510	9.70
74	598	1786	2524	9.62
75	606	1790	2539	9.55
76	614	1790	2551	9.47
77	622	1790	2568	9.40
78	631	1790	2583	9.33
79	639	1791	2591	9.24
80	647	1791	2598	9.14
81	655	1791	2600	9.03
82	663	1791	2610	8.94
83	671	1793	2632	8.92
84	679	1793	2647	8.86
85	687	1794	2665	8.81
86	695	1794	2672	8.74
87	703	1794	2672	8.64
88	711	1794	2697	8.63
89	720	1794	2714	8.58
90	728	1794	2720	8.49
91	736	1794	2725	8.40
92	744	1794	2727	8.32
93	752	1794	2733	8.25
94	760	1794	2743	8.18
95	768	1795	2781	8.20
96	776	1802	2942	8.55
97	784	1802	2955	8.50
98	792	1802	2980	8.47
99	800	1802	2982	8.39
100	809	1802	2987	8.32
