Percentage	Tests_Executed	Branches_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	2	338	48	63.16
2	4	344	67	44.37
3	6	360	91	39.57
4	8	563	119	39.14
5	10	566	140	38.46
6	12	569	156	35.54
7	14	569	169	32.94
8	17	628	265	39.49
9	19	628	278	37.22
10	21	680	311	36.80
11	23	680	322	35.00
12	25	680	335	33.70
13	27	682	361	33.09
14	29	682	372	31.88
15	32	682	386	30.09
16	34	723	429	30.91
17	36	740	449	30.65
18	38	740	459	29.81
19	40	740	471	29.22
20	42	740	485	28.70
21	44	752	523	29.10
22	47	752	546	28.72
23	49	752	568	28.40
24	51	752	579	27.89
25	53	752	589	27.40
26	55	752	601	27.28
27	57	752	610	26.78
28	59	752	638	27.02
29	62	764	661	26.67
30	64	764	671	26.29
31	66	764	681	25.91
32	68	764	690	25.53
33	70	764	714	25.55
34	72	764	721	25.23
35	74	764	733	24.99
36	77	807	762	24.99
37	79	807	784	24.92
38	81	815	800	24.82
39	83	815	809	24.52
40	85	815	820	24.30
41	87	815	830	24.05
42	89	818	843	24.03
43	92	818	859	23.74
44	94	818	882	23.74
45	96	818	893	23.56
46	98	818	901	23.30
47	100	825	922	23.27
48	102	825	932	23.10
49	104	825	941	22.91
50	107	827	967	22.88
51	109	827	988	22.84
52	111	827	998	22.68
53	113	827	1006	22.47
54	115	827	1017	22.35
55	117	827	1037	22.37
56	119	827	1060	22.39
57	121	827	1094	22.55
58	124	847	1116	22.46
59	126	851	1134	22.47
60	128	851	1144	22.34
61	130	851	1154	22.21
62	132	851	1165	22.10
63	134	851	1175	21.99
64	136	851	1187	21.90
65	139	859	1205	21.77
66	141	859	1214	21.64
67	143	859	1224	21.53
68	145	859	1234	21.43
69	147	859	1244	21.33
70	149	859	1254	21.22
71	151	859	1271	21.25
72	154	859	1293	21.21
73	156	859	1302	21.10
74	158	867	1321	21.16
75	160	867	1329	21.03
76	162	867	1337	20.90
77	164	867	1345	20.79
78	166	867	1353	20.67
79	169	869	1368	20.57
80	171	869	1387	20.56
81	173	869	1395	20.44
82	175	869	1404	20.34
83	177	869	1419	20.31
84	179	870	1438	20.31
85	181	870	1447	20.22
86	184	870	1467	20.18
87	186	870	1488	20.21
88	188	871	1501	20.22
89	190	871	1510	20.13
90	192	871	1521	20.09
91	194	871	1543	20.12
92	196	871	1549	20.02
93	199	880	1565	19.96
94	201	880	1571	19.84
95	203	880	1578	19.73
96	205	880	1586	19.65
97	207	880	1595	19.58
98	209	880	1604	19.51
99	211	880	1618	19.52
100	214	880	1631	19.47
