Percentage	Tests_Executed	Branches_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	1	10	1717	100.00
2	2	166	2621	75.95
3	3	366	4187	67.67
4	4	386	4765	61.86
5	5	496	6246	59.80
6	6	500	6512	55.68
7	7	500	6635	49.86
8	8	506	7052	47.69
9	9	742	7763	46.25
10	11	1138	11600	49.32
11	12	1190	12451	48.55
12	13	1194	12649	47.16
13	14	1212	12842	46.02
14	15	1218	13026	44.08
15	16	1234	13325	42.43
16	17	1284	13805	42.12
17	18	1288	13852	40.91
18	19	1300	13980	39.61
19	20	1336	15406	40.04
20	22	1430	17862	40.15
21	23	1516	18317	39.49
22	24	1634	21285	41.29
23	25	1634	21501	40.71
24	26	1634	21639	39.64
25	27	1678	22213	39.12
26	28	1856	22860	38.64
27	29	1878	23589	38.32
28	30	1914	23792	37.76
29	31	2180	24693	37.40
30	33	2248	24883	36.45
31	34	2336	26496	36.77
32	35	2392	27108	36.29
33	36	2394	27184	35.71
34	37	2422	27379	35.34
35	38	2426	27383	34.93
36	39	2446	27511	34.31
37	40	2522	29129	34.20
38	41	2570	29628	34.04
39	42	2590	30572	33.93
40	44	2598	30759	33.05
41	45	2630	31055	32.85
42	46	2630	32060	32.89
43	47	2782	33863	33.23
44	48	2856	34559	33.01
45	49	2862	34741	32.68
46	50	2862	35032	32.41
47	51	3052	35909	32.26
48	52	3366	37934	32.91
49	53	3368	37981	32.60
50	55	3416	38767	32.25
51	56	3536	39504	31.90
52	57	3566	39603	31.49
53	58	3638	40240	31.37
54	59	3706	40979	31.37
55	60	3706	41037	31.14
56	61	3732	41257	30.95
57	62	3734	41297	30.73
58	63	4234	42894	30.74
59	64	4342	43601	30.60
60	66	4348	44310	30.33
61	67	4504	45414	30.41
62	68	4504	45526	30.25
63	69	4504	45690	30.07
64	70	4538	47104	30.14
65	71	4538	47129	29.83
66	72	4614	47733	29.75
67	73	4638	47766	29.60
68	74	4674	48558	29.51
69	75	4684	49055	29.40
70	77	4690	49113	29.01
71	78	4938	50982	29.26
72	79	4948	51155	29.16
73	80	4948	51490	28.97
74	81	4948	51532	28.71
75	82	5156	52912	28.88
76	83	5156	53185	28.72
77	84	5160	53314	28.54
78	85	5160	53550	28.42
79	86	5160	53707	28.32
80	88	5186	54510	28.22
81	89	5186	54521	28.02
82	90	5196	54606	27.88
83	91	5370	55233	27.86
84	92	5372	55255	27.67
85	93	5378	55283	27.48
86	94	5378	55401	27.32
87	95	5380	55738	27.16
88	96	5920	59040	27.59
89	97	5936	59404	27.41
90	99	6038	60963	27.26
91	100	6128	62604	27.34
92	101	6218	63066	27.24
93	102	6218	63169	27.15
94	103	6306	64270	27.21
95	104	6372	65136	27.17
96	105	6424	65560	27.05
97	106	6438	65812	26.91
98	107	6478	65868	26.80
99	108	6486	66319	26.74
100	110	6490	66460	26.54
