Percentage	Tests_Executed	Branches_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	8	906	397	26.92
2	17	909	571	18.27
3	26	975	742	15.84
4	35	975	865	13.70
5	43	975	978	12.61
6	52	1005	1131	12.24
7	61	1005	1248	11.39
8	70	1005	1376	10.91
9	78	1005	1498	10.73
10	87	1020	1664	10.67
11	96	1020	1775	10.35
12	105	1020	1867	10.01
13	113	1025	1978	9.88
14	122	1027	2112	9.79
15	131	1027	2228	9.59
16	140	1027	2337	9.37
17	148	1027	2425	9.18
18	157	1027	2527	9.05
19	166	1366	2675	9.08
20	175	1366	2774	8.92
21	183	1378	2878	8.84
22	192	1378	2971	8.71
23	201	1378	3064	8.56
24	210	1378	3156	8.43
25	218	1378	3253	8.38
26	227	1378	3339	8.25
27	236	1378	3431	8.16
28	245	1392	3585	8.22
29	253	1392	3667	8.14
30	262	1392	3790	8.14
31	271	1392	3880	8.06
32	280	1407	3982	8.04
33	288	1407	4061	7.98
34	297	1407	4152	7.91
35	306	1410	4263	7.91
36	315	1410	4350	7.86
37	323	1410	4432	7.83
38	332	1410	4521	7.76
39	341	1410	4604	7.68
40	350	1410	4691	7.62
41	358	1410	4767	7.58
42	367	1424	4861	7.54
43	376	1441	4994	7.55
44	385	1441	5084	7.49
45	393	1441	5163	7.48
46	402	1441	5252	7.44
47	411	1447	5341	7.41
48	420	1449	5553	7.53
49	428	1449	5632	7.49
50	437	1449	5717	7.44
51	446	1449	5800	7.39
52	455	1450	5893	7.38
53	463	1450	5972	7.35
54	472	1450	6062	7.31
55	481	1450	6153	7.29
56	490	1450	6241	7.25
57	498	1450	6320	7.23
58	507	1450	6400	7.18
59	516	1450	6483	7.15
60	525	1450	6569	7.11
61	533	1450	6647	7.08
62	542	1454	6734	7.05
63	551	1454	6823	7.03
64	560	1454	6911	7.00
65	568	1454	6992	6.98
66	577	1454	7077	6.95
67	586	1454	7160	6.92
68	595	1461	7246	6.90
69	603	1461	7324	6.88
70	612	1461	7414	6.87
71	621	1461	7502	6.85
72	630	1461	7596	6.84
73	638	1461	7674	6.82
74	647	1461	7758	6.81
75	656	1476	7845	6.80
76	665	1480	7934	6.78
77	673	1480	8013	6.76
78	682	1480	8099	6.74
79	691	1480	8189	6.73
80	700	1837	8278	6.72
81	708	1837	8357	6.70
82	717	1837	8444	6.70
83	726	1837	8529	6.68
84	735	1837	8618	6.66
85	743	1837	8696	6.65
86	752	1837	8783	6.63
87	761	1837	8865	6.62
88	770	1862	8962	6.62
89	778	1862	9041	6.61
90	787	1891	9127	6.60
91	796	1891	9208	6.58
92	805	1891	9292	6.57
93	813	1891	9362	6.55
94	822	1891	9445	6.53
95	831	1892	9544	6.53
96	840	2024	9627	6.52
97	848	2024	9702	6.51
98	857	2024	9800	6.51
99	866	2024	9872	6.49
100	875	2024	9962	6.48
