Percentage	Tests_Executed	Branches_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	708	3835	65.80
2	7	1262	7639	50.45
3	11	2022	16052	54.82
4	15	2308	17592	49.23
5	19	2642	18484	44.06
6	23	2876	20511	41.28
7	26	2952	21702	39.64
8	30	3226	22723	37.27
9	34	3870	24506	36.25
10	38	4040	27105	35.33
11	42	4236	28258	33.96
12	46	4380	29925	33.13
13	49	4490	32025	32.90
14	53	5168	34570	32.14
15	57	5848	37414	31.81
16	61	5922	37903	30.70
17	65	6678	41576	30.86
18	69	6686	41917	29.72
19	72	6750	42027	29.16
20	76	6998	44036	28.46
21	80	7106	44390	27.30
22	84	7348	46082	26.65
23	88	7394	46368	26.04
24	92	8710	50288	26.57
25	96	8962	51997	26.04
26	99	9086	54677	26.25
27	103	9144	55017	25.75
28	107	9156	55924	25.25
29	111	9190	56383	24.86
30	115	9204	57217	24.51
31	119	9232	57668	23.85
32	122	9318	57877	23.48
33	126	9406	58537	23.20
34	130	9672	63277	23.69
35	134	9738	66702	23.97
36	138	9768	67444	23.68
37	142	9852	68007	23.39
38	145	9968	68912	23.20
39	149	10012	70035	23.01
40	153	10104	71389	22.78
41	157	10254	74636	22.99
42	161	10278	75080	22.64
43	165	10346	75245	22.08
44	168	10460	75423	21.89
45	172	10552	77828	22.09
46	176	10910	82209	22.54
47	180	10974	83119	22.31
48	184	11046	88186	22.87
49	188	11090	88862	22.49
50	192	11114	89113	22.22
51	195	11114	89154	22.05
52	199	11234	89695	21.77
53	203	11336	91128	21.59
54	207	11810	93646	21.60
55	211	11868	94562	21.44
56	215	12030	100311	21.87
57	218	12036	100465	21.56
58	222	12116	102423	21.36
59	226	12414	106004	21.37
60	230	12422	106314	20.91
61	234	12472	106940	20.73
62	238	12656	108778	20.73
63	241	12816	110386	20.72
64	245	12962	111625	20.64
65	249	12972	114434	20.47
66	253	13328	115811	20.21
67	257	13384	116169	19.96
68	261	13468	118284	19.95
69	264	13578	118320	19.56
70	268	13772	119820	19.52
71	272	13806	120125	19.33
72	276	13844	120825	19.23
73	280	13950	122791	19.18
74	284	13964	123098	19.07
75	288	14058	123704	18.91
76	291	14100	124038	18.73
77	295	14134	124189	18.59
78	299	14152	124625	18.47
79	303	14222	125178	18.30
80	307	14252	125453	18.18
81	311	14316	126087	17.99
82	314	14366	126706	17.86
83	318	14396	127059	17.70
84	322	14526	128034	17.54
85	326	14564	136614	18.23
86	330	14594	137085	18.07
87	334	14598	137342	17.93
88	337	14626	138729	17.95
89	341	14650	139080	17.82
90	345	14654	139420	17.71
91	349	14724	140896	17.71
92	353	14762	141435	17.60
93	357	14798	141492	17.47
94	360	14888	141981	17.37
95	364	14990	142173	17.21
96	368	15074	142345	17.08
97	372	15146	143164	17.01
98	376	15226	143445	16.91
99	380	15230	144057	16.82
100	384	15294	144550	16.73
