Percentage	Tests_Executed	Branches_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	855	143	53.76
2	7	950	263	41.42
3	11	957	343	35.51
4	14	1189	402	32.03
5	18	1214	506	31.92
6	22	1230	555	28.83
7	25	1233	596	27.23
8	29	1239	665	25.98
9	33	1240	729	25.42
10	37	1240	770	24.02
11	40	1242	816	23.65
12	44	1242	853	22.66
13	48	1282	909	21.87
14	51	1288	947	21.39
15	55	1288	993	20.74
16	59	1288	1050	20.27
17	62	1288	1070	19.83
18	66	1295	1112	19.39
19	70	1297	1180	19.30
20	74	1330	1254	19.38
21	77	1330	1287	19.10
22	81	1337	1363	19.00
23	85	1344	1400	18.72
24	88	1351	1432	18.49
25	92	1351	1482	18.27
26	96	1355	1531	18.09
27	99	1362	1582	18.06
28	103	1362	1622	17.83
29	107	1364	1679	17.65
30	111	1364	1722	17.43
31	114	1364	1753	17.28
32	118	1367	1823	17.40
33	122	1367	1863	17.22
34	125	1368	1903	17.12
35	129	1370	1942	16.95
36	133	1371	1992	16.91
37	136	1371	2021	16.77
38	140	1416	2077	16.73
39	144	1416	2113	16.55
40	148	1416	2163	16.43
41	151	1416	2186	16.31
42	155	1416	2233	16.19
43	159	1416	2274	16.06
44	162	1416	2306	15.98
45	166	1416	2330	15.83
46	170	1416	2381	15.76
47	173	1416	2406	15.68
48	177	1419	2434	15.54
49	181	1419	2470	15.43
50	185	1419	2516	15.40
51	188	1419	2538	15.31
52	192	1419	2573	15.21
53	196	1419	2605	15.09
54	199	1420	2642	15.11
55	203	1420	2674	15.00
56	207	1420	2698	14.89
57	210	1420	2721	14.81
58	214	1420	2773	14.80
59	218	1420	2815	14.75
60	222	1420	2846	14.67
61	225	1421	2883	14.67
62	229	1421	2926	14.59
63	233	1421	2960	14.51
64	236	1421	2981	14.45
65	240	1421	3017	14.37
66	244	1427	3047	14.29
67	247	1427	3069	14.23
68	251	1427	3142	14.28
69	255	1427	3178	14.20
70	259	1427	3218	14.14
71	262	1427	3249	14.09
72	266	1427	3282	14.04
73	270	1435	3320	13.98
74	273	1438	3345	13.93
75	277	1439	3382	13.86
76	281	1439	3418	13.80
77	284	1439	3440	13.75
78	288	1439	3480	13.74
79	292	1442	3524	13.70
80	296	1442	3557	13.65
81	299	1442	3583	13.61
82	303	1442	3607	13.55
83	307	1442	3631	13.50
84	310	1442	3658	13.46
85	314	1442	3694	13.41
86	318	1442	3730	13.37
87	321	1442	3753	13.33
88	325	1445	3803	13.32
89	329	1445	3831	13.27
90	333	1445	3863	13.22
91	336	1445	3889	13.19
92	340	1445	3915	13.13
93	344	1445	3970	13.13
94	347	1445	3988	13.09
95	351	1445	4036	13.10
96	355	1445	4082	13.09
97	358	1445	4108	13.07
98	362	1445	4148	13.05
99	366	1445	4180	13.01
100	370	1445	4216	12.97
