Percentage	Tests_Executed	Branchs_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	1	634	2891	100.00
2	2	642	3275	78.99
3	3	858	4939	65.97
4	4	1100	5980	59.50
5	6	1158	8047	51.47
6	7	1324	9072	47.82
7	8	1482	11417	47.35
8	9	1486	11715	44.70
9	10	1502	12301	43.14
10	12	1538	12777	38.95
11	13	1542	12953	37.46
12	14	1564	13330	35.40
13	15	1564	13372	34.38
14	17	1594	13600	30.82
15	18	1616	13885	29.65
16	19	1692	14415	29.18
17	20	1710	14572	28.71
18	21	1730	14864	27.81
19	23	1738	15004	26.36
20	24	1810	15350	25.36
21	25	1828	15482	24.15
22	26	1868	15863	24.02
23	28	1958	16601	22.94
24	29	2040	17078	23.01
25	30	2052	17291	22.25
26	31	2094	17351	21.70
27	32	2094	17405	21.11
28	34	2130	17760	20.42
29	35	2152	17776	19.88
30	36	2158	18059	19.72
31	37	2198	18433	19.69
32	39	2206	18829	19.20
33	40	2206	19284	19.00
34	41	2242	19425	18.77
35	42	2332	21636	19.98
36	43	2362	21887	19.92
37	45	2396	22671	19.76
38	46	2400	22699	19.48
39	47	2400	22722	19.09
40	48	2408	22768	18.77
41	50	2408	23313	18.40
42	51	2464	24079	18.43
43	52	2464	24260	18.32
44	53	2480	24321	18.05
45	54	2482	24958	18.17
46	56	2490	25107	17.60
47	57	2490	25190	17.37
48	58	2490	25221	17.20
49	59	2492	25245	17.08
50	61	2520	26771	17.44
51	62	2520	26942	17.31
52	63	2576	27745	17.40
53	64	2586	28006	17.26
54	65	2600	28170	17.02
55	67	2756	29198	17.15
56	68	2784	29312	16.96
57	69	2788	30050	17.17
58	70	2802	30156	16.95
59	71	2804	30249	16.82
60	73	2856	30651	16.58
61	74	2870	31671	16.77
62	75	2870	31695	16.54
63	76	2894	31924	16.48
64	78	2960	32499	16.29
65	79	2960	32834	16.17
66	80	2960	32902	16.05
67	81	2996	33181	15.91
68	82	3056	33423	15.69
69	84	3070	33846	15.52
70	85	3098	33941	15.40
71	86	3102	33968	15.25
72	87	3128	34068	15.11
73	89	3136	34099	14.78
74	90	3136	34191	14.71
75	91	3136	34193	14.55
76	92	3140	34445	14.53
77	93	3140	34456	14.44
78	95	3144	34577	14.21
79	96	3154	35178	14.29
80	97	3166	35360	14.23
81	98	3170	35750	14.15
82	100	3180	35793	13.94
83	101	3180	35828	13.82
84	102	3180	35862	13.73
85	103	3206	35982	13.66
86	104	3228	36162	13.58
87	106	3234	36181	13.41
88	107	3286	36570	13.34
89	108	3316	36589	13.14
90	109	3334	36740	13.11
91	111	3346	37743	13.14
92	112	3350	37743	13.04
93	113	3416	37803	12.86
94	114	3420	37811	12.78
95	115	3444	37891	12.70
96	117	3468	38071	12.52
97	118	3476	38245	12.47
98	119	3510	38526	12.42
99	120	3512	38954	12.44
100	122	3520	39484	12.45
