Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	93	3950	54.31
2	7	304	5237	33.54
3	10	923	6223	28.34
4	14	972	6733	23.24
5	17	1031	7432	21.15
6	21	1070	7901	18.43
7	24	1222	9029	17.92
8	28	1257	9389	16.21
9	31	1321	10017	15.39
10	35	1418	10987	14.82
11	39	1508	12825	15.15
12	42	1554	13615	14.87
13	46	1756	15355	14.90
14	49	1781	15537	14.24
15	53	1954	15914	13.49
16	56	1989	16253	13.10
17	60	2056	17417	12.89
18	63	2069	17523	12.38
19	67	2081	17950	12.03
20	71	2125	18248	11.56
21	74	2190	18778	11.38
22	78	2207	18886	10.95
23	81	2237	19053	10.69
24	85	2378	20743	10.89
25	88	2398	20863	10.58
26	92	2477	23515	11.15
27	95	2487	23860	11.00
28	99	2543	25042	11.04
29	102	2573	25190	10.79
30	106	2596	25939	10.68
31	110	2615	26129	10.44
32	113	2630	26229	10.23
33	117	2648	27553	10.35
34	120	2662	27614	10.17
35	124	2722	27719	9.83
36	127	2794	27877	9.67
37	131	2840	28398	9.55
38	134	2926	29551	9.65
39	138	2961	29786	9.47
40	142	2984	29932	9.26
41	145	3005	30116	9.13
42	149	3020	30193	8.93
43	152	3032	30356	8.80
44	156	3066	30635	8.67
45	159	3081	30843	8.57
46	163	3148	31095	8.42
47	166	3214	31465	8.36
48	170	3230	31768	8.27
49	173	3254	31913	8.17
50	177	3276	32607	8.15
51	181	3298	33016	8.08
52	184	3328	33106	7.96
53	188	3353	33526	7.86
54	191	3367	33598	7.76
55	195	3381	34104	7.73
56	198	3412	34290	7.64
57	202	3436	34420	7.54
58	205	3475	34825	7.51
59	209	3504	34961	7.41
60	213	3541	35237	7.32
61	216	3551	35278	7.23
62	220	3596	35583	7.15
63	223	3644	35903	7.08
64	227	3683	36094	7.00
65	230	3699	36346	6.95
66	234	3718	36578	6.90
67	237	3748	36706	6.84
68	241	3757	36759	6.75
69	244	3859	36989	6.70
70	248	3900	37290	6.66
71	252	3913	37425	6.59
72	255	3932	37864	6.58
73	259	3947	37950	6.51
74	262	3965	38113	6.46
75	266	3991	38363	6.40
76	269	4015	38400	6.35
77	273	4019	38521	6.29
78	276	4035	38622	6.24
79	280	4066	39201	6.25
80	284	4119	39327	6.17
81	287	4123	39351	6.11
82	291	4152	39442	6.03
83	294	4160	39460	5.98
84	298	4217	39878	5.96
85	301	4224	39917	5.91
86	305	4250	40267	5.88
87	308	4255	40455	5.85
88	312	4281	40758	5.82
89	315	4289	40835	5.78
90	319	4300	40996	5.75
91	323	4360	41276	5.70
92	326	4368	41319	5.66
93	330	4395	41416	5.61
94	333	4403	41450	5.56
95	337	4460	41619	5.51
96	340	4482	41803	5.48
97	344	4507	41870	5.44
98	347	4511	42036	5.42
99	351	4539	42648	5.42
100	355	4563	42749	5.38
