Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	2	1251	5886	85.98
2	4	1370	8121	68.47
3	6	1541	10839	61.40
4	8	1651	12438	56.49
5	10	2177	15072	52.27
6	13	2289	17600	48.69
7	15	2365	18439	46.58
8	17	4738	24243	47.20
9	19	4754	24843	45.34
10	21	4775	27369	45.20
11	23	4786	27855	43.51
12	26	5148	35503	44.71
13	28	5161	36439	43.75
14	30	5377	38727	42.67
15	32	5462	39540	41.77
16	34	5521	43488	41.91
17	36	6094	48239	41.57
18	39	6099	49499	40.55
19	41	6118	50136	39.49
20	43	6119	50720	38.79
21	45	6125	52152	38.29
22	47	6134	52728	37.63
23	49	6146	53223	36.99
24	52	6182	54119	36.33
25	54	6191	54831	35.91
26	56	6200	55759	35.38
27	58	6206	56827	34.58
28	60	6225	58599	34.22
29	62	6230	59035	33.77
30	65	6295	60153	33.29
31	67	6324	63175	33.27
32	69	6324	63628	32.96
33	71	6331	63863	32.55
34	73	6356	66524	32.54
35	75	6365	67240	32.22
36	78	6416	71718	32.18
37	80	6490	72173	31.81
38	82	6493	73300	31.55
39	84	6501	74252	31.32
40	86	6505	74658	31.10
41	88	6623	76295	30.89
42	91	6633	77468	30.71
43	93	6633	77824	30.44
44	95	6646	79298	30.36
45	97	6649	80004	30.06
46	99	6649	80546	29.86
47	101	6686	81767	29.52
48	104	6688	84325	29.22
49	106	6700	84999	28.92
50	108	6712	86452	28.74
51	110	6719	87327	28.50
52	112	6814	90075	28.86
53	115	6818	90772	28.65
54	117	6876	96021	28.72
55	119	6887	99847	27.68
56	121	6890	100592	27.64
57	123	6904	100907	27.46
58	125	6964	102016	27.33
59	128	7019	102872	27.02
60	130	7023	104050	26.90
61	132	7025	104163	26.76
62	134	7039	106426	26.72
63	136	7098	106876	26.55
64	138	7103	107016	26.40
65	141	7105	108041	26.26
66	143	7107	108197	26.10
67	145	7121	108850	25.99
68	147	7125	109044	25.84
69	149	7127	109296	25.66
70	151	7129	109791	25.55
71	154	7135	110139	25.36
72	156	7137	111165	25.26
73	158	7146	111915	25.18
74	160	7151	114188	25.16
75	162	7153	114874	24.95
76	164	7161	115439	24.88
77	167	7172	115921	24.68
78	169	7175	116381	24.56
79	171	7175	116687	24.46
80	173	7184	117099	24.34
81	175	7200	117820	24.23
82	177	7202	118062	24.05
83	180	7331	119567	23.93
84	182	7351	120004	23.85
85	184	7354	120779	23.73
86	186	7355	121938	23.73
87	188	7380	125202	23.84
88	190	7390	125289	23.75
89	193	7401	126090	23.60
90	195	7406	126167	23.48
91	197	7454	126903	23.36
92	199	7475	127608	23.23
93	201	7482	130753	23.37
94	203	7542	132266	23.33
95	206	7543	132426	23.18
96	208	7546	132623	23.12
97	210	7547	132847	23.05
98	212	7551	133958	22.98
99	214	7555	134110	22.91
100	217	7573	134732	22.81
